Name,playerid,real,kml2,kml3,pred
Scott Schoeneweis,33,0.2,0.53,0.5,0.48
Jarrod Washburn,40,1.9,2.49,4.43,1.09
Byung-Hyun Kim,61,2.4,0.5,0.5,1.19
Mike Koplove,63,0.1,0.5,0.24,0.36
Mike Myers,68,0.2,0.04,0.33,0.48
John Patterson,71,1.0,4.25,3.68,3.69
Tom Glavine,90,2.9,4.16,3.59,3.23
Kevin Gryboski,91,-0.4,0.07,0.21,0.29
Greg Maddux,104,4.3,3.13,3.16,3.09
Jason Marquis,105,-0.5,0.99,1.98,3.02
Kevin Millwood,106,4.3,1.46,3.57,0.5
Horacio Ramirez,110,0.9,0.5,0.5,0.79
John Smoltz,115,5.5,3.39,3.38,3.38
Rick Bauer,125,0.7,0.39,0.19,0.36
Jason Johnson,147,0.8,3.8,3.79,3.13
Jorge Julio,148,0.4,0.88,0.11,0.44
Rodrigo Lopez,150,1.7,1.32,2.18,1.6
Sidney Ponson,161,0.5,1.25,1.33,1.44
Rafael Betancourt,177,0.8,1.15,1.01,0.27
Casey Fossum,188,0.4,0.5,0.5,1.17
Dustin Hermanson,195,-0.1,0.5,0.59,0.87
Sun-Woo Kim,197,-0.3,0.66,0.49,0.97
Derek Lowe,199,4.4,2.11,2.03,4.44
Pedro Martinez,200,2.3,4.91,7.58,3.51
Tim Wakefield,219,1.2,1.41,3.19,3.2
Mark Buehrle,225,1.7,3.92,3.98,3.71
Keith Foulke,231,0.1,0.43,0.5,-0.21
Jon Garland,232,3.6,1.06,2.73,3.74
Damaso Marte,247,0.6,0.21,0.25,0.3
Antonio Alfonseca,260,-0.3,0.42,0.08,0.31
Joe Borowski,267,0.7,-0.26,0.12,0.5
Matt Clement,271,0.2,3.04,3.1,2.99
Juan Cruz,273,1.6,0.43,0.26,-0.26
Kyle Farnsworth,278,1.1,1.39,1.1,1.23
Ron Mahay,290,0.3,-0.15,0.09,0.35
Mark Prior,301,-0.2,6.27,6.27,1.44
Carlos Zambrano,305,3.9,5.23,3.97,5.13
Elmer Dessens,317,0.6,0.5,0.45,0.02
Chris Reitsma,348,-0.7,0.59,1.21,1.35
Scott Williamson,361,0.3,0.5,-0.03,0.07
Danys Baez,367,0.9,0.35,0.26,0.24
David Riske,402,0.0,0.1,0.5,0.33
CC Sabathia,404,5.0,4.5,5.86,2.94
Jake Westbrook,412,3.6,2.7,1.9,1.32
Brian Fuentes,429,0.9,1.12,1.05,0.71
Jason Jennings,434,4.2,2.14,1.23,1.4
Dennys Reyes,444,0.9,-0.02,-0.02,-0.24
Justin Speier,451,1.0,0.36,0.46,0.43
John Thomson,453,0.4,1.63,2.07,1.65
Adam Bernero,460,0.4,0.2,-0.04,0.11
Mark Redman,491,1.2,2.59,2.49,2.04
Jamie Walker,502,0.5,0.5,0.78,1.27
Jeff Weaver,503,0.3,0.8,3.15,2.17
Josh Beckett,510,1.0,4.97,4.21,2.25
Ryan Dempster,517,0.9,0.91,0.19,0.56
Braden Looper,526,1.1,0.55,0.5,0.5
Brad Penny,535,3.6,3.43,1.85,1.57
Octavio Dotel,555,-0.2,0.58,0.5,1.05
Wayne Franklin,557,-0.2,0.31,-0.1,-0.14
Brad Lidge,563,1.1,1.2,2.09,1.5
Scott Linebrink,564,1.0,0.95,0.55,1.99
Roy Oswalt,571,6.1,5.07,5.1,8.05
Billy Wagner,578,1.9,2.29,0.9,0.5
Jeremy Affeldt,583,-0.5,0.5,0.5,0.59
Nate Field,599,0.0,-0.08,0.2,0.19
Mike MacDougal,612,0.7,0.3,0.59,1.17
Jeff Suppan,633,1.9,2.77,0.5,1.63
Odalis Perez,668,1.3,0.5,2.38,2.02
Mike DeJean,682,0.0,0.5,0.2,0.6
Ray King,693,-0.2,0.59,0.45,0.5
Ben Sheets,710,4.0,2.73,2.93,3.77
Luis Vizcaino,714,0.6,0.6,0.16,0.15
Eddie Guardado,727,-0.3,-0.4,0.33,0.31
LaTroy Hawkins,729,0.7,0.21,0.32,0.63
Kyle Lohse,739,1.5,4.18,4.1,2.89
Brad Radke,748,1.6,2.38,1.19,1.24
Juan Rincon,752,1.4,2.73,2.28,2.05
J.C. Romero,754,0.0,0.16,0.24,0.26
Johan Santana,755,6.7,8.31,5.56,5.57
Tony Armas Jr.,761,0.9,0.5,0.5,0.5
Joey Eischen,774,-0.4,-0.05,0.09,0.32
Tomo Ohka,788,0.9,1.0,1.06,1.99
Javier Vazquez,801,4.7,3.19,2.66,2.97
Randy Choate,813,0.3,0.35,-0.15,0.46
Brandon Claussen,814,0.6,2.61,2.05,1.34
Roger Clemens,815,3.4,4.68,4.68,4.68
Ted Lilly,833,2.1,1.07,0.69,0.73
Mike Mussina,837,5.2,2.33,2.43,3.09
Andy Pettitte,840,3.4,3.34,3.9,5.2
Mike Stanton,849,1.2,0.81,0.74,0.59
Armando Benitez,865,-0.3,0.31,0.45,0.45
Jae Seo,895,0.0,0.5,1.55,0.31
David Weathers,902,-0.4,0.25,0.47,0.58
Chad Bradford,904,1.5,0.38,0.16,-0.16
