20364.60 5.04
31376.10 4.96
68931.20 4.77
87004.10 3.79
27172.10 3.18
24297.30 4.30
106037.70 4.43
55241.70 4.76
114233.90 3.25
31841.60 4.60
49302.70 3.56
101315.70 3.46
48062.60 2.01
41532.40 3.46
32002.90 2.24
87532.50 2.88
49721.60 2.56
67971.10 2.34
53721.10 2.03
30963.60 1.75
43710.10 1.82
74102.80 2.45
15070.50 2.67
63454.50 2.32
74483.40 2.41
67852.30 2.07
141072.50 2.23
114263.20 1.99
22331.50 1.90
11182.50 1.66
130743.70 1.83
4041.90 1.46
3750.60 1.95
35423.50 2.05
102331.60 1.73
38300.80 1.66
131253.10 1.67
58672.20 1.92
94342.40 2.13
70241.30 1.86
32543.80 2.34
105860.90 1.34
32400.60 2.03
66325.50 2.10
101303.10 1.14
13048-0.30 1.70
5279-1.00 1.47
19942.00 1.77
19435.10 1.19
18901.00 1.70
69022.10 1.17
43381.10 1.70
60330.10 1.21
