Name,playerid,real,kml2,kml3,pred
Dan Wheeler,120,-0.3,0.57,-0.06,0.37
Rafael Betancourt,177,1.4,0.42,2.19,0.06
Darren Oliver,206,1.1,0.86,1.2,1.68
Mark Buehrle,225,1.6,3.26,2.47,4.5
Daniel McCutchen,263,0.0,0.22,0.01,-0.01
Juan Cruz,273,0.0,0.05,0.22,-0.06
Kyle Farnsworth,278,0.2,0.5,0.5,0.57
Will Ohman,296,-0.4,0.19,-0.06,0.26
Kerry Wood,304,-0.3,0.88,0.31,0.44
CC Sabathia,404,4.0,5.34,5.46,5.59
Brian Fuentes,429,-0.5,0.37,0.5,0.76
Fernando Rodney,494,2.2,0.4,0.05,0.1
Josh Beckett,510,2.0,2.12,1.71,1.89
Ryan Dempster,517,2.7,7.3,2.49,4.68
Roy Oswalt,571,0.7,2.46,2.75,2.69
Jeremy Affeldt,583,0.8,0.23,0.05,0.05
Mike MacDougal,612,0.0,0.5,-0.04,0.3
Jamey Wright,715,0.6,0.09,0.09,0.35
Grant Balfour,718,1.6,0.5,0.97,0.81
LaTroy Hawkins,729,-0.1,0.5,0.2,0.2
Scott Downs,773,0.2,0.72,0.26,0.55
Carl Pavano,790,0.8,1.4,1.99,2.91
Mariano Rivera,844,0.4,0.9,0.39,0.9
Sam Demel,868,0.0,0.12,0.08,0.06
Scott Maine,885,0.0,0.18,0.45,0.51
Tim Hudson,921,1.6,1.63,1.1,1.0
Brett Myers,962,0.1,1.26,1.18,0.5
Vicente Padilla,964,0.2,0.8,0.09,0.02
Jake Peavy,1051,4.4,3.41,2.89,3.63
Freddy Garcia,1077,0.5,2.89,1.63,1.5
Rafael Soriano,1100,1.0,0.5,0.29,-0.08
Marco Estrada,1118,2.9,0.3,0.81,0.49
Chris Carpenter,1292,0.2,2.34,3.29,2.32
Roy Halladay,1303,2.5,5.91,5.87,6.15
Brandon Lyon,1312,0.8,0.39,0.77,0.57
Andrew Bailey,1368,0.0,0.61,1.3,0.87
Chad Durbin,1442,-0.7,0.61,0.33,0.14
Felix Doubront,1478,1.2,-0.01,0.5,-0.0
Sandy Rosario,1525,0.1,-0.03,-0.04,-0.02
Cliff Lee,1636,4.9,4.78,6.19,5.74
Francisco Rodriguez,1642,0.2,0.84,1.36,1.62
Javier Lopez,1663,0.5,0.5,-0.02,0.5
Jose Valverde,1726,0.9,0.97,0.67,-0.03
Dan Haren,1757,1.8,4.63,5.9,4.91
Chad Gaudin,1783,0.2,0.02,-0.1,0.02
Kevin Gregg,1793,-0.2,0.48,0.84,0.63
Michael Gonzalez,1794,0.6,0.07,0.14,0.22
J.J. Putz,1795,1.4,0.72,1.24,1.25
Matt Belisle,1837,1.8,0.84,0.36,0.6
Edwin Jackson,1841,2.1,3.35,3.68,2.16
Shawn Camp,1855,0.4,0.13,0.4,0.5
Sean Burnett,1886,0.9,-0.0,0.45,-0.19
Jason Frasor,1906,0.2,0.5,1.69,0.5
Brian Bruney,1929,0.0,0.15,0.12,0.14
Frank Francisco,1933,0.2,0.5,0.65,0.6
Zack Greinke,1943,4.8,3.81,3.37,4.78
Raul Valdes,1953,0.7,-0.26,-0.01,0.29
Ivan Nova,1994,1.1,2.28,2.3,2.45
Tim Byrdak,1995,0.1,0.9,0.5,-0.02
Clayton Kershaw,2036,6.2,4.75,3.86,4.06
Justin Masterson,2038,2.8,3.48,3.13,4.27
Jorge De La Rosa,2047,-0.3,1.51,1.73,1.4
Matt Guerrier,2061,-0.4,-0.01,0.28,-0.05
Jose Veras,2063,0.3,0.76,0.63,0.58
Jeremy Guthrie,2072,0.9,1.48,1.86,1.59
Heath Bell,2080,0.4,0.71,0.7,0.71
Chad Qualls,2170,-0.4,0.3,0.07,0.39
Joel Hanrahan,2186,-0.3,1.35,1.27,0.73
Joel Peralta,2332,0.9,0.35,0.62,0.48
Anthony Varvaro,2385,0.0,0.42,-0.01,0.64
Todd Coffey,2467,0.1,-0.02,0.16,0.13
Jhoulys Chacin,2608,0.4,3.75,3.0,1.3
Brett Cecil,2660,0.1,1.3,1.3,1.48
Joba Chamberlain,2692,0.1,0.2,0.35,0.08
Brian Sanches,2739,-0.4,0.09,0.17,0.01
Carlos Marmol,2790,0.1,0.5,1.04,0.5
Santiago Casilla,2873,-0.5,0.24,-0.16,0.55
Kenley Jansen,3096,2.2,0.3,0.3,0.3
Doug Slaten,3107,-0.1,0.24,0.42,0.42
Max Scherzer,3137,4.5,2.19,1.33,2.04
Clayton Mortensen,3166,-0.3,0.67,0.49,-0.08
David Price,3184,4.3,5.91,3.6,3.35
Ervin Santana,3200,-0.8,1.91,3.05,2.32
Francisco Liriano,3201,1.5,0.47,0.2,0.42
Josh Roenicke,3241,-0.1,-0.03,0.13,0.03
Jeff Samardzija,3254,2.7,0.11,0.24,0.47
Jordan Walden,3271,0.5,0.64,0.91,0.65
Roberto Hernandez,3273,-0.3,2.16,0.94,2.19
Joe Smith,3281,0.8,1.37,0.52,0.94
Hiroki Kuroda,3283,3.3,2.08,2.9,2.69
Anibal Sanchez,3284,3.5,1.63,2.64,3.16
Darren O'Day,3321,1.5,0.47,0.5,-0.04
Matt Garza,3340,0.9,3.84,4.49,3.04
Mitchell Boggs,3344,0.6,0.18,0.29,0.39
Cesar Ramos,3357,0.2,0.22,0.28,0.01
Ubaldo Jimenez,3374,0.9,3.02,2.81,2.29
Ricky Romero,3403,0.5,2.89,3.29,4.03
Clay Buchholz,3543,0.8,1.3,1.63,1.24
Clayton Richard,3551,0.3,0.56,0.66,0.5
C.J. Wilson,3580,2.6,7.12,2.96,3.17
Jim Johnson,3656,1.3,1.8,0.78,1.41
Logan Ondrusek,3677,-0.8,0.11,0.47,0.33
Brandon League,3731,0.9,0.62,1.15,1.46
Mat Latos,3815,2.7,4.4,4.4,2.94
Ricky Nolasco,3830,2.3,3.78,3.89,1.79
Zach Duke,3840,0.2,0.4,0.05,0.41
Gavin Floyd,3886,1.9,2.66,1.67,1.77
Edward Mujica,3970,0.4,0.8,1.14,0.36
Alex Burnett,4065,0.4,-0.02,0.21,0.09
Pedro Strop,4070,0.7,0.0,-0.01,0.22
Rafael Perez,4078,-0.1,0.37,0.37,0.49
Dan Runzler,4080,0.0,0.17,0.14,0.28
James Russell,4089,0.7,0.05,0.26,-0.08
Luke Gregerson,4090,0.6,0.97,0.67,0.94
Carlos Villanueva,4138,0.6,0.4,0.72,1.19
Derek Holland,4141,1.5,2.21,1.92,2.86
Jake Arrieta,4153,1.6,0.6,0.78,0.6
Enerio Del Rosario,4204,0.0,0.05,0.1,-0.01
Wilton Lopez,4227,1.3,0.9,0.6,0.9
Jered Weaver,4235,3.0,4.4,3.54,3.29
Brad Lincoln,4241,0.6,0.5,0.79,1.26
Micah Owings,4253,-0.1,0.49,0.07,0.2
David Hernandez,4259,2.0,0.64,0.71,0.52
Mark Melancon,4264,-0.2,0.74,0.39,0.05
Nick Blackburn,4270,-0.7,0.7,0.5,0.3
Matt Albers,4300,-0.5,0.13,0.11,0.09
Kyle Drabek,4359,-0.1,0.05,0.15,0.15
Craig Breslow,4363,0.6,0.14,0.4,0.14
Joe Saunders,4366,2.0,0.5,0.5,0.5
Jeremy Hellickson,4371,0.8,2.71,1.87,1.92
Jon Niese,4424,2.5,2.72,1.99,3.01
Michael Bowden,4440,-0.1,0.43,0.31,0.22
Jordan Zimmermann,4505,3.3,1.15,1.19,1.83
Randy Wells,4535,-0.2,1.36,0.42,0.62
Jason Hammel,4538,2.6,1.09,0.97,0.5
Josh Johnson,4567,3.3,3.19,3.39,3.14
Matt Lindstrom,4604,0.6,0.59,0.41,0.76
Joe Thatcher,4620,0.4,0.67,0.54,0.16
Sam LeCure,4664,0.9,0.52,0.73,0.53
Charlie Morton,4676,0.4,0.06,1.88,0.63
Matt Cain,4732,3.2,4.21,3.51,3.16
Sergio Santos,4734,-0.2,0.98,0.53,1.01
Jonathan Broxton,4759,1.1,0.5,0.63,0.16
Felix Hernandez,4772,6.6,4.58,4.74,4.95
Vinnie Pestano,4782,1.4,0.67,0.62,0.69
Matt Capps,4788,0.0,0.41,0.78,0.16
Rich Hill,4806,0.3,0.11,0.36,0.3
Jesse Crain,4817,0.8,0.95,0.66,0.78
Clay Rapada,4831,0.4,-0.07,0.2,-0.17
Kyle McClellan,4845,-0.2,0.26,0.29,-0.0
Joe Blanton,4849,2.5,0.5,1.01,0.5
Peter Moylan,4891,-0.1,0.3,-0.06,0.39
Jon Lester,4930,2.4,2.07,1.8,3.15
Fernando Salas,4971,0.3,0.26,0.4,0.37
Cole Hamels,4972,4.6,3.81,3.99,6.08
Fernando Abad,4994,0.2,-0.02,0.06,-0.04
Dale Thayer,5032,0.6,-0.07,0.24,0.13
Franklin Morales,5088,0.4,0.38,0.44,-0.07
Rick VandenHurk,5099,0.0,0.1,0.03,0.51
Guillermo Moscoso,5106,0.2,0.36,0.8,0.74
Evan Meek,5109,-0.1,0.45,0.16,0.1
Alfredo Aceves,5164,0.0,0.45,0.6,0.57
Ernesto Frieri,5178,0.8,1.18,1.69,1.48
Mike Pelfrey,5203,0.6,2.99,2.49,1.63
Chris Perez,5213,1.1,-0.05,-0.2,0.43
Chris Tillman,5279,1.3,1.92,1.2,1.1
Esmerling Vasquez,5280,0.3,0.21,-0.04,0.17
Samuel Deduno,5285,-0.1,-0.07,-0.02,0.08
Cristhian Martinez,5337,0.5,0.18,-0.23,-0.12
Jesse Chavez,5448,-0.3,0.11,-0.05,0.29
Dana Eveland,5508,0.0,0.5,0.65,0.53
James McDonald,5523,1.7,2.54,1.55,1.66
Madison Bumgarner,5524,2.6,0.9,0.9,0.9
Boone Logan,5525,0.4,0.34,0.33,0.37
Phil Coke,5535,0.7,0.71,1.34,0.72
Tyler Clippard,5640,1.2,0.29,0.92,0.59
Jason Berken,5673,-0.2,0.08,0.49,0.43
Tim Lincecum,5705,0.9,4.18,3.88,3.32
Eric O'Flaherty,5746,0.4,0.32,0.39,0.68
Chad Billingsley,5842,3.0,3.06,3.03,3.14
Jason Motte,5861,0.9,0.94,1.21,0.72
Jeff Karstens,5879,1.7,0.94,0.8,1.19
Sean Marshall,5905,1.5,0.5,1.13,1.11
Wesley Wright,5960,0.5,0.05,-0.04,-0.12
John Ely,6132,-0.1,0.05,0.51,0.05
Kyle Kendrick,6230,1.2,0.24,0.36,0.48
Tom Gorzelanny,6244,0.1,1.53,0.29,0.63
Trevor Cahill,6249,2.4,2.86,2.86,3.37
Scott Feldman,6283,2.3,0.3,0.5,0.76
George Sherrill,6291,-0.2,0.4,0.14,0.98
John Danks,6329,0.3,4.29,2.95,2.06
Henry Rodriguez,6371,-0.4,0.59,1.16,0.27
Rich Thompson,6422,-0.1,0.04,0.32,0.46
Jeremy Accardo,6428,0.1,-0.15,-0.17,0.1
Vance Worley,6435,1.9,1.39,1.75,1.15
Kevin Jepsen,6475,0.7,0.5,-0.07,0.3
Steve Cishek,6483,0.8,0.66,0.62,0.85
Marc Rzepczynski,6612,-0.6,0.22,-0.25,1.23
Craig Kimbrel,6655,3.1,0.9,0.9,0.9
Jeff Manship,6865,-0.2,0.36,0.45,0.41
