Name,playerid,real,kml2,kml3,pred
Scot Shields,35,-0.5,0.5,0.09,0.26
Jason Marquis,105,-0.5,1.68,3.74,4.02
Dan Wheeler,120,0.1,0.23,0.19,0.39
Derek Lowe,199,1.8,2.07,2.96,2.73
Mark Buehrle,225,4.0,1.6,3.07,2.42
Jon Garland,232,1.0,1.16,1.12,2.46
Damaso Marte,247,-0.1,0.21,0.57,-0.2
Juan Cruz,273,0.1,0.28,0.13,0.34
Kyle Farnsworth,278,0.8,0.13,0.0,0.1
Ron Mahay,290,0.0,0.13,0.3,0.5
Will Ohman,296,0.2,0.49,0.75,0.48
Kerry Wood,304,0.2,0.63,0.5,1.17
Carlos Zambrano,305,1.9,3.09,5.49,5.66
Elmer Dessens,317,-0.3,0.12,0.0,0.0
David Riske,402,0.0,0.24,-0.07,0.5
CC Sabathia,404,5.5,3.59,4.67,4.98
Brian Fuentes,429,0.2,0.51,0.62,1.27
Dennys Reyes,444,-0.2,0.21,0.1,0.26
Fernando Rodney,494,0.2,0.58,0.79,0.63
Josh Beckett,510,1.0,2.03,3.79,2.7
A.J. Burnett,512,1.4,3.39,1.48,3.52
Octavio Dotel,555,0.2,0.45,0.5,0.27
Scott Linebrink,564,-0.1,0.09,0.24,-0.18
Roy Oswalt,571,4.4,4.71,3.08,3.0
Billy Wagner,578,1.9,-0.07,0.5,0.5
Jeremy Affeldt,583,0.1,0.44,0.44,0.32
Mike MacDougal,612,-0.1,0.14,-0.19,-0.04
Jamey Wright,715,0.1,0.14,0.18,0.18
LaTroy Hawkins,729,-0.1,0.63,0.75,0.5
Kyle Lohse,739,0.5,2.73,2.18,0.4
Juan Rincon,752,0.0,-0.13,-0.13,0.15
Johan Santana,755,3.7,1.91,2.68,4.43
Scott Downs,773,1.1,0.7,0.7,0.48
Javier Vazquez,801,0.1,3.86,3.82,4.0
Ted Lilly,833,2.5,1.67,2.42,1.61
Andy Pettitte,840,2.7,3.06,1.92,3.36
Tyler Walker,901,0.2,-0.09,-0.1,0.5
Tim Hudson,921,1.7,1.1,1.8,0.6
Barry Zito,944,1.8,2.32,2.19,1.77
Randy Wolf,976,0.7,2.89,3.14,3.38
Bronson Arroyo,978,1.2,0.58,1.63,1.77
Joe Beimel,979,0.0,0.41,0.42,0.24
Trevor Hoffman,1035,-0.6,0.0,0.0,0.5
Ryan Franklin,1076,0.2,0.67,0.99,0.15
Freddy Garcia,1077,1.5,2.49,1.09,2.49
Gil Meche,1089,-0.3,2.19,1.6,1.7
Jamie Moyer,1091,0.3,0.5,0.5,0.5
Joel Pineiro,1094,2.1,3.74,2.31,0.5
Rafael Soriano,1100,1.9,0.65,0.87,1.07
Marco Estrada,1118,-0.2,-0.06,-0.04,0.02
Tommy Hunter,1157,1.0,0.5,1.33,0.8
Jesus Colome,1198,0.1,0.4,0.38,0.34
Jorge Sosa,1228,-0.2,0.6,0.5,-0.43
Francisco Cordero,1243,0.3,0.3,0.5,1.29
Doug Davis,1244,-0.1,0.5,3.18,2.97
Chan Ho Park,1267,0.0,0.5,0.5,0.97
Roy Halladay,1303,6.2,6.63,6.41,5.37
Brandon Lyon,1312,1.1,-0.05,0.24,0.52
Brendan Donnelly,1441,-0.7,0.5,0.32,0.5
Chad Durbin,1442,0.2,0.09,0.34,0.14
Randy Flores,1446,-0.6,0.5,0.02,0.41
Guillermo Mota,1467,0.2,0.2,0.5,0.39
Jon Rauch,1475,1.3,0.62,1.33,0.45
John Lackey,1507,3.4,4.38,3.65,3.5
Aaron Cook,1571,1.1,2.71,1.83,3.39
Pedro Feliciano,1601,0.8,0.03,0.18,0.16
Nate Robertson,1620,0.5,0.49,0.14,0.58
Cliff Lee,1636,7.4,2.99,2.59,5.77
Francisco Rodriguez,1642,1.5,0.32,0.89,0.99
Russ Springer,1652,0.0,0.39,0.38,-0.1
Javier Lopez,1663,0.5,0.29,0.25,-0.09
Wil Ledezma,1669,0.2,0.08,0.11,0.21
Trever Miller,1672,0.1,0.73,0.6,0.5
Claudio Vargas,1695,-0.1,0.17,0.13,0.4
Todd Wellemeyer,1709,-0.8,0.5,0.5,-0.2
Jose Valverde,1726,0.6,1.49,1.04,1.35
Aaron Heilman,1751,-0.1,0.83,0.03,0.33
Dan Haren,1757,3.6,4.02,3.69,2.18
Kevin Correia,1767,0.1,3.1,2.1,1.92
Rich Harden,1772,-0.6,1.45,0.91,1.54
Chad Gaudin,1783,-1.0,1.59,3.3,2.04
Kevin Gregg,1793,0.8,0.08,-0.06,0.33
Michael Gonzalez,1794,0.7,0.55,0.48,0.72
Matt Belisle,1837,2.0,0.32,0.72,0.05
Edwin Jackson,1841,3.2,2.8,2.97,2.29
John Grabow,1848,-0.4,0.44,0.19,0.41
Ryan Madson,1852,1.2,2.07,1.01,1.15
Shawn Camp,1855,0.2,0.87,1.48,-0.02
Michael Wuertz,1856,-0.1,0.61,1.44,0.5
David Aardsma,1902,0.3,0.81,1.13,0.6
Jason Frasor,1906,0.9,0.76,0.88,1.3
Brian Bruney,1929,-0.2,0.42,0.48,0.4
