Name,playerid,real,kml2,kml3,pred
Dan Wheeler,120,0.3,0.34,0.11,0.15
Tim Wakefield,219,0.1,1.3,1.5,0.5
Mark Buehrle,225,3.1,4.22,2.35,3.97
Daniel McCutchen,263,-0.3,-0.1,0.34,0.14
Juan Cruz,273,0.3,0.43,0.29,0.23
Kyle Farnsworth,278,1.0,0.58,0.37,0.48
Will Ohman,296,0.1,-0.14,0.11,0.34
Kerry Wood,304,0.4,0.89,0.47,0.05
Carlos Zambrano,305,0.6,1.6,1.5,1.89
CC Sabathia,404,5.8,6.32,5.39,3.15
Brian Fuentes,429,0.2,-0.07,0.48,0.23
Dennys Reyes,444,-0.1,0.06,0.29,0.25
Fernando Rodney,494,-0.4,0.41,0.1,0.51
Josh Beckett,510,3.8,2.99,2.64,1.26
A.J. Burnett,512,0.6,1.1,1.81,0.86
Brad Penny,535,0.3,2.89,0.59,1.15
Octavio Dotel,555,0.8,0.75,0.5,0.5
Brad Lidge,563,0.3,0.5,0.2,0.1
Scott Linebrink,564,-0.5,0.13,0.4,0.28
Roy Oswalt,571,2.8,3.17,3.48,5.06
Jeremy Affeldt,583,0.0,0.58,0.33,0.67
Mike MacDougal,612,0.0,-0.02,0.5,0.42
Jamey Wright,715,-0.1,0.33,-0.02,0.14
Grant Balfour,718,0.5,0.73,0.42,0.35
LaTroy Hawkins,729,0.7,-0.03,0.5,0.5
Scott Downs,773,0.6,0.93,0.5,0.78
Carl Pavano,790,2.4,4.68,1.4,1.2
Ted Lilly,833,2.2,3.1,3.19,4.24
Mariano Rivera,844,2.2,0.5,0.5,0.9
Tim Hudson,921,2.8,0.5,2.89,1.99
Barry Zito,944,-0.6,1.34,1.72,1.21
Brett Myers,962,1.7,2.15,1.79,1.0
Vicente Padilla,964,0.2,0.5,0.4,1.4
Randy Wolf,976,2.2,0.6,0.6,0.37
Bronson Arroyo,978,-1.6,3.35,0.5,2.11
Joe Beimel,979,-0.5,0.5,0.1,0.24
Jake Peavy,1051,2.9,1.25,1.32,1.24
Freddy Garcia,1077,1.7,0.75,0.8,0.28
Joel Pineiro,1094,0.6,2.33,3.88,4.43
Rafael Soriano,1100,0.2,0.85,1.52,0.55
Livan Hernandez,1116,1.5,0.5,2.4,3.58
Marco Estrada,1118,0.6,0.11,0.22,0.51
Tommy Hunter,1157,0.5,2.21,2.26,2.43
Roy Halladay,1303,8.7,8.3,7.78,5.26
Brandon Lyon,1312,-0.6,1.05,-0.03,0.75
Andrew Bailey,1368,1.0,0.03,0.62,0.01
Chad Durbin,1442,-0.2,0.44,0.34,-0.31
Guillermo Mota,1467,-0.1,0.07,0.45,0.45
Jon Rauch,1475,-0.6,0.42,1.01,0.88
John Lackey,1507,0.9,2.69,2.46,4.66
Mark Hendrickson,1574,-0.1,0.5,0.35,0.57
Cliff Lee,1636,7.1,4.18,6.33,6.11
Francisco Rodriguez,1642,1.3,0.16,1.23,1.68
Jose Contreras,1660,0.2,0.57,-0.1,-0.1
Javier Lopez,1663,0.4,0.47,0.67,-0.06
Wil Ledezma,1669,-0.1,0.07,-0.04,0.01
Trever Miller,1672,-0.3,0.5,0.5,0.5
Jose Valverde,1726,0.9,0.5,-0.23,0.95
Aaron Heilman,1751,-0.4,0.19,0.23,0.4
Dan Haren,1757,5.9,3.65,2.99,1.97
Kevin Correia,1767,0.3,0.3,0.3,0.51
Kevin Gregg,1793,-0.4,0.2,0.09,0.78
Michael Gonzalez,1794,0.2,0.41,0.27,0.6
J.J. Putz,1795,1.4,0.89,0.73,0.96
Matt Belisle,1837,1.2,1.19,0.82,0.19
Edwin Jackson,1841,3.4,1.69,2.74,4.5
John Grabow,1848,-0.6,0.37,0.53,0.37
