Name,playerid,real,kml2,kml3,pred
Scott Schoeneweis,33,-0.4,0.57,0.55,0.12
Scot Shields,35,0.8,0.94,2.19,1.64
Jarrod Washburn,40,2.0,1.75,2.71,1.7
Byung-Hyun Kim,61,-0.2,1.55,1.99,3.68
Mike Koplove,63,0.0,-0.07,0.43,-0.05
Mike Myers,68,-0.2,0.9,0.65,0.74
John Patterson,71,-0.3,2.4,1.3,1.78
Curt Schilling,73,2.3,3.3,3.29,3.21
Tom Glavine,90,1.5,1.44,1.78,1.8
Greg Maddux,104,3.9,1.81,1.83,1.4
Kevin Millwood,106,2.1,3.74,2.05,1.83
Horacio Ramirez,110,0.0,0.8,0.62,0.58
John Smoltz,115,5.5,2.97,3.47,3.47
Dan Wheeler,120,0.8,1.72,2.26,0.5
Jorge Julio,148,0.0,0.4,0.71,0.24
Rodrigo Lopez,150,0.9,2.8,2.24,3.67
B.J. Ryan,168,-0.1,1.69,0.5,2.59
Rafael Betancourt,177,3.3,1.07,0.77,0.33
Derek Lowe,199,3.1,4.68,2.1,3.6
Mark Buehrle,225,3.3,1.59,2.76,3.62
Jon Garland,232,3.5,4.13,1.84,9.11
Bob Howry,237,1.7,0.39,0.93,0.74
Damaso Marte,247,1.0,0.3,0.37,0.56
Juan Cruz,273,0.6,0.57,0.65,0.65
Kyle Farnsworth,278,-0.2,0.58,0.78,0.64
Ron Mahay,290,0.5,-0.17,0.14,-0.42
Carlos Zambrano,305,2.8,3.45,5.56,3.77
Jim Brower,313,0.0,0.04,0.1,0.3
Elmer Dessens,317,0.0,0.49,0.53,0.25
Chris Reitsma,348,-0.1,0.16,0.15,0.5
Scott Williamson,361,0.2,0.06,0.05,0.15
Danys Baez,367,-0.9,0.55,0.4,0.24
David Riske,402,0.1,0.0,0.11,0.26
CC Sabathia,404,6.4,5.55,5.82,3.84
Jake Westbrook,412,1.7,3.78,4.11,4.35
Jaret Wright,415,0.0,5.87,4.68,2.49
