Name,playerid,real,kml2,kml3,pred
Brian Fuentes,429,0.9,0.47,0.35,0.05
Jason Jennings,434,0.4,4.5,4.25,3.64
Todd Jones,436,0.7,0.56,1.06,0.5
Dennys Reyes,444,-0.1,0.43,0.01,-0.19
Justin Speier,451,0.5,0.24,0.54,0.04
John Thomson,453,0.2,1.2,0.5,0.46
Jamie Walker,502,0.8,0.5,0.5,0.3
Jeff Weaver,503,0.9,1.11,1.73,0.37
Josh Beckett,510,5.7,1.44,1.5,1.3
A.J. Burnett,512,2.3,2.62,3.08,3.35
Ryan Dempster,517,0.2,0.44,0.98,0.3
Brad Penny,535,4.4,1.61,3.36,4.33
Julian Tavarez,541,0.8,0.0,0.22,0.72
Octavio Dotel,555,0.3,0.07,0.46,0.08
Scott Linebrink,564,-0.5,0.24,0.33,0.5
Roy Oswalt,571,4.9,4.18,3.55,4.6
Billy Wagner,578,1.6,2.4,1.3,2.44
Jeremy Affeldt,583,0.4,0.41,-0.07,0.04
Nate Field,599,0.0,-0.03,-0.05,0.27
Mike MacDougal,612,0.2,0.35,1.24,0.34
Brian Shouse,630,1.2,0.5,0.44,0.4
Jeff Suppan,633,2.6,2.5,2.38,0.91
Odalis Perez,668,1.1,1.37,1.16,1.14
Ray King,693,-0.5,-0.3,0.27,0.02
Luis Vizcaino,714,0.3,0.36,0.7,1.09
LaTroy Hawkins,729,0.2,0.5,0.11,1.1
Kyle Lohse,739,3.0,1.08,1.21,1.33
Eric Milton,743,0.5,0.9,1.1,0.26
Juan Rincon,752,-0.4,0.5,1.2,0.56
J.C. Romero,754,0.0,-0.11,0.09,-0.0
Johan Santana,755,4.0,5.81,6.09,6.66
Tony Armas Jr.,761,0.0,0.45,0.3,0.3
Scott Downs,773,1.1,0.63,0.01,0.39
Javier Vazquez,801,4.8,4.58,3.41,3.22
Randy Choate,813,0.0,0.16,0.04,0.1
Roger Clemens,815,1.5,4.38,4.38,4.38
Mike Mussina,837,2.6,4.62,3.17,4.21
Andy Pettitte,840,4.0,3.52,3.53,3.96
David Wells,855,1.0,1.2,1.21,1.35
Armando Benitez,865,-0.1,0.28,0.27,0.13
Jae Seo,895,-0.2,0.5,0.4,0.35
David Weathers,902,1.3,0.55,0.85,0.7
Chad Bradford,904,1.1,1.26,0.38,0.7
Justin Duchscherer,910,-0.3,1.21,1.28,1.49
Tim Hudson,921,4.9,2.03,5.28,1.68
Barry Zito,944,1.6,2.77,1.88,1.25
Brett Myers,962,1.2,3.18,4.08,3.41
Vicente Padilla,964,0.7,3.02,2.77,2.9
Bronson Arroyo,978,3.4,4.54,4.04,2.9
Joe Beimel,979,1.0,0.01,0.05,0.17
Josh Fogg,989,1.3,1.64,2.05,2.29
Ron Villone,1010,-0.1,0.43,0.75,0.41
Kip Wells,1012,0.9,1.65,0.63,0.5
Adam Eaton,1029,-0.1,0.67,0.29,1.2
Alan Embree,1030,1.1,0.2,0.86,0.5
Trevor Hoffman,1035,1.9,0.14,0.5,0.68
Jake Peavy,1051,6.7,3.84,4.8,5.96
Ryan Franklin,1076,0.7,0.87,1.32,0.7
Freddy Garcia,1077,0.2,2.91,3.1,3.04
Julio Mateo,1087,0.2,0.02,0.69,0.46
Gil Meche,1089,3.7,2.6,0.26,0.57
Rafael Soriano,1100,0.6,0.5,0.26,0.31
Aaron Fultz,1113,0.3,0.65,0.36,0.79
Livan Hernandez,1116,0.2,1.85,2.29,2.19
Jason Schmidt,1131,0.2,2.85,1.89,1.92
Jay Witasick,1138,-0.3,0.81,1.17,0.5
Jason Isringhausen,1158,0.6,0.7,0.22,0.5
Steve Kline,1164,0.2,-0.04,-0.05,0.1
Matt Morris,1172,2.5,2.26,1.4,3.13
Mike Timlin,1187,0.0,0.7,0.5,0.5
Jesus Colome,1198,0.3,0.29,0.24,0.06
Tom Martin,1219,-0.1,0.5,0.45,0.36
Bobby Seay,1225,0.9,-0.06,0.13,0.0
Jorge Sosa,1228,1.5,0.36,0.4,-0.14
Jason Standridge,1229,-0.2,0.28,-0.12,-0.14
Francisco Cordero,1243,2.4,0.51,1.89,1.6
Doug Davis,1244,2.2,1.2,2.26,1.84
Dan Kolb,1257,-0.1,0.84,0.31,0.46
Kenny Rogers,1277,0.4,1.96,0.6,1.98
Kelvim Escobar,1298,4.8,4.65,1.95,1.79
Scott Eyre,1300,0.2,-0.01,-0.15,0.5
Roy Halladay,1303,5.1,3.57,3.87,2.39
Esteban Loaiza,1310,-0.5,1.92,3.84,1.81
Brendan Donnelly,1441,0.5,0.65,0.36,0.31
Aaron Harang,1451,5.4,3.24,2.84,3.77
Guillermo Mota,1467,0.2,0.43,0.41,0.36
John Lackey,1507,5.0,3.3,4.0,5.48
Kirk Saarloos,1516,-0.4,0.37,0.53,0.31
Aaron Cook,1571,2.1,4.14,2.94,1.71
Mark Hendrickson,1574,1.6,3.69,1.02,2.7
Jason Davis,1598,-0.4,0.22,0.59,0.29
Josh Hancock,1606,-0.1,0.12,0.31,0.14
Nate Robertson,1620,1.8,2.74,2.3,2.25
Salomon Torres,1628,0.1,1.22,0.42,0.29
Cliff Lee,1636,0.1,2.42,1.45,2.71
Oscar Villarreal,1654,0.4,0.33,0.18,0.74
Jose Contreras,1660,2.4,3.48,2.49,3.05
Javier Lopez,1663,0.1,0.02,0.14,0.02
Jeremy Bonderman,1667,2.8,2.77,4.53,4.21
Wil Ledezma,1669,-0.4,0.5,0.44,0.53
Trever Miller,1672,0.1,0.17,0.3,0.24
Kiko Calero,1676,0.2,0.91,1.04,0.56
Brandon Webb,1692,6.2,5.44,4.49,3.94
Derrick Turnbow,1694,1.0,0.17,0.3,0.3
Chris Capuano,1701,1.9,3.23,4.27,2.8
Dontrelle Willis,1703,0.9,5.77,2.5,4.58
Todd Wellemeyer,1709,0.2,0.61,0.44,0.07
Jose Valverde,1726,1.4,0.5,0.49,0.89
Aaron Heilman,1751,0.9,0.18,0.4,0.5
Matt Miller,1754,0.1,0.5,0.2,0.18
Dan Haren,1757,4.7,2.88,3.19,3.07
Kevin Correia,1767,1.1,0.9,0.82,0.5
Ryan Wagner,1770,-0.1,1.5,0.5,0.42
Rich Harden,1772,0.4,0.7,1.74,0.57
Sergio Mitre,1773,2.4,0.66,0.45,0.44
Kevin Gregg,1793,1.1,0.67,0.36,0.41
Michael Gonzalez,1794,0.3,0.89,0.77,1.08
Neal Cotts,1797,0.0,0.36,-0.09,0.46
Jon Adkins,1799,0.0,0.08,0.52,0.29
Mike Wood,1806,-0.2,0.08,0.17,0.6
Geoff Geary,1813,-0.3,0.91,1.24,0.95
Chad Cordero,1816,0.5,0.5,0.5,0.5
Noah Lowry,1833,1.2,2.26,0.87,1.82
Vinnie Chulk,1838,0.9,0.27,0.14,-0.02
John Grabow,1848,0.3,0.55,0.3,0.37
Ryan Madson,1852,0.4,-0.25,-0.1,2.12
Shawn Camp,1855,-0.4,0.3,0.11,0.6
Michael Wuertz,1856,0.7,0.51,0.16,-0.03
Lenny DiNardo,1894,0.5,0.24,0.58,0.01
Akinori Otsuka,1895,1.0,0.5,0.5,0.5
Greg Aquino,1899,0.0,0.08,0.07,0.11
Jason Frasor,1906,1.0,0.94,0.96,0.34
Scott Proctor,1911,-0.5,0.83,0.9,0.0
Matt Thornton,1918,0.9,-0.1,-0.1,-0.21
Brian Bruney,1929,-0.2,0.12,0.23,0.09
Daniel Cabrera,1931,1.7,2.47,2.38,2.64
Scott Dohmann,1936,0.0,0.5,0.5,0.41
Elizardo Ramirez,1946,-0.2,1.57,0.9,1.09
Chris Booker,2039,-0.2,0.28,0.1,0.23
Jorge De La Rosa,2047,0.4,0.25,0.09,-0.04
Matt Guerrier,2061,0.7,0.34,0.5,0.17
Jeremy Guthrie,2072,2.3,-0.06,0.16,-0.08
Chien-Ming Wang,2074,3.7,2.94,2.79,2.94
Heath Bell,2080,2.5,0.03,0.07,0.72
Fernando Cabrera,2105,-0.5,0.09,0.34,0.04
John Koronka,2130,0.1,0.53,0.82,0.68
Gary Majewski,2131,0.1,0.14,0.01,0.51
Sean Henn,2147,-0.5,0.21,0.19,0.28
Yhency Brazoban,2150,0.0,0.44,0.46,0.2
Chad Qualls,2170,0.8,0.01,0.09,0.12
Jake Woods,2196,-0.1,0.09,0.38,0.09
Mike Gosling,2204,-0.3,0.3,0.09,0.07
Ian Snell,2227,3.4,1.68,1.62,2.91
Adam Wainwright,2233,3.7,1.79,0.91,0.34
Jose Capellan,2236,-0.4,0.35,0.05,0.21
Blaine Boyer,2237,0.1,0.59,0.61,0.31
Colter Bean,2246,-0.1,-0.08,0.11,0.22
Joel Peralta,2332,0.8,0.48,0.66,0.51
Tim Corcoran,2351,-0.4,-0.33,-0.34,-0.33
Todd Coffey,2467,-0.7,0.4,0.58,0.64
Robinson Tejeda,2575,-0.1,0.02,-0.4,0.37
Wandy Rodriguez,2586,3.1,0.65,0.5,0.5
Randy Messenger,2658,0.5,0.0,0.09,0.01
Jack Taschner,2766,0.4,0.14,0.14,0.04
Franquelis Osoria,2860,-0.1,0.44,0.44,0.4
Santiago Casilla,2873,0.4,0.13,0.02,0.2
Juan Oviedo,2886,0.4,0.16,0.69,1.5
Ron Flores,3152,0.0,0.12,0.17,0.31
Manny Delcarmen,3180,0.4,0.62,0.32,0.66
Chris Young,3196,4.3,2.31,1.44,2.69
Ervin Santana,3200,0.8,2.79,1.38,3.49
Tyler Johnson,3404,-0.1,0.07,0.16,0.09
Anthony Lerew,3440,-0.3,0.09,-0.16,0.03
Scott Munter,3470,0.1,0.6,-0.24,0.13
Macay McBride,3475,-0.3,0.69,0.5,0.5
C.J. Wilson,3580,0.7,0.19,0.24,0.17
Andy Sisco,3706,-0.2,0.4,0.4,0.4
Brad Hennessey,3720,0.1,0.22,0.28,0.28
Chris Resop,3799,-0.1,-0.01,0.24,0.12
Jason Bulger,3915,0.1,0.27,-0.1,0.11
Royce Ring,4350,0.0,0.08,0.17,0.2
Joe Saunders,4366,1.4,0.49,0.15,0.24
Scott Olsen,4529,0.5,1.69,1.68,1.68
Jonah Bayliss,4560,-0.3,-0.07,0.16,0.2
Josh Johnson,4567,0.2,1.27,1.24,1.27
Clay Hensley,4593,0.0,3.7,3.06,3.44
Dave Bush,4635,2.2,3.0,3.03,3.11
Jason Bergmann,4640,0.8,0.09,-0.05,0.59
Jeff Francis,4684,3.7,3.79,3.47,2.1
Matt Cain,4732,4.1,3.46,3.49,3.5
Darrell Rasner,4770,0.0,0.49,0.15,0.07
Felix Hernandez,4772,3.5,0.7,0.7,0.7
John Maine,4773,3.2,0.89,0.56,0.5
Matt Capps,4788,1.8,0.5,0.92,0.9
Rich Hill,4806,3.1,0.72,0.44,0.7
Jesse Crain,4817,-0.3,0.69,0.6,0.22
Joe Blanton,4849,5.3,4.46,2.85,2.76
Chuck James,4886,0.4,1.22,0.55,1.22
Scott Kazmir,4897,4.8,4.42,4.36,2.92
Brad Thompson,4911,-0.9,0.14,0.37,0.36
Dana Eveland,5508,0.0,0.5,0.5,0.5
Chad Orvella,5952,-0.5,0.06,0.01,1.1
Jonathan Papelbon,5975,2.1,-0.2,0.5,0.5
Shaun Marcum,6204,1.1,0.4,0.5,0.5
Scott Feldman,6283,-0.4,0.5,0.5,0.5
George Sherrill,6291,1.1,0.63,0.76,0.48
Chris Ray,6315,0.4,0.63,0.45,0.5
Jeremy Accardo,6428,1.2,0.9,1.14,0.55
Hong-Chih Kuo,7016,0.4,0.82,0.5,0.88
Cla Meredith,7613,1.0,0.5,0.41,0.56
Dustin McGowan,8600,3.4,0.54,0.33,0.59
Brandon Medders,8604,-0.7,0.73,-0.05,0.45
Bobby Jenks,8645,2.2,1.1,0.86,0.71
Paul Maholm,8678,1.8,1.69,1.59,1.6
Jorge Campillo,8686,-0.1,0.03,-0.08,0.05
Justin Verlander,8700,3.7,3.16,2.63,3.16
