20364.60 4.89
31376.10 4.98
68931.20 4.56
87004.10 3.58
27172.10 3.14
24297.30 3.92
106037.70 4.69
55241.70 5.02
114233.90 3.27
31841.60 4.82
49302.70 3.57
101315.70 3.71
48062.60 2.18
41532.40 3.69
32002.90 2.36
87532.50 2.84
49721.60 2.54
67971.10 2.29
53721.10 1.85
30963.60 1.77
43710.10 1.97
74102.80 2.23
15070.50 2.67
63454.50 2.41
74483.40 2.18
67852.30 2.02
141072.50 2.12
114263.20 1.94
22331.50 1.96
11182.50 1.41
130743.70 1.81
4041.90 1.46
3750.60 1.93
35423.50 2.04
102331.60 1.90
38300.80 1.66
131253.10 1.50
58672.20 2.04
94342.40 2.00
70241.30 1.65
32543.80 2.33
105860.90 1.24
32400.60 2.00
66325.50 2.03
101303.10 1.30
13048-0.30 1.73
5279-1.00 1.60
19942.00 1.66
19435.10 1.20
18901.00 1.74
69022.10 1.17
43381.10 1.79
60330.10 1.18
