Name,playerid,real,kml2,kml3,pred
Xavier Cedeno,36,0.0,0.32,0.24,0.4
Zach Phillips,99,-0.1,0.12,0.11,-0.08
CC Sabathia,404,2.1,3.69,4.77,3.29
Josh Beckett,510,0.1,0.5,2.74,3.99
Octavio Dotel,555,0.0,1.07,0.9,1.1
Jeremy Affeldt,583,-0.5,1.16,0.89,-0.03
Jeremy Horst,596,-0.2,0.19,0.1,0.19
Jamey Wright,715,0.5,0.34,0.41,-0.11
Grant Balfour,718,0.6,0.45,0.5,1.05
LaTroy Hawkins,729,1.2,0.2,0.2,0.1
Kyle Lohse,739,1.7,2.59,3.49,3.1
Scott Downs,773,0.5,0.5,0.44,0.52
Randy Choate,813,0.5,0.4,0.03,0.5
Tim Hudson,921,1.6,0.97,1.8,0.56
Brett Myers,962,-0.6,0.5,1.5,0.1
Jake Peavy,1051,2.0,1.92,2.28,3.52
Rafael Soriano,1100,0.5,-0.02,0.26,0.09
Roy Halladay,1303,-0.7,4.67,1.99,2.2
Brandon Lyon,1312,0.0,0.01,0.14,0.12
Pedro Beato,1330,0.0,0.03,0.24,0.14
Nick Hagadone,1351,-0.2,0.52,0.39,0.43
Andrew Bailey,1368,-0.2,1.5,0.94,0.7
Charlie Furbush,1370,1.1,0.5,0.26,0.07
Aaron Harang,1451,0.4,2.43,1.96,2.29
Jon Rauch,1475,0.2,0.2,0.17,0.13
Sandy Rosario,1525,0.0,0.06,0.2,0.09
Cliff Lee,1636,5.5,4.87,5.68,6.96
Francisco Rodriguez,1642,0.3,0.5,0.91,0.51
Javier Lopez,1663,0.7,0.48,0.22,0.22
Jose Valverde,1726,-0.6,0.62,1.13,1.27
Chad Gaudin,1783,1.0,0.05,0.4,0.04
Kevin Gregg,1793,0.0,0.52,0.5,0.5
Michael Gonzalez,1794,-0.6,0.07,0.67,0.52
J.J. Putz,1795,0.1,0.15,0.36,1.09
Matt Belisle,1837,1.3,0.5,1.46,0.5
Edwin Jackson,1841,2.2,3.87,2.49,3.62
Shawn Camp,1855,-0.8,0.64,0.41,0.44
Sean Burnett,1886,-0.1,0.25,0.3,0.06
Matt Moore,1890,1.7,1.14,0.72,1.98
Jason Frasor,1906,0.7,0.3,0.3,0.05
Matt Thornton,1918,0.1,-1.09,0.42,1.05
Frank Francisco,1933,0.1,0.54,0.14,0.43
Mike Adams,1937,-0.4,0.34,0.71,0.72
Zack Greinke,1943,3.5,5.28,3.76,3.88
Raul Valdes,1953,0.0,1.11,0.83,0.69
Ivan Nova,1994,2.1,1.0,1.5,0.59
Tim Byrdak,1995,-0.2,0.5,0.5,-0.4
Clayton Kershaw,2036,7.3,3.58,6.06,6.95
Justin Masterson,2038,3.7,3.47,3.34,3.0
Jorge De La Rosa,2047,2.8,1.3,0.5,0.5
Matt Guerrier,2061,0.2,0.68,0.7,0.48
Jose Veras,2063,0.7,0.13,0.34,0.67
Jeremy Guthrie,2072,0.7,0.45,3.21,1.39
Heath Bell,2080,-0.1,0.7,0.28,0.13
Alfredo Simon,2155,0.1,0.36,0.38,0.49
Chad Qualls,2170,0.5,-0.08,0.37,0.13
Joel Hanrahan,2186,-0.7,0.5,0.58,0.33
Brandon Gomes,2267,0.1,0.26,0.05,0.15
Joel Peralta,2332,0.4,0.8,0.73,1.02
Anthony Varvaro,2385,0.2,0.44,0.17,-0.04
Barry Enright,2412,-0.3,0.53,0.53,0.08
Corey Kluber,2429,2.9,0.45,0.46,0.46
Lance Lynn,2520,3.3,3.16,3.41,1.67
Joe Paterson,2565,0.0,0.05,0.29,0.13
Joba Chamberlain,2692,-0.7,0.24,0.33,0.1
Rick Porcello,2717,2.9,4.59,2.76,3.58
Carlos Marmol,2790,-0.6,-0.17,0.56,0.25
Joe Savery,2835,0.0,0.35,0.59,0.57
Ross Detwiler,2859,1.0,0.8,1.65,0.63
Santiago Casilla,2873,-0.2,0.04,0.45,0.35
Zach McAllister,2895,1.6,2.1,0.92,0.93
Jeff Locke,2929,1.1,1.26,0.5,1.24
Eduardo Sanchez,2966,-0.1,0.25,0.57,-0.1
Kenley Jansen,3096,2.5,0.7,0.7,1.76
Duane Below,3124,0.0,-0.02,0.09,0.32
Luis Mendoza,3126,0.2,1.63,1.39,2.11
Tony Watson,3132,0.6,0.39,0.35,0.34
Max Scherzer,3137,5.9,3.97,4.01,2.08
Tim Collins,3164,0.7,1.17,1.13,1.23
Clayton Mortensen,3166,-0.2,0.07,0.03,-0.05
David Price,3184,3.9,3.31,2.78,3.08
Ervin Santana,3200,2.6,0.75,1.04,0.87
Francisco Liriano,3201,3.1,1.5,1.62,0.5
Josh Stinson,3219,-0.1,0.12,0.35,0.21
Josh Roenicke,3241,0.0,0.34,0.2,0.27
Jeff Samardzija,3254,3.0,1.35,2.38,0.95
Jordan Walden,3271,0.8,0.73,0.66,0.5
Joe Smith,3281,0.5,0.43,0.34,0.83
Anibal Sanchez,3284,5.8,3.5,2.61,2.75
Hector Noesi,3292,0.1,0.5,0.5,0.5
Chris Hatcher,3299,-0.1,-0.13,-0.15,-0.14
Darren O'Day,3321,0.7,1.51,1.52,0.7
Matt Garza,3340,2.1,2.54,2.41,1.07
Mitchell Boggs,3344,-0.9,-0.09,-0.21,0.48
Cesar Ramos,3357,0.1,0.25,0.07,0.22
Ubaldo Jimenez,3374,3.5,2.44,2.46,2.02
Ricky Romero,3403,-0.3,1.6,1.44,1.09
Danny Duffy,3542,0.6,0.34,0.43,0.32
C.J. Wilson,3580,2.9,2.93,3.99,4.48
Jim Johnson,3656,0.9,0.9,0.53,0.93
Logan Ondrusek,3677,0.1,0.15,0.28,-0.01
