Name,playerid,real,kml2,kml3,pred
Brandon League,3731,-0.7,1.22,0.46,0.5
Everett Teaford,3732,0.0,0.02,0.04,0.03
Mat Latos,3815,5.0,1.3,2.94,2.63
Ricky Nolasco,3830,3.5,2.83,2.13,1.93
Rubby de la Rosa,3862,-0.2,0.5,0.57,0.23
Gavin Floyd,3886,0.2,2.55,3.57,1.91
David Carpenter,3959,0.9,-0.03,0.33,0.21
Edward Mujica,3970,0.1,0.46,0.21,0.46
Hector Santiago,4026,1.3,0.35,0.49,0.52
Brian Duensing,4064,0.9,0.2,0.4,0.61
Alex Burnett,4065,0.0,0.51,0.31,0.13
Pedro Strop,4070,0.6,0.14,0.64,0.68
James Russell,4089,0.1,0.32,0.33,0.46
Luke Gregerson,4090,1.2,-0.3,0.53,0.08
Carlos Villanueva,4138,1.2,0.47,0.26,0.95
Jose Mijares,4140,0.4,0.98,0.66,0.46
Derek Holland,4141,4.5,1.95,1.99,2.5
Jake Arrieta,4153,0.2,0.56,0.95,1.24
Rafael Dolis,4185,0.0,0.25,0.25,0.25
Wilton Lopez,4227,0.6,1.11,0.87,0.5
Jered Weaver,4235,2.3,3.55,3.38,3.12
Brad Lincoln,4241,-0.4,0.8,0.83,0.82
David Hernandez,4259,-0.3,1.33,2.01,0.5
Mark Melancon,4264,2.5,0.4,0.15,0.48
Matt Albers,4300,0.3,-0.13,0.39,0.5
Tyler Chatwood,4338,1.9,0.15,0.17,0.5
Craig Breslow,4363,0.5,0.56,0.55,0.5
Jeremy Hellickson,4371,1.3,1.2,1.0,0.74
Jon Niese,4424,2.2,4.01,3.84,2.13
Michael Bowden,4440,0.0,0.23,0.43,-0.0
Jordan Zimmermann,4505,3.8,3.37,3.37,3.16
Josh Johnson,4567,0.4,3.59,3.86,3.29
Matt Lindstrom,4604,1.0,0.5,0.43,0.6
Joe Thatcher,4620,0.2,0.37,0.11,0.16
Sam LeCure,4664,0.9,1.11,0.61,0.48
Matt Cain,4732,1.2,4.11,2.94,4.71
Sergio Santos,4734,0.9,0.27,0.4,-0.07
Jonathan Broxton,4759,-0.3,1.31,0.5,-0.16
Felix Hernandez,4772,6.1,6.42,2.93,7.01
Vinnie Pestano,4782,-0.4,0.38,0.99,2.14
Rich Hill,4806,0.1,0.21,0.52,0.34
Jesse Crain,4817,1.9,0.03,0.52,1.05
Clay Rapada,4831,0.0,0.49,0.19,0.35
Kyle McClellan,4845,-0.2,0.25,0.01,0.02
Joe Blanton,4849,-0.4,1.52,2.21,1.3
Peter Moylan,4891,-0.3,0.06,0.56,0.23
Jarrod Parker,4913,1.3,2.74,2.74,2.38
Jon Lester,4930,3.3,3.6,2.26,2.91
Justin De Fratus,4955,0.1,0.29,0.18,0.38
Fernando Salas,4971,0.0,0.55,0.76,0.23
Cole Hamels,4972,4.6,4.24,4.04,2.78
Fernando Abad,4994,0.3,0.74,0.48,0.29
Dale Thayer,5032,0.0,0.37,0.17,0.91
Franklin Morales,5088,-0.1,0.11,-0.04,0.4
Scott Diamond,5089,0.1,2.99,1.92,3.24
Guillermo Moscoso,5106,-0.5,0.29,0.24,0.62
Alfredo Aceves,5164,-0.6,0.55,-0.11,0.24
Ernesto Frieri,5178,0.7,0.46,0.35,1.56
Brayan Villarreal,5180,-0.3,0.5,0.37,0.61
Mike Pelfrey,5203,2.4,1.0,1.27,1.33
Chris Perez,5213,-0.8,0.7,0.2,0.53
Wade LeBlanc,5221,0.1,0.25,-0.01,0.14
Vin Mazzaro,5231,0.4,0.34,0.36,0.4
Chris Tillman,5279,2.0,2.96,2.2,2.08
Cristhian Martinez,5337,0.0,0.05,0.6,0.58
Jesse Chavez,5448,0.7,0.09,0.16,0.02
James McDonald,5523,0.2,0.74,1.7,2.45
Madison Bumgarner,5524,3.5,1.64,1.7,2.53
Boone Logan,5525,0.1,0.22,0.72,0.22
Maikel Cleto,5529,-0.1,0.36,0.25,-0.01
Phil Coke,5535,0.0,0.34,0.4,1.0
Matt Harrison,5551,0.0,2.25,3.31,4.05
Jair Jurrjens,5556,0.1,0.1,0.5,1.2
Tyler Clippard,5640,0.4,0.62,1.0,0.92
Tim Lincecum,5705,1.4,3.04,1.45,0.56
Josh Lueke,5722,-0.1,0.07,0.08,0.1
Eric O'Flaherty,5746,-0.1,0.31,0.06,1.09
Chad Billingsley,5842,0.1,3.69,3.23,2.66
Sean Marshall,5905,0.3,0.22,0.44,0.89
Wesley Wright,5960,0.0,0.3,0.1,0.42
Randall Delgado,5985,-0.1,0.5,0.5,1.3
Kelvin Herrera,6033,0.5,1.27,1.27,1.26
Kyle Kendrick,6230,2.0,0.5,0.52,1.09
Tom Gorzelanny,6244,0.5,-0.14,0.5,0.34
Aaron Laffey,6248,0.0,0.5,1.4,0.5
Trevor Cahill,6249,0.7,3.83,2.97,2.25
Scott Feldman,6283,2.2,1.63,1.32,3.01
Esmil Rogers,6317,0.1,0.74,0.09,0.45
Al Alburquerque,6324,0.2,0.57,0.59,0.55
Henry Rodriguez,6371,-0.4,0.83,0.32,0.07
Luis Perez,6389,0.1,0.17,0.13,0.1
Vance Worley,6435,-0.2,1.1,1.09,0.5
Kevin Jepsen,6475,0.3,-0.1,0.94,0.32
Steve Cishek,6483,1.5,0.92,0.92,0.69
Brian Wilson,6485,0.4,-0.26,0.45,0.5
Michael Stutes,6550,0.0,-0.04,0.31,0.1
Alex Cobb,6562,2.3,2.8,2.83,2.44
Marc Rzepczynski,6612,0.2,0.5,0.2,0.3
Brad Brach,6627,-0.1,0.35,0.64,0.46
Andrew Miller,6785,0.3,-0.07,0.38,0.24
Jeff Manship,6865,-0.1,0.1,0.0,-0.13
Johnny Cueto,6893,0.7,3.28,5.51,4.69
Luke Hochevar,6943,1.1,2.14,1.38,0.7
Drew Storen,6983,0.2,0.5,0.5,0.35
Ian Kennedy,6986,0.4,1.1,1.94,1.3
James Shields,7059,4.1,2.11,1.58,3.55
Ryan Mattheus,7169,0.1,0.03,0.02,0.04
Greg Holland,7196,3.1,1.42,1.52,0.8
Craig Stammen,7274,1.1,0.45,-0.02,0.43
Brad Ziegler,7293,0.5,0.5,0.36,0.51
Josh Collmenter,7312,0.9,0.39,0.84,1.0
Casey Janssen,7355,1.2,0.06,-0.11,0.27
Dillon Gee,7396,2.1,1.71,1.71,1.03
Javy Guerra,7407,0.0,-0.15,0.07,0.25
Mark Lowe,7416,-0.3,0.17,0.1,0.08
Wade Davis,7441,1.5,0.78,0.76,0.64
Gio Gonzalez,7448,3.2,2.3,3.96,4.79
Phil Hughes,7450,1.0,1.34,1.3,1.67
Ryan Webb,7474,0.5,0.61,-0.04,0.59
Evan Scribner,7525,0.0,0.21,0.03,0.47
Lucas Harrell,7541,-0.9,2.89,2.96,2.72
Jake McGee,7550,0.5,0.6,0.56,1.43
Tommy Milone,7608,1.2,1.96,2.18,2.23
Chris Leroux,7645,-0.2,0.31,0.1,0.18
Juan Nicasio,7731,2.1,1.51,0.11,1.09
Mike Fiers,7754,-0.6,1.77,0.65,0.5
Shawn Kelley,7773,0.4,-0.04,0.06,0.08
Jerry Blevins,7841,0.3,0.08,0.3,0.26
Tyson Ross,7872,1.9,1.02,0.99,0.58
Cory Gearrin,7947,-0.2,0.12,0.32,0.21
Anthony Bass,7982,-0.1,0.8,0.5,0.5
Ramon Ramirez,7986,-0.3,0.18,0.44,0.2
Glen Perkins,8041,1.8,0.83,0.99,1.23
Jason Vargas,8044,1.7,1.24,1.32,1.78
Bryan Shaw,8110,1.0,0.47,0.27,0.53
Yovani Gallardo,8173,1.5,-0.03,2.84,2.09
Brett Anderson,8223,0.3,1.63,0.16,0.9
David Robertson,8241,1.3,0.4,0.26,0.1
Huston Street,8258,-0.8,0.7,0.04,0.21
Tony Sipp,8280,-0.3,0.03,0.1,0.45
Jared Burton,8346,0.9,0.49,0.34,0.17
Homer Bailey,8362,3.9,1.43,2.94,1.98
Edgmer Escalona,8574,-0.2,0.21,0.51,0.03
Paul Maholm,8678,0.5,1.53,2.22,3.27
Justin Verlander,8700,4.8,4.83,5.58,5.84
Wade Miley,8779,1.6,4.87,3.88,3.51
Andrew Cashner,8782,2.6,0.12,0.26,-0.03
Antonio Bastardo,8844,0.6,0.32,1.14,0.7
Brandon Beachy,8851,0.2,1.24,1.26,1.2
Ryan Cook,8855,1.6,0.92,0.9,0.51
Matt Reynolds,8887,0.4,-0.07,0.34,0.01
Jeanmar Gomez,9033,0.2,0.5,0.5,0.8
John Axford,9059,-0.5,0.5,0.63,0.33
Zach Putnam,9080,0.0,0.26,0.2,0.28
Cody Eppley,9095,0.0,0.22,0.45,0.12
Brad Hand,9111,0.1,0.44,0.8,0.44
Nathan Eovaldi,9132,1.5,1.24,1.17,1.04
Koji Uehara,9227,3.1,-0.04,0.4,0.69
Dylan Axelrod,9303,-0.4,0.72,0.61,0.23
Jared Hughes,9325,-0.1,0.1,0.09,0.1
Kris Medlen,9417,2.4,1.25,1.0,1.0
Doug Fister,9425,4.0,4.21,3.89,4.04
George Kontos,9486,-0.3,0.41,0.45,0.36
Jeremy Jeffress,9490,0.1,0.01,0.25,0.32
Bud Norris,9492,2.7,1.33,2.18,1.92
Louis Coleman,9720,0.7,0.36,0.08,0.06
Burke Badenhop,9736,0.2,-0.18,0.17,0.27
Garrett Richards,9784,1.7,0.31,0.24,0.19
Rex Brothers,9794,1.0,1.38,0.92,0.84
Sergio Romo,9817,1.0,0.48,0.5,1.01
Michael Kirkman,9877,0.1,0.38,0.29,0.01
Bobby Parnell,9926,1.6,0.71,0.84,0.64
Brandon Kintzler,9939,1.3,0.1,0.16,-0.18
Mike Dunn,9948,0.9,0.37,0.37,0.07
Tom Wilhelmsen,9975,0.3,0.71,1.22,0.7
Dane de la Rosa,10095,1.0,0.22,0.27,0.42
Mike Leake,10130,2.3,2.59,3.7,2.07
Stephen Strasburg,10131,3.2,4.41,4.42,3.94
Aaron Crow,10149,-0.2,0.68,0.58,0.76
Jacob Turner,10185,0.3,0.2,0.2,0.5
Addison Reed,10586,1.6,0.3,0.49,0.36
Chris Sale,10603,4.9,5.08,3.99,2.93
Drew Pomeranz,11426,-0.3,0.9,1.84,0.73
Steve Delabar,11827,1.2,0.08,0.02,-0.01
Yu Darvish,13074,4.7,4.0,4.0,3.99
