20364.60 4.97
31376.10 4.85
68931.20 4.83
87004.10 3.59
27172.10 3.27
24297.30 4.32
106037.70 4.47
55241.70 4.72
114233.90 3.48
31841.60 4.55
49302.70 3.73
101315.70 3.72
48062.60 2.04
41532.40 3.52
32002.90 2.29
87532.50 2.74
49721.60 2.44
67971.10 2.31
53721.10 1.97
30963.60 1.73
43710.10 1.90
74102.80 2.48
15070.50 2.30
63454.50 2.55
74483.40 2.53
67852.30 1.93
141072.50 2.11
114263.20 1.98
22331.50 1.83
11182.50 1.53
130743.70 2.07
4041.90 1.45
3750.60 1.91
35423.50 2.20
102331.60 1.80
38300.80 1.80
131253.10 1.76
58672.20 1.88
94342.40 2.06
70241.30 1.56
32543.80 2.43
105860.90 1.31
32400.60 2.00
66325.50 1.86
101303.10 1.23
13048-0.30 1.87
5279-1.00 1.43
19942.00 1.64
19435.10 1.27
18901.00 1.88
69022.10 1.22
43381.10 1.64
60330.10 1.11
