playerid, trueWAR, predWAR 
8173, 0.00, 0.91
2036, 4.60, 2.82
3196, -0.30, 0.75
3374, 0.10, 1.11
3340, 0.90, 1.52
2047, 0.00, 0.99
4732, 0.30, 0.98
1943, 5.10, 1.11
4772, 0.40, 0.92
14682, 1.70, 1.50
13543, 1.80, 1.38
11674, 2.90, 1.80
13218, 3.50, 2.18
12880, 1.10, 2.07
13273, 0.70, 0.91
15873, 2.20, 1.56
12917, 2.70, 1.80
16149, 4.20, 2.93
10811, 1.80, 2.67
12804, -0.10, 2.01
12918, 2.10, 1.54
13758, 0.70, 1.80
12022, 0.50, 1.31
15440, 1.90, 1.51
12972, 0.40, 1.99
14457, -0.10, 0.67
12638, 0.40, 1.59
11189, 0.10, 1.97
13361, 0.30, 4.07
13164, 2.20, 1.92
12580, 0.30, 1.22
11828, 4.60, 3.01
11836, 2.50, 1.66
11132, 0.00, 1.08
6895, 3.20, 1.60
10954, 4.30, 3.79
12768, 2.80, 0.98
7738, 0.00, 1.59
13125, 3.10, 1.63
4338, 1.10, 1.56
5867, 2.20, 2.01
10123, 1.20, 1.55
11713, -0.90, 1.05
14078, 3.20, 1.56
2929, 0.30, 0.67
7024, 1.30, 1.57
13071, 0.50, 1.80
4806, 2.60, 2.25
2608, 2.40, 0.90
8782, 2.00, 1.57
7731, 1.50, 2.09
10131, 5.70, 4.19
6632, 5.50, 3.41
7396, 0.30, 0.59
4505, 1.00, 1.47
5203, -1.10, 0.67
4141, -1.00, 1.24
9492, 0.70, 1.64
