playerid, trueWAR, predWAR 
8173, 0.00, 0.84
2036, 4.60, 3.12
3196, -0.30, 0.63
3374, 0.10, 1.10
1841, -0.30, 0.72
3340, 0.90, 1.37
2047, 0.00, 0.89
4732, 0.30, 0.77
4772, 0.40, 0.96
14682, 1.70, 1.56
13543, 1.80, 1.65
11674, 2.90, 1.66
13218, 3.50, 1.97
12880, 1.10, 2.42
13273, 0.70, 0.84
15873, 2.20, 1.86
12917, 2.70, 1.66
16149, 4.20, 3.14
10811, 1.80, 2.54
12804, -0.10, 2.09
12918, 2.10, 1.82
13758, 0.70, 1.83
12022, 0.50, 1.35
15440, 1.90, 1.44
12972, 0.40, 2.10
14457, -0.10, 0.63
12638, 0.40, 1.66
11189, 0.10, 2.02
13361, 0.30, 4.26
13164, 2.20, 1.81
12580, 0.30, 1.54
11828, 4.60, 2.84
11836, 2.50, 1.75
11132, 0.00, 0.99
6895, 3.20, 1.47
10954, 4.30, 3.63
12768, 2.80, 1.00
7738, 0.00, 1.52
13125, 3.10, 1.57
4338, 1.10, 1.64
5867, 2.20, 2.35
10123, 1.20, 1.48
11713, -0.90, 1.14
14078, 3.20, 1.78
13074, 3.70, 3.07
2929, 0.30, 0.68
7024, 1.30, 1.92
13071, 0.50, 1.92
4806, 2.60, 2.43
2608, 2.40, 1.06
8782, 2.00, 1.25
7731, 1.50, 1.89
10131, 5.70, 4.14
6632, 5.50, 3.81
7396, 0.30, 0.74
4505, 1.00, 1.35
5203, -1.10, 0.72
4141, -1.00, 1.06
9492, 0.70, 1.57
