playerid, trueWAR, predWAR 
1009771, -0.10, 0.89
1010242, -0.60, 0.30
1010700, 1.20, 1.45
1010955, -0.10, 0.38
1011608, -0.20, 0.60
1011823, 0.60, 0.55
1012114, 1.00, 1.73
1012824, 2.90, 1.87
1013550, -0.10, 0.86
1014446, 1.10, 0.64
