20364.60 4.98
31376.10 4.88
68931.20 4.73
87004.10 3.59
27172.10 3.03
24297.30 4.27
106037.70 4.61
55241.70 4.87
114233.90 3.30
31841.60 4.79
49302.70 3.80
101315.70 3.74
48062.60 2.19
41532.40 3.49
32002.90 2.17
87532.50 2.79
49721.60 2.41
67971.10 2.45
53721.10 1.89
30963.60 1.59
43710.10 1.84
74102.80 2.50
15070.50 2.57
63454.50 2.42
74483.40 2.55
67852.30 2.12
141072.50 2.13
114263.20 2.12
22331.50 1.73
11182.50 1.43
130743.70 1.99
4041.90 1.39
3750.60 1.78
35423.50 2.11
102331.60 1.69
38300.80 1.74
131253.10 1.44
58672.20 1.99
94342.40 2.12
70241.30 1.66
32543.80 2.36
105860.90 1.36
32400.60 1.97
66325.50 1.85
101303.10 1.37
13048-0.30 1.72
5279-1.00 1.52
19942.00 1.88
19435.10 1.12
18901.00 1.73
69022.10 1.15
43381.10 1.76
60330.10 1.27
