Name,playerid,real,kml2,kml3,pred
Scott Schoeneweis,33,-0.4,0.41,0.25,0.13
Scot Shields,35,0.6,0.38,0.31,0.55
Jarrod Washburn,40,1.5,2.03,1.84,1.05
Matt Wise,42,-0.1,0.78,0.18,0.22
Randy Johnson,60,3.6,2.48,1.2,1.6
Tom Glavine,90,-0.6,2.22,0.6,0.6
Greg Maddux,104,2.4,1.96,3.08,4.21
Kevin Millwood,106,3.2,4.87,1.22,4.47
John Smoltz,115,1.0,4.26,3.19,4.53
Dan Wheeler,120,0.3,1.16,-0.06,0.47
Erik Bedard,126,1.0,2.65,3.74,4.1
Jorge Julio,148,0.1,0.11,0.48,0.18
Casey Fossum,188,0.2,0.1,0.35,0.12
Derek Lowe,199,4.3,3.11,3.47,3.3
Mark Buehrle,225,4.3,2.72,3.47,3.81
Jon Garland,232,1.3,3.97,3.99,2.41
Bob Howry,237,0.2,0.64,0.89,1.31
Damaso Marte,247,1.4,0.43,0.3,0.69
Joe Borowski,267,-0.4,0.98,1.2,0.5
Juan Cruz,273,0.5,0.5,0.13,0.66
Kyle Farnsworth,278,-0.7,0.52,0.47,0.71
Ron Mahay,290,0.4,0.93,0.54,0.45
Kerry Wood,304,2.1,0.0,0.26,0.12
Carlos Zambrano,305,2.8,5.12,3.97,4.08
Elmer Dessens,317,-0.2,0.5,0.83,0.4
David Riske,402,-0.4,-0.22,-0.11,0.35
CC Sabathia,404,7.4,8.96,2.51,2.45
Jake Westbrook,412,0.3,1.26,1.71,2.32
Shawn Chacon,424,-0.1,0.32,0.31,0.29
Brian Fuentes,429,2.5,1.12,0.85,0.34
Todd Jones,436,-0.5,1.01,-0.3,0.42
Dennys Reyes,444,0.4,0.27,0.08,0.4
Justin Speier,451,-0.9,0.41,0.79,1.34
Jamie Walker,502,-1.0,0.66,0.39,0.35
Josh Beckett,510,4.3,4.45,4.26,2.06
A.J. Burnett,512,5.0,2.81,2.19,3.06
Ryan Dempster,517,4.7,0.58,0.82,0.6
Jason Grilli,521,1.0,0.5,0.59,0.71
Braden Looper,526,1.4,0.5,0.44,0.5
Brad Penny,535,0.0,2.5,3.98,4.66
Doug Brocail,551,0.7,0.33,0.33,0.5
Octavio Dotel,555,0.7,0.03,-0.15,-0.09
Brad Lidge,563,2.2,0.5,0.76,0.23
Scott Linebrink,564,0.5,0.57,0.54,0.56
Roy Oswalt,571,3.7,4.64,3.81,5.03
Billy Wagner,578,1.2,-0.3,-0.11,0.5
Jeremy Affeldt,583,0.4,0.17,0.61,0.01
Paul Byrd,594,0.7,3.06,3.29,0.6
Mike MacDougal,612,0.1,0.59,0.53,0.52
Brian Shouse,630,0.4,0.5,0.5,0.5
Jeff Suppan,633,0.0,2.0,1.76,4.31
Eric Gagne,650,-0.9,0.5,0.5,1.0
Odalis Perez,668,1.4,2.54,2.22,1.1
Ray King,693,-0.2,0.4,0.1,0.0
Ben Sheets,710,4.7,3.02,2.79,3.85
Luis Vizcaino,714,0.0,0.52,0.43,0.3
Jamey Wright,715,0.6,0.5,0.52,0.61
Eddie Guardado,727,0.7,0.25,0.5,0.35
LaTroy Hawkins,729,0.8,0.05,0.46,0.24
Kyle Lohse,739,2.8,4.7,3.67,3.73
Juan Rincon,752,-0.4,0.5,0.3,-0.15
J.C. Romero,754,-0.2,0.32,-0.29,0.29
Johan Santana,755,5.3,2.64,3.78,3.78
Tony Armas Jr.,761,0.0,0.18,0.16,0.41
Scott Downs,773,1.0,0.79,0.82,0.78
Javier Vazquez,801,4.9,4.69,6.28,2.47
Ted Lilly,833,2.8,1.71,3.38,1.79
Mike Mussina,837,3.6,2.53,2.79,2.53
Andy Pettitte,840,3.3,3.28,3.33,4.2
Armando Benitez,865,-0.2,0.3,-0.15,0.5
Tyler Walker,901,0.2,0.28,0.34,0.51
David Weathers,902,0.0,0.5,0.5,0.5
Chad Bradford,904,0.4,0.63,0.65,0.95
Justin Duchscherer,910,2.5,0.5,-0.5,0.25
Tim Hudson,921,1.9,4.52,2.74,2.32
Barry Zito,944,1.3,1.25,1.06,1.88
Brandon Duckworth,954,0.4,0.3,0.27,0.4
Vicente Padilla,964,1.5,0.52,0.51,1.55
Bronson Arroyo,978,2.2,2.26,2.47,3.34
Joe Beimel,979,0.5,0.21,0.35,0.71
Josh Fogg,989,-0.6,0.59,0.5,1.5
Kip Wells,1012,-0.2,1.3,0.6,0.5
Alan Embree,1030,0.0,0.5,0.44,0.79
