id,Name,playerid,real,pred
36,Xavier Cedeno,36,0.0,0.64
99,Zach Phillips,99,-0.1,0.4
404,CC Sabathia,404,2.1,3.49
510,Josh Beckett,510,0.1,1.4
555,Octavio Dotel,555,0.0,0.72
583,Jeremy Affeldt,583,-0.5,0.21
596,Jeremy Horst,596,-0.2,0.59
715,Jamey Wright,715,0.5,0.39
718,Grant Balfour,718,0.6,0.52
729,LaTroy Hawkins,729,1.2,0.1
739,Kyle Lohse,739,1.7,2.36
773,Scott Downs,773,0.5,0.2
813,Randy Choate,813,0.5,0.39
921,Tim Hudson,921,1.6,1.5
962,Brett Myers,962,-0.6,0.1
1051,Jake Peavy,1051,2.0,3.23
1100,Rafael Soriano,1100,0.5,1.05
1303,Roy Halladay,1303,-0.7,3.02
1312,Brandon Lyon,1312,0.0,0.59
1330,Pedro Beato,1330,0.0,0.21
1351,Nick Hagadone,1351,-0.2,0.21
1368,Andrew Bailey,1368,-0.2,0.33
1370,Charlie Furbush,1370,1.1,0.61
1451,Aaron Harang,1451,0.4,1.39
1475,Jon Rauch,1475,0.2,0.34
1525,Sandy Rosario,1525,0.0,0.18
1636,Cliff Lee,1636,5.5,3.49
1642,Francisco Rodriguez,1642,0.3,0.26
1663,Javier Lopez,1663,0.7,0.22
1726,Jose Valverde,1726,-0.6,0.2
1783,Chad Gaudin,1783,1.0,0.2
1793,Kevin Gregg,1793,0.0,0.23
1794,Michael Gonzalez,1794,-0.6,0.46
1795,J.J. Putz,1795,0.1,0.97
1837,Matt Belisle,1837,1.3,0.69
1841,Edwin Jackson,1841,2.2,2.05
1855,Shawn Camp,1855,-0.8,0.54
1886,Sean Burnett,1886,-0.1,0.56
1890,Matt Moore,1890,1.7,2.3
1906,Jason Frasor,1906,0.7,0.17
1918,Matt Thornton,1918,0.1,0.67
1933,Frank Francisco,1933,0.1,0.39
1937,Mike Adams,1937,-0.4,0.29
1943,Zack Greinke,1943,3.5,3.62
1953,Raul Valdes,1953,0.0,1.04
1994,Ivan Nova,1994,2.1,1.93
1995,Tim Byrdak,1995,-0.2,0.35
2036,Clayton Kershaw,2036,7.3,4.27
2038,Justin Masterson,2038,3.7,2.71
2047,Jorge De La Rosa,2047,2.8,0.33
2061,Matt Guerrier,2061,0.2,0.16
2063,Jose Veras,2063,0.7,0.31
2072,Jeremy Guthrie,2072,0.7,0.8
2080,Heath Bell,2080,-0.1,0.52
2155,Alfredo Simon,2155,0.1,0.5
2170,Chad Qualls,2170,0.5,0.24
2186,Joel Hanrahan,2186,-0.7,0.61
2267,Brandon Gomes,2267,0.1,0.1
2332,Joel Peralta,2332,0.4,0.83
2385,Anthony Varvaro,2385,0.2,0.46
2412,Barry Enright,2412,-0.3,0.21
2429,Corey Kluber,2429,2.9,1.01
2520,Lance Lynn,2520,3.3,2.7
2565,Joe Paterson,2565,0.0,0.05
2692,Joba Chamberlain,2692,-0.7,0.13
2717,Rick Porcello,2717,2.9,2.4
2790,Carlos Marmol,2790,-0.6,0.57
2835,Joe Savery,2835,0.0,0.04
2859,Ross Detwiler,2859,1.0,1.33
2873,Santiago Casilla,2873,-0.2,0.38
2895,Zach McAllister,2895,1.6,2.21
2929,Jeff Locke,2929,1.1,0.95
2966,Eduardo Sanchez,2966,-0.1,0.04
3096,Kenley Jansen,3096,2.5,1.26
3124,Duane Below,3124,0.0,0.21
3126,Luis Mendoza,3126,0.2,0.33
3132,Tony Watson,3132,0.6,0.31
3137,Max Scherzer,3137,5.9,2.87
3164,Tim Collins,3164,0.7,0.85
3166,Clayton Mortensen,3166,-0.2,0.21
3184,David Price,3184,3.9,3.05
3200,Ervin Santana,3200,2.6,1.34
3201,Francisco Liriano,3201,3.1,1.18
3219,Josh Stinson,3219,-0.1,0.27
3241,Josh Roenicke,3241,0.0,0.04
3254,Jeff Samardzija,3254,3.0,2.9
3271,Jordan Walden,3271,0.8,0.49
3281,Joe Smith,3281,0.5,0.14
3284,Anibal Sanchez,3284,5.8,3.71
3292,Hector Noesi,3292,0.1,0.95
3299,Chris Hatcher,3299,-0.1,0.18
3321,Darren O'Day,3321,0.7,1.05
3340,Matt Garza,3340,2.1,1.58
3344,Mitchell Boggs,3344,-0.9,0.48
3357,Cesar Ramos,3357,0.1,0.36
3374,Ubaldo Jimenez,3374,3.5,1.47
3403,Ricky Romero,3403,-0.3,1.24
3542,Danny Duffy,3542,0.6,0.52
3580,C.J. Wilson,3580,2.9,2.56
3656,Jim Johnson,3656,0.9,0.58
3677,Logan Ondrusek,3677,0.1,0.05
3731,Brandon League,3731,-0.7,0.35
3732,Everett Teaford,3732,0.0,0.25
3815,Mat Latos,3815,5.0,3.22
3830,Ricky Nolasco,3830,3.5,2.38
3862,Rubby de la Rosa,3862,-0.2,0.08
3886,Gavin Floyd,3886,0.2,1.38
3959,David Carpenter,3959,0.9,0.3
3970,Edward Mujica,3970,0.1,0.36
4026,Hector Santiago,4026,1.3,0.38
4064,Brian Duensing,4064,0.9,0.74
4065,Alex Burnett,4065,0.0,-0.02
4070,Pedro Strop,4070,0.6,0.19
4089,James Russell,4089,0.1,0.57
4090,Luke Gregerson,4090,1.2,0.53
4138,Carlos Villanueva,4138,1.2,0.96
4140,Jose Mijares,4140,0.4,0.51
4141,Derek Holland,4141,4.5,1.55
4153,Jake Arrieta,4153,0.2,1.96
4185,Rafael Dolis,4185,0.0,0.16
