20364.60 4.92
31376.10 4.73
68931.20 4.78
87004.10 3.53
27172.10 2.93
24297.30 4.10
106037.70 4.59
55241.70 4.76
114233.90 3.29
31841.60 4.68
49302.70 3.51
101315.70 3.80
48062.60 2.50
41532.40 3.25
32002.90 2.33
87532.50 2.71
49721.60 2.29
67971.10 2.35
53721.10 1.81
30963.60 1.63
43710.10 2.06
74102.80 2.28
15070.50 2.59
63454.50 2.13
74483.40 2.50
67852.30 1.89
141072.50 2.13
114263.20 2.10
22331.50 1.95
11182.50 1.43
130743.70 1.87
4041.90 1.51
3750.60 1.97
35423.50 2.13
102331.60 1.56
38300.80 1.65
131253.10 1.41
58672.20 1.98
94342.40 2.09
70241.30 1.66
32543.80 2.51
105860.90 1.20
32400.60 1.95
66325.50 1.72
101303.10 1.23
13048-0.30 1.83
5279-1.00 1.56
19942.00 1.87
19435.10 1.00
18901.00 1.77
69022.10 1.17
43381.10 1.75
60330.10 1.15
