Name,playerid,real,kml2,kml3,pred
Scot Shields,35,-0.1,0.4,0.04,0.67
Randy Johnson,60,0.3,3.39,3.18,3.12
Jason Marquis,105,3.2,0.5,1.1,1.73
Kevin Millwood,106,2.1,2.44,2.39,3.39
Horacio Ramirez,110,-0.1,-0.28,0.15,0.51
John Smoltz,115,1.3,4.19,1.36,6.47
Dan Wheeler,120,0.1,1.11,0.49,0.6
Erik Bedard,126,2.0,2.51,2.79,2.99
Jorge Julio,148,-0.3,0.09,0.11,-0.04
B.J. Ryan,168,-0.6,0.4,0.25,0.13
Casey Fossum,188,0.0,0.09,0.02,0.11
Derek Lowe,199,1.9,2.58,3.33,3.17
Mark Buehrle,225,3.0,3.14,3.12,4.53
Jon Garland,232,1.8,2.36,1.06,1.99
Bob Howry,237,0.5,0.17,-0.1,-0.03
Damaso Marte,247,-0.1,0.61,1.15,1.03
Juan Cruz,273,-0.1,0.25,0.69,0.52
Kyle Farnsworth,278,0.6,0.3,0.5,0.04
Ron Mahay,290,-0.4,0.37,0.79,-0.59
Will Ohman,296,-0.5,0.34,0.16,0.39
Kerry Wood,304,0.4,0.9,1.1,0.38
Carlos Zambrano,305,3.8,2.57,2.95,2.38
Elmer Dessens,317,-0.2,0.21,0.3,0.5
David Riske,402,0.0,0.36,0.49,0.5
CC Sabathia,404,5.8,5.91,6.06,4.25
Brian Fuentes,429,0.3,0.49,0.7,0.8
Dennys Reyes,444,0.1,0.46,0.88,0.45
Fernando Rodney,494,0.3,0.48,0.45,0.53
Jamie Walker,502,-0.4,0.5,0.5,0.5
A.J. Burnett,512,2.8,3.37,3.14,3.8
Ryan Dempster,517,3.6,2.01,2.09,2.09
Jason Grilli,521,0.4,1.02,0.68,0.46
Braden Looper,526,-0.5,1.4,1.59,3.69
Julian Tavarez,541,0.1,0.5,0.5,0.36
Doug Brocail,551,-0.4,0.65,-0.06,0.5
Octavio Dotel,555,0.7,1.4,0.99,0.64
Brad Lidge,563,-0.8,1.0,0.88,0.68
Scott Linebrink,564,0.1,0.54,0.55,0.45
Roy Oswalt,571,3.5,2.69,3.85,3.15
Billy Wagner,578,0.3,0.96,0.97,0.99
Jeremy Affeldt,583,0.5,0.35,0.06,0.32
Mike MacDougal,612,-0.3,0.5,0.19,0.42
Brian Shouse,630,-0.3,0.5,0.35,0.52
Luis Vizcaino,714,-0.1,0.29,0.2,0.35
Jamey Wright,715,-0.4,0.35,0.96,0.48
LaTroy Hawkins,729,0.5,0.18,0.21,0.38
Kyle Lohse,739,0.7,2.62,2.66,2.35
Juan Rincon,752,0.0,0.3,-0.41,0.06
J.C. Romero,754,-0.4,0.32,-0.21,0.39
Johan Santana,755,3.5,4.77,4.6,4.18
Scott Downs,773,0.8,0.93,0.72,0.59
Matt Herges,780,0.3,0.37,0.2,0.44
Javier Vazquez,801,5.8,4.23,4.69,4.57
Ted Lilly,833,3.7,1.71,2.84,2.56
Andy Pettitte,840,3.4,2.96,2.87,2.9
Tyler Walker,901,0.2,0.65,0.73,0.27
David Weathers,902,-0.7,0.7,0.3,0.16
Tim Hudson,921,0.6,1.86,1.65,1.48
Brett Myers,962,-0.5,1.54,2.26,0.58
Carlos Silva,973,-0.1,0.37,1.4,3.13
Randy Wolf,976,3.0,2.36,2.01,-0.2
Bronson Arroyo,978,1.4,1.72,1.74,1.59
Joe Beimel,979,0.3,0.47,0.41,0.28
Kip Wells,1012,0.0,0.3,0.01,0.18
Alan Embree,1030,-0.2,0.37,0.5,0.16
Trevor Hoffman,1035,1.7,0.5,0.24,0.5
Jake Peavy,1051,2.7,3.14,5.77,2.76
Brett Tomko,1056,0.0,1.4,1.0,0.99
Gil Meche,1089,1.0,1.45,3.74,4.2
Jamie Moyer,1091,0.5,0.5,0.5,0.5
Joel Pineiro,1094,4.3,0.5,0.5,0.5
Rafael Soriano,1100,1.7,0.51,0.88,0.74
Joe Nathan,1122,1.8,1.0,0.31,0.5
Jason Isringhausen,1158,0.0,0.5,0.5,0.7
Jesus Colome,1198,0.1,0.27,0.01,0.12
Bobby Seay,1225,0.8,1.53,1.1,1.22
Jorge Sosa,1228,-0.3,0.5,0.32,0.38
Francisco Cordero,1243,1.3,0.28,0.5,0.94
Doug Davis,1244,1.0,1.83,3.36,2.24
Chan Ho Park,1267,1.4,0.58,0.5,0.32
Chris Carpenter,1292,5.1,0.0,0.0,0.0
Scott Eyre,1300,-0.1,0.44,0.27,0.1
Roy Halladay,1303,7.0,4.72,5.08,5.69
Brandon Lyon,1312,0.8,0.68,0.2,0.58
Randy Flores,1446,0.1,0.32,0.01,0.28
Aaron Harang,1451,2.2,2.49,3.09,2.79
Guillermo Mota,1467,0.1,-0.05,-0.14,0.29
Jon Rauch,1475,0.6,0.94,0.97,0.35
John Lackey,1507,3.2,2.69,2.87,2.56
Oliver Perez,1514,-0.6,1.04,2.11,2.53
Aaron Cook,1571,1.4,3.16,3.16,2.57
Mark Hendrickson,1574,0.3,1.0,1.6,1.79
Nate Robertson,1620,0.5,0.5,1.02,1.49
Cliff Lee,1636,6.4,3.87,2.92,4.52
Brian Tallet,1646,1.5,0.48,0.02,0.37
Seth McClung,1657,-0.9,1.83,1.55,1.18
Jose Contreras,1660,2.1,1.1,1.31,0.52
Javier Lopez,1663,-0.2,-0.02,0.02,0.24
Jeremy Bonderman,1667,-0.4,2.14,0.5,1.43
Wil Ledezma,1669,0.0,0.12,-0.18,-0.05
Trever Miller,1672,0.5,0.18,0.29,0.41
Kiko Calero,1676,1.5,0.07,0.35,0.34
Brandon Webb,1692,-0.2,3.98,4.75,4.27
Claudio Vargas,1695,0.3,0.53,0.53,0.43
Todd Wellemeyer,1709,-0.1,2.98,1.4,2.59
Jose Valverde,1726,0.8,1.27,0.4,0.98
Edgar Gonzalez,1727,0.4,0.48,0.49,0.12
Aaron Heilman,1751,0.3,0.9,0.63,0.08
Dan Haren,1757,5.3,5.87,5.59,5.58
Rich Harden,1772,1.9,2.17,3.59,3.38
Chad Gaudin,1783,1.9,1.57,0.64,1.61
Jimmy Gobble,1791,-0.2,0.15,-0.06,0.52
Kevin Gregg,1793,-0.3,0.32,0.23,0.83
Michael Gonzalez,1794,0.8,0.83,0.15,0.23
Neal Cotts,1797,-0.4,0.15,0.31,0.08
Geoff Geary,1813,-0.4,0.56,0.45,0.44
Matt Belisle,1837,0.0,1.22,0.5,1.4
Vinnie Chulk,1838,-0.1,0.28,0.24,0.11
