Name,playerid,real,kml2,kml3,pred
Neftali Feliz,18,-0.6,0.15,0.18,0.28
Xavier Cedeno,36,-0.9,0.55,0.79,0.91
Bartolo Colon,375,0.3,1.6,1.2,1.19
CC Sabathia,404,1.9,3.43,1.61,1.1
Jason Grilli,521,-0.6,0.2,0.5,0.25
Tommy Hunter,1157,1.2,0.66,0.47,0.3
Adam Ottavino,1247,0.0,0.19,0.49,0.32
Joaquin Benoit,1437,0.2,0.15,0.34,-0.03
John Lackey,1507,0.6,2.41,2.61,2.65
Oliver Perez,1514,0.4,-0.0,0.23,0.04
Sean Doolittle,1581,1.8,0.83,0.33,0.24
Francisco Rodriguez,1642,-0.7,0.45,0.49,0.35
Matt Belisle,1837,0.6,0.27,0.1,0.4
Matt Moore,1890,1.0,2.09,1.02,3.19
Ivan Nova,1994,2.1,3.02,1.26,1.94
Clayton Kershaw,2036,4.3,7.06,7.12,7.14
Chad Qualls,2170,0.0,0.5,0.5,0.5
Hector Rondon,2391,0.3,0.67,0.83,-0.05
Brett Cecil,2660,1.1,1.29,0.29,0.1
Rick Porcello,2717,1.9,4.72,4.25,5.13
Santiago Casilla,2873,0.1,0.44,0.54,0.3
Luis Avilan,2882,0.6,0.34,0.09,0.58
Zach McAllister,2895,0.4,0.24,0.77,0.77
Jeff Locke,2929,0.3,1.5,0.5,1.2
Josh Ravin,2951,-0.2,0.12,0.16,0.13
Tony Watson,3132,0.1,-0.06,-0.02,0.35
Max Scherzer,3137,6.3,4.23,3.63,4.72
David Price,3184,1.4,3.35,2.5,6.77
Will Harris,3192,0.8,0.75,0.37,0.51
Ervin Santana,3200,2.9,3.74,3.7,2.26
Francisco Liriano,3201,0.7,2.3,1.48,2.19
T.J. McFarland,3237,0.2,0.02,0.28,0.18
Zack Britton,3240,0.6,1.05,0.34,1.06
Jeff Samardzija,3254,3.8,1.38,1.24,2.71
Joe Smith,3281,1.8,0.29,0.23,0.41
Anibal Sanchez,3284,0.6,0.53,0.53,0.5
Chris Hatcher,3299,0.2,0.18,0.15,0.37
Darren O'Day,3321,0.7,0.41,0.6,0.58
Jumbo Diaz,3397,0.2,0.53,0.15,0.0
Danny Duffy,3542,3.7,2.99,1.83,2.2
Jim Johnson,3656,0.0,0.97,0.84,0.71
Ricky Nolasco,3830,0.5,0.92,3.48,1.09
Zach Duke,3840,-0.2,0.5,0.09,0.2
Casey Fien,3926,-0.5,0.25,0.15,0.0
Edinson Volquez,3990,0.9,1.95,1.63,0.4
Yusmeiro Petit,4020,2.0,-0.19,0.46,0.4
Brian Duensing,4064,0.8,0.4,-0.05,0.5
Pedro Strop,4070,1.0,1.41,0.54,1.2
Junichi Tazawa,4079,-0.2,0.45,0.5,0.46
Luke Gregerson,4090,-0.1,0.43,0.86,0.72
Derek Holland,4141,-0.9,0.5,1.43,0.5
Jake Arrieta,4153,2.5,1.83,2.49,3.26
Mark Melancon,4264,0.4,1.29,0.46,0.63
Matt Albers,4300,0.9,0.2,-0.1,-0.1
Justin Wilson,4301,1.2,1.24,1.75,0.84
Jeremy Hellickson,4371,0.2,2.79,3.97,2.14
Jordan Zimmermann,4505,1.3,1.27,0.5,3.45
Charlie Morton,4676,3.1,0.5,0.1,0.5
Pat Neshek,4682,2.6,0.05,0.0,0.0
