Name,playerid,WAR41,WAR42
Jerry Koosman,1007103,4.7,0.3
Jamie Moyer,1091,-0.2,2.5
Joe Niekro,1009582,0.5,1.7
Dennis Eckersley,1003660,0.7,0.3
Gaylord Perry,1010210,3.7,2.8
John Smoltz,115,1.0,1.3
Mike Morgan,67,0.4,-0.4
Takashi Saito,6021,0.2,-0.3
Kent Tekulve,1012905,0.7,-0.1
Woodie Fryman,1004381,0.7,0.9
Kenny Rogers,1277,2.1,0.4
Charlie Hough,1006050,-0.8,0.2
Danny Darwin,1002996,0.8,0.3
Warren Spahn,1012299,3.6,2.5
David Wells,855,3.1,3.0
Rick Reuschel,1010852,0.8,0.0
Rich Gossage,1004894,-0.1,0.1
Tom Glavine,90,1.5,-0.6
Dennis Martinez,1008161,1.5,-0.4
Early Wynn,1014309,1.3,2.5
Greg Maddux,104,3.9,2.4
Don McMahon,1008629,-0.2,-0.1
Mike Timlin,1187,0.0,-0.5
Trevor Hoffman,1035,1.7,-0.6
Jesse Orosco,667,0.4,0.0
Rick Honeycutt,1005992,0.2,0.9
Steve Carlton,1001964,0.5,-0.2
Jim Kaat,1006660,1.1,-0.1
Doug Brocail,551,0.7,-0.4
Mariano Rivera,844,2.2,0.4
Don Sutton,1012745,2.2,1.1
Terry Mulholland,665,0.5,-0.2
Tommy John,1006515,1.8,0.6
Hoyt Wilhelm,1013945,1.9,1.4
Roger Clemens,815,5.7,6.0
Tim Wakefield,219,1.0,1.8
Jeff Fassero,279,1.3,0.9
Nolan Ryan,1011348,3.4,7.0
Doug Jones,1006552,-0.2,1.4
Phil Niekro,1009583,3.7,2.0
Randy Johnson,60,4.1,3.2
Roberto Hernandez,605,0.3,-0.2
