Name,playerid,WAR43,WAR44
John Franco,874,-0.1,0.3
Jamie Moyer,1091,1.9,2.0
Gaylord Perry,1010210,3.3,1.6
Diomedes Olivo,1009782,1.4,-0.1
Charlie Hough,1006050,0.8,0.9
Warren Spahn,1012299,-0.3,0.4
David Wells,855,0.9,1.0
Bartolo Colon,375,2.4,0.3
Don McMahon,1008629,0.6,-0.1
Jesse Orosco,667,-0.2,0.1
Jim Kaat,1006660,-0.1,-0.2
Tommy John,1006515,0.9,3.5
Hoyt Wilhelm,1013945,0.9,1.2
Roger Clemens,815,3.4,1.5
Tim Wakefield,219,1.2,0.1
Nolan Ryan,1011348,5.2,4.9
Phil Niekro,1009583,3.0,1.7
Randy Johnson,60,1.6,3.6
