Season,Name,Team,Age,ERA,G,GS,SV,IP,H,HR,BB,SO,Kd9,BBd9,KdBB,Hd9,HRd9,AVG,WHIP,BABIP,LOBp,FIP,RAR,WAR,playerid,ServiceTime,ratioIP,nextWAR,GSpG,isStarter
2004,Chad Fox,Marlins,33,6.75,12,0,0,10.2,9,1,8,17,14.34,6.75,2.13,7.59,0.84,0.225,1.59,0.364,0.602,3.61,1.2,0.1,684,7,0.784313725,-0.2,0.0,0
2000,Mike Trombley,Orioles,33,4.13,75,0,4,72.0,67,15,38,72,9.0,4.75,1.89,8.38,1.88,0.239,1.46,0.269,0.852,5.59,-4.6,-0.4,758,9,1.083333333,0.5,0.0,0
2009,Tyler Walker,Phillies,33,3.06,32,0,0,35.1,31,4,9,27,6.88,2.29,3.0,7.9,1.02,0.225,1.13,0.252,0.829,4.06,1.6,0.2,901,7,1.0,0.2,0.0,0
1967,Dan Osinski,Red Sox,33,2.54,34,0,2,63.2,61,5,14,38,5.37,1.98,2.71,8.62,0.71,0.24,1.18,0.265,0.824,3.03,5.3,0.6,1009875,6,0.952531646,0.4,0.0,0
1964,Carl Willey,Mets,33,3.6,14,3,0,30.0,37,5,8,14,4.2,2.4,1.75,11.1,1.5,0.291,1.5,0.296,0.692,4.74,-2.4,-0.3,1013965,5,0.933333333,-0.1,0.214285714,0
