Name,playerid,WAR19,WAR20,WAR21
Larry Christenson,1002215,0.0,0.0,2.9
Santiago Guzman,1005163,-0.1,-0.1,0.5
Britt Burns,1001702,-0.1,-0.1,4.5
Catfish Hunter,1006199,0.3,1.8,5.2
Ed Correa,1002637,-0.1,3.4,-0.6
Jim Palmer,1009973,0.6,2.0,-0.1
Rosario Rodriguez,1011112,0.0,-0.1,-0.1
Wade Blasingame,1001057,0.1,-0.3,0.7
Mike McQueen,1008680,0.3,0.1,-0.5
Jim Roland,1011156,0.1,0.5,0.0
Vida Blue,1001094,-1.1,1.5,8.8
Lloyd Allen,1000152,-0.2,0.4,1.0
Wilbur Wood,1014248,0.0,0.2,0.2
Edwin Jackson,1841,0.2,-0.3,0.2
Don Gullett,1005134,0.9,2.6,1.0
Blue Moon Odom,1009726,-0.4,-0.1,1.3
Chris Zachary,1014404,0.2,-0.1,0.1
Ray Sadecki,1011360,1.4,1.8,0.7
Felix Hernandez,4772,2.3,3.3,3.5
Bert Blyleven,1001098,3.6,7.5,5.9
Wally Bunker,1001652,2.6,1.7,1.2
Dave Boswell,1001222,0.2,-0.3,3.0
Larry Dierker,1003288,2.4,2.1,1.9
Billy McCool,1008409,2.1,1.5,1.9
Mike Adamson,1000058,-0.2,-0.2,0.0
Dave McNally,1008655,0.2,1.2,1.4
Ken Holtzman,1005989,-0.1,3.0,0.2
Dwight Gooden,1004852,8.3,8.9,4.8
Fred Norman,1009632,0.1,-0.1,-0.9
Jose Rijo,349,0.6,1.3,1.7
Gary Nolan,1009616,5.3,2.3,1.7
Madison Bumgarner,5524,0.0,1.7,4.3
Bart Johnson,1006422,0.5,0.9,2.3
Edwin Nunez,1009658,0.1,0.3,0.7
Fernando Valenzuela,1013327,0.6,4.9,6.1
Denny McLain,1008603,0.2,0.6,4.0
George Lauzerique,1007385,0.0,0.0,-0.8
Frank Tanana,1012818,0.6,3.6,7.2
Bob Moose,1009134,0.1,3.6,3.8
Terry Forster,1004236,0.5,2.3,3.1
Sam McDowell,1008476,0.1,0.6,3.7
Aurelio Monteagudo,1009063,0.1,-0.8,-0.1
Joe Coleman,1002428,0.3,1.7,2.5
Rick Ankiel,1142,1.1,3.4,-0.6
