Name,playerid,WAR35,WAR36,WAR37
Mike Cuellar,1002853,2.4,2.5,3.3
Billy Wagner,578,1.6,1.2,0.3
Joe Nuxhall,1009665,1.2,2.4,1.0
Sam Jones,1006590,1.4,0.5,0.2
John Franco,874,1.2,1.3,0.9
Doug Bair,1000439,0.4,0.4,-0.4
Jerry Koosman,1007103,3.2,5.5,3.8
Curt Schilling,73,9.3,5.6,6.5
Kent Mercker,439,0.1,0.6,0.3
Tom Seaver,1011708,0.4,1.8,0.3
Jim Kern,1006868,-0.3,-0.1,-0.3
Ron Villone,1010,0.7,-0.1,-0.1
Ron Guidry,1005124,3.0,2.2,0.5
Mike Magnante,929,0.1,0.0,0.1
Jamie Moyer,1091,5.2,4.6,1.8
Dick Donovan,1003395,1.9,1.9,-0.4
Whitey Ford,1004227,6.8,4.6,0.5
Joe Niekro,1009582,3.4,2.2,4.2
Miguel Batista,46,2.9,2.2,-1.3
Hank Aguirre,1000087,0.4,0.5,0.2
Dennis Eckersley,1003660,3.2,1.7,3.1
John Hiller,1005817,2.0,-1.6,0.1
Gaylord Perry,1010210,6.3,7.0,5.1
Mike Stanton,849,1.2,0.0,0.6
Geoff Zahn,1014410,1.1,3.5,2.5
Jon Lieber,287,3.1,2.4,1.4
Bob Patterson,1010055,0.1,0.7,0.6
Terry Leach,1007427,-0.1,1.5,0.9
John Smoltz,115,2.5,2.9,2.1
Dick Tidrow,1013056,0.9,0.0,-0.5
Mike Morgan,67,1.5,1.0,2.6
Steve Howe,1006107,-0.2,1.0,-0.1
Joe Borowski,267,0.7,0.6,-0.4
Al Leiter,883,3.8,3.2,2.4
Doyle Alexander,1000122,3.9,3.2,2.6
Bill Henry,1005665,0.7,0.5,1.0
Grant Jackson,1006298,0.4,-0.7,0.6
Kent Tekulve,1012905,0.6,1.9,0.2
Lindy McDaniel,1008441,-1.0,0.3,1.6
Jamie Walker,502,0.8,-1.0,-0.4
Woodie Fryman,1004381,2.3,2.6,-0.3
Kenny Rogers,1277,4.3,0.8,2.7
Sparky Lyle,1007859,0.1,-0.2,-0.1
Charlie Hough,1006050,3.2,3.1,3.6
Jim Palmer,1009973,0.2,3.0,0.5
Curt Simmons,1011980,3.0,2.7,0.6
Rick Reed,750,3.3,2.0,1.2
Danny Darwin,1002996,-0.1,3.1,2.9
Dave Burba,1239,1.6,0.2,0.5
Alejandro Pena,1010140,0.1,0.6,-0.1
Paul Splittorff,1012346,1.9,2.2,-0.1
Todd Jones,436,0.0,0.9,2.4
Orlando Hernandez,823,1.3,2.7,1.4
Matt Herges,780,-0.5,0.3,0.4
