Name,playerid,WAR19
Larry Christenson,1002215,0.0
Ron Bryant,1001608,0.1
Dick Calmus,1001852,0.0
Santiago Guzman,1005163,-0.1
Kevin Kobel,1007067,-0.2
David Clyde,1002367,0.0
Rich Garces,189,0.0
Britt Burns,1001702,-0.1
Rick James,1006353,-0.1
Mike Morgan,67,-0.2
Catfish Hunter,1006199,0.3
Ed Correa,1002637,-0.1
Nestor Chavez,1002169,0.0
Jim Palmer,1009973,0.6
Rosario Rodriguez,1011112,0.0
Dave Bakenhaster,1000441,-0.1
Wade Blasingame,1001057,0.1
Mike McQueen,1008680,0.3
Jack Jenkins,1006389,-0.2
Jim Roland,1011156,0.1
Vida Blue,1001094,-1.1
Bruce Robbins,1011019,0.7
Lloyd Allen,1000152,-0.2
Bobby Darwin,1002995,0.1
Al Stanek,1012398,-0.3
Wilbur Wood,1014248,0.0
Andy Hassler,1005480,0.1
Joe Moeller,1009023,-0.6
Edwin Jackson,1841,0.2
Don Gullett,1005134,0.9
Mike Degerick,1003142,0.0
Blue Moon Odom,1009726,-0.4
Chris Zachary,1014404,0.2
Don Buschhorn,1001746,-0.5
Ray Sadecki,1011360,1.4
Felix Hernandez,4772,2.3
Bert Blyleven,1001098,3.6
Wally Bunker,1001652,2.6
Dave Boswell,1001222,0.2
Wilson Alvarez,1193,0.0
Larry Dierker,1003288,2.4
Billy McCool,1008409,2.1
Mike Adamson,1000058,-0.2
Jerry Hinsley,1005850,0.3
Dave McNally,1008655,0.2
Matt Riley,164,-0.4
Ken Holtzman,1005989,-0.1
Gil Blanco,1001042,0.0
Dwight Gooden,1004852,8.3
Mark Davis,1003067,0.1
Roger Miller,1008932,-0.1
Fred Norman,1009632,0.1
Jose Rijo,349,0.6
Gary Nolan,1009616,5.3
Bob James,1006345,-0.2
Madison Bumgarner,5524,0.0
Bart Johnson,1006422,0.5
Edwin Nunez,1009658,0.1
Fernando Valenzuela,1013327,0.6
Denny McLain,1008603,0.2
Roy Heiser,1005603,-0.3
Bob Sprout,1012365,0.1
George Lauzerique,1007385,0.0
Marcelino Lopez,1007757,-0.1
Frank Tanana,1012818,0.6
Bob Moose,1009134,0.1
Terry Forster,1004236,0.5
Nolan Ryan,1011348,-0.1
Jerry Stephenson,1012494,0.1
Sam McDowell,1008476,0.1
Mike Lee,1007462,-0.3
Aurelio Monteagudo,1009063,0.1
Balor Moore,1009090,0.1
Mike Garman,1004539,0.3
Joe Coleman,1002428,0.3
Todd Van Poppel,1284,0.0
Mike Jurewicz,1006652,0.0
Rick Ankiel,1142,1.1
