Name,playerid,WAR38,WAR39,WAR40,WAR41
Jerry Koosman,1007103,2.0,3.7,1.5,4.7
Tom Seaver,1011708,2.4,3.2,3.9,2.6
Jamie Moyer,1091,3.0,3.8,3.8,-0.2
Joe Niekro,1009582,3.1,2.0,-0.1,0.5
Miguel Batista,46,0.1,-0.5,-0.1,-0.4
Dennis Eckersley,1003660,2.0,0.9,0.9,0.7
Gaylord Perry,1010210,5.2,5.9,4.3,3.7
John Smoltz,115,5.2,5.5,5.5,1.0
Mike Morgan,67,0.2,0.4,0.7,0.4
Takashi Saito,6021,1.6,0.3,1.2,0.2
Bill Henry,1005665,-0.2,0.3,-0.3,0.0
Kent Tekulve,1012905,0.2,2.0,1.1,0.7
Woodie Fryman,1004381,1.1,0.5,1.9,0.7
Kenny Rogers,1277,2.5,3.2,3.1,2.1
Charlie Hough,1006050,1.8,3.7,2.7,-0.8
Danny Darwin,1002996,0.8,-0.4,2.5,0.8
David Wells,855,1.7,4.5,3.8,3.1
Rick Reuschel,1010852,5.0,3.9,2.4,0.8
Luis Tiant,1013054,2.8,2.2,0.9,0.9
Bartolo Colon,375,2.3,2.6,4.0,2.8
Orel Hershiser,1005741,1.4,1.3,1.9,-0.5
Tom Glavine,90,2.6,3.7,2.9,1.5
Dennis Martinez,1008161,1.9,3.6,3.3,1.5
Tony Fossas,1004242,-0.2,-0.2,0.2,-0.1
Greg Maddux,104,2.6,3.3,4.3,3.9
LaTroy Hawkins,729,0.7,-0.1,1.2,0.7
Don McMahon,1008629,0.8,0.9,0.2,-0.2
Mike Timlin,1187,0.7,1.8,0.2,0.0
Trevor Hoffman,1035,1.3,1.9,0.4,1.7
Roy Face,1003891,0.3,0.2,0.4,-0.6
Arthur Rhodes,1097,1.2,0.8,0.8,-0.8
Tom Candiotti,1001911,1.1,0.2,1.2,0.0
Jesse Orosco,667,1.0,0.8,0.1,0.4
Rick Honeycutt,1005992,0.8,0.2,0.0,0.2
Steve Carlton,1001964,7.4,3.9,0.5,0.5
Jim Kaat,1006660,1.0,1.7,0.5,1.1
Doug Brocail,551,1.1,0.5,0.0,0.7
Mariano Rivera,844,3.0,2.0,1.8,2.2
Tom Gordon,282,0.7,-0.2,0.0,-0.1
Don Sutton,1012745,3.4,3.3,3.0,2.2
Jose Mesa,961,0.6,-0.3,-0.3,-0.5
Terry Mulholland,665,-0.1,-0.4,-0.9,0.5
Larry Andersen,1000236,1.7,0.8,1.5,0.3
Tommy John,1006515,1.6,3.9,3.3,1.8
Jerry Reuss,1010853,0.9,2.3,0.0,-0.1
Bob McClure,1008400,0.2,0.0,-0.9,-0.3
Hoyt Wilhelm,1013945,1.7,1.7,2.6,1.9
Roger Clemens,815,5.6,4.3,4.5,5.7
Russ Springer,1652,1.4,0.6,0.4,0.0
Tim Wakefield,219,1.8,1.2,1.9,1.0
Dan Plesac,1319,0.4,1.2,0.1,0.7
Jeff Fassero,279,1.7,-0.1,-0.8,1.3
Nolan Ryan,1011348,4.4,3.2,6.4,3.4
Jose Contreras,1660,0.7,0.2,0.3,-0.2
Doug Jones,1006552,0.5,1.0,2.8,-0.2
Darren Oliver,206,1.2,1.5,1.2,1.1
Phil Niekro,1009583,5.9,8.6,4.1,3.7
Randy Johnson,60,8.1,2.4,9.6,4.1
Art Fowler,1004268,1.2,0.3,1.1,-0.3
Ron Reed,1010773,0.2,1.5,1.4,1.2
Roberto Hernandez,605,-1.1,-0.2,1.0,0.3
