Name,playerid,WAR23,WAR24,WAR25
Wade Davis,7441,1.0,1.1,1.4
Mike Witt,1014174,5.9,4.7,6.7
Clint Nageotte,2156,0.0,0.0,-0.1
Lerrin LaGrow,1007255,0.4,0.0,1.7
Jeff Musselman,1009407,-0.1,0.1,1.3
John Butcher,1001762,0.8,0.8,0.5
Pete Filson,1004046,0.0,0.6,-0.2
Frank LaCorte,1007239,0.2,1.5,-0.8
Dave LaRoche,1007354,1.0,0.1,-0.3
Dan Wright,258,-0.2,1.7,-0.2
Chan Ho Park,1267,1.1,2.1,3.7
Matt Harrison,5551,0.5,-0.1,4.0
Steve Foucault,1004262,-0.6,2.7,-0.9
Sparky Lyle,1007859,0.8,1.3,0.6
Freddie Toliver,1013102,0.1,0.1,0.7
Andrew Miller,6785,1.9,0.7,-0.4
Brent Gaff,1004423,0.1,0.1,0.0
Jack Kucek,1007195,-0.2,0.3,0.1
David Nied,1009577,0.8,0.7,1.1
Shane Rawley,1010719,1.9,1.6,0.9
Kevin Appier,3,4.7,4.8,6.8
Ernesto Frieri,5178,0.0,0.4,0.6
Howard Bailey,1000425,0.1,0.2,-0.5
Don Carrithers,1001992,0.4,0.2,0.7
Charlie Hough,1006050,-0.1,0.0,0.3
Roger Nelson,1009511,-0.1,1.6,2.8
Dave Otto,1009905,0.1,0.2,0.0
Ken Reynolds,1010871,-0.1,0.9,0.9
Dave Coggin,951,0.4,1.4,0.4
Amaury Telemaco,1802,0.7,0.9,-0.3
Eric O'Flaherty,5746,-0.4,0.4,0.4
Jack Hamilton,1005274,0.4,-0.2,-0.1
Dick Lange,1007316,0.3,-0.5,0.6
Ben McDonald,1008454,1.3,2.0,4.5
Steve Barber,1000530,3.5,2.3,5.4
Ross Baumgarten,1000689,0.1,1.5,1.8
Jim Palmer,1009973,3.7,6.2,4.6
Charlie Williams,1013980,0.3,-0.3,0.2
Kameron Loe,4422,0.9,0.7,1.2
Pat Combs,1002480,2.0,-0.2,0.2
Paul Hartzell,1005467,2.9,1.7,1.4
Joe Verbanic,1013407,-0.3,0.5,-0.3
Denny Neagle,441,-0.1,0.4,1.8
Rick Reed,750,0.6,0.4,0.0
Kirk Rueter,1128,1.0,1.0,0.9
Chris Ray,6315,0.5,0.1,0.4
Joe Decker,1003127,1.3,0.7,0.2
Doc Medich,1008714,0.0,3.5,3.4
Bruce Sutter,1012743,1.9,5.2,2.3
Adam Bernero,460,0.3,-0.3,0.1
Danny Darwin,1002996,1.0,2.5,1.7
George Stone,1012565,2.8,2.7,-0.2
Jake Westbrook,412,0.8,0.1,1.0
Jose Lima,475,0.6,0.4,2.7
Ryan Dempster,517,3.4,2.2,1.4
Dave Burba,1239,0.1,-0.2,0.5
Edgar Gonzalez,1727,0.4,0.3,-0.1
Glenn Abbott,1000010,1.5,0.3,0.4
Alejandro Pena,1010140,-0.2,4.1,4.7
Jose Rosado,1011192,2.2,3.7,0.3
Paul Splittorff,1012346,0.1,3.7,3.9
Dennis Tankersley,1054,-0.9,0.0,0.5
Joel Pineiro,1094,2.5,3.5,1.8
Jason Davis,1598,1.0,0.8,0.2
Justin Thompson,8217,0.8,4.9,4.4
Ken Brett,1001402,0.7,2.6,4.0
Chris Reitsma,348,2.2,1.2,0.3
Matt Cain,4732,3.7,3.3,4.0
Tim Stauffer,6432,0.7,0.2,-0.5
Jason Dickson,1003278,0.4,1.7,0.7
Jerry Garvin,1004558,0.1,1.3,0.5
Xavier Hernandez,1005715,-0.1,-0.8,0.4
Craig McMurtry,1008651,3.1,0.6,-0.2
Archie Reynolds,1010861,-0.1,0.0,-0.2
John Smiley,1012084,3.5,2.2,1.9
Juan Agosto,1000084,0.0,0.0,0.9
Richard Dotson,1003424,2.4,2.9,2.0
Horacio Estrada,1003843,-0.3,-0.4,0.0
Charlie Lea,1007423,0.8,0.5,2.3
Jake Woods,2196,-0.3,0.2,-0.1
Ron Nischwitz,1009604,-0.1,0.2,-0.3
Franklyn German,1603,-0.7,-0.3,-0.4
Wil Ledezma,1669,1.0,-0.2,1.0
Radhames Liz,5843,-0.1,-0.2,-0.2
Bob Sebra,1011709,-0.3,1.3,3.4
A.J. Burnett,512,0.9,1.4,4.8
Wade Blasingame,1001057,0.1,0.0,-0.2
Marty Bystrom,1001802,1.4,2.2,1.2
Ron Davis,1003075,1.3,1.1,1.6
Sammy Stewart,1012528,0.5,-0.3,0.5
Brian Barnes,1000560,0.7,0.7,0.3
Pete Craig,1002722,-0.2,0.0,0.0
Rod Nichols,1009569,0.8,0.3,-0.5
Jim Parque,250,1.7,2.8,-0.2
Jose Capellan,2236,-0.2,0.3,0.0
Manny Corpas,2807,0.5,1.2,0.8
Jesse Litsch,3688,2.0,-0.2,0.1
Mike Torrez,1013134,1.6,-0.4,2.2
Kevin Walker,1060,0.3,0.3,-0.2
