Name,playerid,WAR20,WAR21,WAR22,WAR23
Dan Petry,1010246,1.1,2.5,2.1,4.4
Storm Davis,1003080,1.8,3.7,4.7,3.0
Larry Christenson,1002215,0.0,2.9,2.4,2.7
Al Hrabosky,1006116,0.1,0.1,0.2,1.1
Claude Osteen,1009878,-0.5,0.1,2.1,2.3
Jim Maloney,1008039,0.7,-0.6,1.5,6.4
Dennis O'Toole,1009896,0.1,0.1,0.0,0.1
Dennis Eckersley,1003660,2.8,4.6,4.6,3.9
Rick Wise,1014155,1.9,3.4,2.0,3.7
Britt Burns,1001702,-0.1,4.5,2.4,3.2
Fred Newman,1009542,0.1,-0.2,3.4,3.8
Bill Gullickson,1005136,0.0,3.2,4.8,2.8
Catfish Hunter,1006199,1.8,5.2,1.4,1.3
Dennys Reyes,444,0.5,1.2,0.9,0.0
Julian Tavarez,541,-0.1,-0.1,1.6,0.9
Doyle Alexander,1000122,0.9,1.1,0.8,0.6
Chad Gaudin,1783,0.2,0.3,-0.4,0.1
Mike Witt,1014174,1.6,3.8,0.7,5.9
Don Carrithers,1001992,-0.4,0.4,-0.2,0.4
George Stone,1012565,0.2,0.3,1.3,2.8
Edgar Gonzalez,1727,0.1,-0.7,-0.1,0.4
Ken Brett,1001402,0.0,2.0,0.2,0.7
Richard Dotson,1003424,0.8,1.5,1.3,2.4
Wade Blasingame,1001057,-0.3,0.7,0.6,0.1
Mike Torrez,1013134,0.2,-0.2,0.4,1.6
Bob Kipper,1006956,-0.1,0.8,-0.5,-0.4
Victor Cruz,1002845,1.2,-0.1,1.4,-0.5
Al Downing,1003450,0.0,0.0,4.7,4.2
Jeff Suppan,633,0.4,0.1,1.5,0.5
Tom Hall,1005262,0.4,2.4,4.1,2.1
Vida Blue,1001094,1.5,8.8,2.1,2.1
Dean Chance,1002130,0.6,3.5,4.8,7.6
Lloyd Allen,1000152,0.4,1.0,-1.0,-0.5
Mike Norris,1009637,0.3,-0.4,-0.3,0.2
Wilbur Wood,1014248,0.2,0.2,0.0,0.4
Don Gullett,1005134,2.6,1.0,2.5,4.2
Bill Stafford,1012375,1.3,3.2,2.0,-0.8
Tom Kelley,1006782,-0.2,0.6,-0.2,-0.1
Blue Moon Odom,1009726,-0.1,1.3,-0.1,2.7
Chris Zachary,1014404,-0.1,0.1,0.7,-0.2
Ray Sadecki,1011360,1.8,0.7,1.2,3.7
Oliver Perez,1514,0.6,0.4,4.5,-0.8
Bert Blyleven,1001098,7.5,5.9,10.8,8.5
Wally Bunker,1001652,1.7,1.2,0.5,1.3
Rich Gossage,1004894,0.5,-0.8,0.7,4.0
Dave Morehead,1009156,1.6,1.9,2.5,-0.1
Nino Espinosa,1003830,0.1,0.1,0.6,2.6
Dave Boswell,1001222,-0.3,3.0,3.9,1.2
Greg Maddux,104,0.4,1.5,3.7,3.7
Joel Davis,1003061,1.0,1.1,0.1,-0.2
Mike Hampton,430,-0.4,-0.1,2.3,2.4
Larry Dierker,1003288,2.1,1.9,7.3,3.6
Billy McCool,1008409,1.5,1.9,0.6,-0.7
Ramon Martinez,1008193,0.4,0.8,4.9,2.9
Ismael Valdez,1283,0.4,3.8,4.4,3.9
Gene Nelson,1009501,-0.3,0.9,-0.4,0.6
Dave McNally,1008655,1.2,1.4,2.3,3.0
Ken Holtzman,1005989,3.0,0.2,2.3,5.1
Don Schulze,1011629,0.1,1.0,1.3,0.4
Tommy Boggs,1001123,0.5,0.5,-0.1,0.2
Dick Ellsworth,1003754,2.3,2.2,2.2,6.6
Francisco Rodriguez,1642,0.2,0.6,3.7,1.5
Alex Fernandez,1003993,1.4,2.7,1.8,4.1
Steve Carlton,1001964,0.2,0.9,4.4,4.0
Bill Singer,1012007,-0.1,0.0,0.1,4.7
Dwight Gooden,1004852,8.9,4.8,4.5,6.0
Steve Trout,1013197,0.5,2.1,3.2,1.8
Jose Rijo,349,1.3,1.7,0.8,3.8
Jeremy Bonderman,1667,1.3,2.4,3.2,5.6
Scott Garrelts,1004546,0.0,-0.1,-0.8,2.1
Tommie Sisk,1012018,0.1,0.7,-0.2,1.0
Tom Gordon,282,0.4,2.4,2.5,1.6
CC Sabathia,404,2.7,3.6,3.5,2.8
Tony Cloninger,1002359,-0.4,1.1,0.1,2.7
Tommy John,1006515,0.3,1.1,3.0,3.8
Jerry Reuss,1010853,0.1,2.0,1.4,2.8
Manny Sarmiento,1011450,0.4,-0.1,-0.8,0.6
Gerry Arrigo,1000326,0.0,0.0,0.2,1.4
Gary Nolan,1009616,2.3,1.7,3.2,4.9
Dave Rozema,1011273,3.2,3.1,0.8,1.2
Bart Johnson,1006422,0.9,2.3,-0.4,1.0
Preston Hanna,1005318,-0.1,0.0,0.4,1.0
Bruce Howard,1006071,-0.1,0.7,1.4,1.3
Edwin Nunez,1009658,0.3,0.7,0.1,-0.1
Phil Ortega,1009855,-0.1,-0.2,-1.1,-0.1
Fernando Valenzuela,1013327,4.9,6.1,4.2,5.2
Steve Avery,1706,1.5,2.6,3.5,5.1
