Name,playerid,WAR31,WAR32,WAR33,WAR34
Mike Cuellar,1002853,3.3,6.6,4.8,2.8
Billy Wagner,578,2.3,1.5,2.1,1.9
Chris Capuano,1701,0.3,2.0,2.9,1.4
Chad Qualls,2170,0.0,0.0,-0.4,0.5
Joe Nuxhall,1009665,1.8,1.4,1.5,5.4
Vern Ruhle,1011297,1.2,-0.7,0.6,1.0
John Franco,874,0.5,-0.5,1.0,0.8
Turk Wendell,975,0.7,0.7,0.4,-0.7
Doug Bair,1000439,0.1,0.3,-0.2,0.3
Charlie Leibrandt,1007492,3.4,1.2,3.2,3.6
Don Cardwell,1001941,1.1,1.3,0.6,-0.5
Jerry Reed,1010769,1.3,0.2,-0.2,0.3
Francisco Cordero,1243,1.3,2.4,0.7,1.3
Jerry Koosman,1007103,5.4,3.1,4.9,4.6
Curt Schilling,73,8.3,3.3,4.6,7.2
Jim Gott,1004898,0.7,0.8,1.8,-0.1
Claude Osteen,1009878,1.6,2.4,2.1,1.2
Tom Seaver,1011708,6.8,6.2,4.4,3.9
Bob Shaw,1011819,0.5,4.3,2.3,0.7
Ron Villone,1010,0.8,0.4,1.2,0.3
Jim Clancy,1002255,5.0,1.8,0.4,0.5
Ron Guidry,1005124,4.0,3.9,2.8,4.9
Mike Magnante,929,0.3,1.1,0.3,1.0
Jamie Moyer,1091,1.9,1.2,1.6,3.2
Brad Ziegler,7293,1.0,0.6,0.5,0.0
Craig Lefferts,1007476,0.6,0.5,1.4,2.6
Whitey Ford,1004227,2.5,5.8,4.9,5.2
Danny Jackson,1006295,3.2,3.9,0.3,0.4
Joe Niekro,1009582,0.4,1.6,1.4,1.8
Miguel Batista,46,3.1,4.3,1.6,0.5
Hank Aguirre,1000087,5.2,2.6,1.8,2.4
Dennis Eckersley,1003660,3.7,3.4,2.3,1.7
John Hiller,1005817,3.0,1.6,1.6,1.5
Gaylord Perry,1010210,6.3,4.7,8.1,5.7
Rick Wise,1014155,1.6,2.5,3.2,1.1
Mike Stanton,849,0.1,1.5,1.6,1.7
Geoff Zahn,1014410,2.0,3.4,2.7,3.6
Bob Patterson,1010055,1.1,0.7,-0.3,0.3
Ed Whitson,1013911,0.2,1.1,3.0,2.7
Jason Isringhausen,1158,1.7,0.7,-0.9,0.6
D.J. Carrasco,1666,0.5,1.2,0.4,-0.4
Dick Tidrow,1013056,2.2,0.7,0.4,-0.1
Mike Morgan,67,4.5,3.2,2.8,0.3
Jeremy Affeldt,583,0.1,0.0,0.8,-0.5
Jason Frasor,1906,1.4,0.9,0.1,0.2
Bill Gullickson,1005136,0.4,3.4,0.6,0.7
Julian Tavarez,541,1.3,0.3,0.0,0.8
Al Leiter,883,1.3,4.8,3.3,4.8
Doyle Alexander,1000122,-0.3,1.0,5.0,4.0
Grant Jackson,1006298,0.7,0.7,0.9,-0.5
Troy Percival,29,2.2,1.6,0.2,0.1
Kent Tekulve,1012905,1.4,2.1,0.0,1.2
