Name,playerid,WAR29,WAR30,WAR31,WAR32
Todd Jones,436,1.8,0.3,0.8,1.4
Orlando Hernandez,823,3.4,2.4,0.1,3.1
Joel Pineiro,1094,0.6,4.3,2.1,0.6
Dave Baldwin,1000477,0.9,-0.4,0.3,0.0
Ray King,693,0.6,0.8,-0.1,-0.2
Pedro Feliciano,1601,0.9,0.8,-0.1,0.6
Xavier Hernandez,1005715,0.9,0.0,-0.1,0.3
John Smiley,1012084,2.6,4.3,4.5,1.4
John Tudor,1013215,1.8,2.5,6.4,2.1
Ramon Ortiz,27,1.6,0.8,0.8,0.3
Roger McDowell,1008475,0.8,0.1,0.1,0.1
A.J. Burnett,512,2.9,2.3,5.0,2.8
Luke Gregerson,4090,1.2,0.9,1.1,1.1
Mike Myers,68,0.0,0.0,0.9,0.6
Dave Schmidt,1011580,0.9,2.2,0.7,-0.2
Mike Torrez,1013134,3.3,2.3,3.3,3.3
Reggie Cleveland,1002347,2.7,1.0,-0.7,1.3
Dick Drago,1003475,1.9,0.8,-0.6,0.5
Edinson Volquez,3990,0.7,0.7,2.7,1.7
Bob Miller,1008877,0.7,1.7,0.0,0.8
Diego Segui,1011725,0.6,0.3,1.3,2.2
Bob Shirley,1011911,1.0,0.9,2.4,0.2
Graeme Lloyd,783,0.7,-0.1,0.4,0.1
Al Downing,1003450,0.5,3.1,2.2,1.9
Jeff Suppan,633,1.4,1.8,1.9,2.6
Jim Lonborg,1007724,1.9,2.3,0.8,4.4
Andy Benes,1144,5.1,3.3,1.3,1.6
Clay Carroll,1001997,1.4,0.2,0.4,0.4
Bennie Daniels,1002968,3.5,1.5,1.3,0.6
Andy Pettitte,840,5.8,3.9,5.1,1.9
Burt Hooton,1006005,4.4,1.8,3.3,1.8
Scott Linebrink,564,1.0,-0.5,0.5,0.1
Ramiro Mendoza,836,1.7,1.3,-0.1,0.1
David Wells,855,0.4,3.0,2.3,3.7
Casey Janssen,7355,1.2,1.1,1.2,0.1
Rick Reuschel,1010852,4.5,3.9,4.7,3.0
Mike Jackson,732,1.1,0.3,0.7,1.7
Doug Davis,1244,3.7,2.8,2.2,2.3
Vida Blue,1001094,1.1,3.3,1.0,1.5
Juan Guzman,1005162,4.6,-0.2,2.8,2.5
Joe Nathan,1122,3.0,2.6,3.1,2.0
Jesse Jefferson,1006380,0.7,-0.5,0.9,0.6
Bob Ojeda,1009756,0.5,5.1,1.0,0.7
