Name,playerid,WAR32,WAR33,WAR34,WAR35
Freddy Garcia,1077,1.5,1.5,1.7,0.5
Matt Miller,1754,1.2,0.5,-0.1,0.1
Mike Cuellar,1002853,6.6,4.8,2.8,2.4
Billy Wagner,578,1.5,2.1,1.9,1.6
Joe Nuxhall,1009665,1.4,1.5,5.4,1.2
Octavio Dotel,555,-0.2,0.3,0.7,0.7
Danny Cox,1002695,0.4,1.4,0.5,0.0
Vern Ruhle,1011297,-0.7,0.6,1.0,0.5
Ben Weber,41,1.0,0.6,-0.5,0.0
John Franco,874,-0.5,1.0,0.8,1.2
Doug Bair,1000439,0.3,-0.2,0.3,0.4
Charlie Leibrandt,1007492,1.2,3.2,3.6,3.6
Francisco Cordero,1243,2.4,0.7,1.3,0.3
Jerry Koosman,1007103,3.1,4.9,4.6,3.2
Curt Schilling,73,3.3,4.6,7.2,9.3
Jim Gott,1004898,0.8,1.8,-0.1,0.2
Claude Osteen,1009878,2.4,2.1,1.2,1.0
Tom Seaver,1011708,6.2,4.4,3.9,0.4
Jim Kern,1006868,0.1,0.0,0.0,-0.3
Ron Villone,1010,0.4,1.2,0.3,0.7
Jim Clancy,1002255,1.8,0.4,0.5,-0.2
Ron Guidry,1005124,3.9,2.8,4.9,3.0
Mike Magnante,929,1.1,0.3,1.0,0.1
Jamie Moyer,1091,1.2,1.6,3.2,5.2
Dick Donovan,1003395,-0.3,3.4,4.2,1.9
Craig Lefferts,1007476,0.5,1.4,2.6,-0.3
Whitey Ford,1004227,5.8,4.9,5.2,6.8
Danny Jackson,1006295,3.9,0.3,0.4,-0.3
Joe Niekro,1009582,1.6,1.4,1.8,3.4
Miguel Batista,46,4.3,1.6,0.5,2.9
Hank Aguirre,1000087,2.6,1.8,2.4,0.4
Dennis Eckersley,1003660,3.4,2.3,1.7,3.2
John Hiller,1005817,1.6,1.6,1.5,2.0
Gaylord Perry,1010210,4.7,8.1,5.7,6.3
Rick Wise,1014155,2.5,3.2,1.1,0.5
Mike Stanton,849,1.5,1.6,1.7,1.2
Geoff Zahn,1014410,3.4,2.7,3.6,1.1
Bob Patterson,1010055,0.7,-0.3,0.3,0.1
Ed Whitson,1013911,1.1,3.0,2.7,5.2
Jason Isringhausen,1158,0.7,-0.9,0.6,-0.3
Terry Leach,1007427,0.1,1.0,0.3,-0.1
D.J. Carrasco,1666,1.2,0.4,-0.4,-0.1
Dick Tidrow,1013056,0.7,0.4,-0.1,0.9
Mike Morgan,67,3.2,2.8,0.3,1.5
Alberto Castillo,3316,0.0,0.2,-0.4,0.0
Bill Gullickson,1005136,3.4,0.6,0.7,0.7
Joe Borowski,267,1.8,-0.2,0.0,0.7
Julian Tavarez,541,0.3,0.0,0.8,0.1
Al Leiter,883,4.8,3.3,4.8,3.8
Josias Manzanillo,996,0.1,1.6,-0.4,-0.5
Doyle Alexander,1000122,1.0,5.0,4.0,3.9
Larry McWilliams,1008700,0.1,0.1,0.8,1.9
J.J. Putz,1795,0.2,1.5,1.4,1.4
Bill Henry,1005665,0.4,0.5,0.0,0.7
Grant Jackson,1006298,0.7,0.9,-0.5,0.4
Troy Percival,29,1.6,0.2,0.1,-0.6
Kent Tekulve,1012905,2.1,0.0,1.2,0.6
Armando Reynoso,72,0.7,1.4,2.1,-0.6
Lindy McDaniel,1008441,0.1,1.3,1.8,-1.0
Jamie Walker,502,1.0,0.3,0.5,0.8
Woodie Fryman,1004381,2.7,1.7,0.9,2.3
Dave LaRoche,1007354,1.1,0.2,0.7,-0.1
Chan Ho Park,1267,1.9,0.8,-0.1,0.2
Kenny Rogers,1277,0.6,4.5,3.5,4.3
Gary Lavelle,1007389,0.7,1.3,2.1,0.7
Sparky Lyle,1007859,2.5,0.5,0.6,0.1
Kevin Appier,3,2.0,3.4,2.6,0.1
Charlie Hough,1006050,0.2,1.4,3.1,3.2
