Name,playerid,WAR37,WAR38,WAR39
Mike Cuellar,1002853,3.3,3.3,-0.2
Octavio Dotel,555,0.8,1.6,0.0
John Franco,874,0.9,0.9,0.6
Doug Bair,1000439,-0.4,0.0,0.7
Jerry Koosman,1007103,3.8,2.0,3.7
Curt Schilling,73,6.5,1.7,4.6
Tom Seaver,1011708,0.3,2.4,3.2
Ron Villone,1010,-0.1,-0.2,-0.5
Jamie Moyer,1091,1.8,3.0,3.8
Koji Uehara,9227,0.8,3.1,1.1
Joe Niekro,1009582,4.2,3.1,2.0
Miguel Batista,46,-1.3,0.1,-0.5
Hank Aguirre,1000087,0.2,0.4,-0.2
Dennis Eckersley,1003660,3.1,2.0,0.9
Gaylord Perry,1010210,5.1,5.2,5.9
Mike Stanton,849,0.6,0.3,1.2
Geoff Zahn,1014410,2.5,3.6,0.2
Bob Patterson,1010055,0.6,0.8,0.0
Terry Leach,1007427,0.9,0.5,0.2
John Smoltz,115,2.1,5.2,5.5
Mike Morgan,67,2.6,0.2,0.4
Takashi Saito,6021,2.0,1.6,0.3
Al Leiter,883,2.4,1.5,0.5
Bill Henry,1005665,1.0,-0.2,0.3
Grant Jackson,1006298,0.6,0.0,-0.9
Troy Percival,29,0.7,-0.7,-0.3
Kent Tekulve,1012905,0.2,0.2,2.0
Lindy McDaniel,1008441,1.6,1.3,1.1
Woodie Fryman,1004381,-0.3,1.1,0.5
Kenny Rogers,1277,2.7,2.5,3.2
Charlie Hough,1006050,3.6,1.8,3.7
Danny Darwin,1002996,2.9,0.8,-0.4
Todd Jones,436,2.4,1.0,0.7
Matt Herges,780,0.4,0.5,0.3
Ted Abernathy,1000020,0.3,0.1,0.3
David Wells,855,6.2,1.7,4.5
Rick Reuschel,1010852,2.8,5.0,3.9
Joe Nathan,1122,1.7,2.4,0.2
Bob Forsch,1004233,2.5,0.3,-0.6
Derek Lowe,199,1.8,1.4,1.3
Dennis Lamp,1007284,0.3,0.4,-0.2
Joe Hoerner,1005895,0.1,0.0,-0.6
Bob Gibson,1004662,4.5,1.3,-0.2
John Candelaria,1001909,0.7,0.4,0.0
Hal Brown,1001520,-0.1,1.8,-0.1
Luis Tiant,1013054,2.4,2.8,2.2
Lee Smith,1012175,1.0,0.3,0.1
Hiroki Kuroda,3283,3.3,3.3,3.1
Bert Blyleven,1001098,3.2,5.3,1.7
Orel Hershiser,1005741,3.8,1.4,1.3
Tom Glavine,90,1.3,2.6,3.7
Dennis Martinez,1008161,3.8,1.9,3.6
Tony Fossas,1004242,1.0,-0.2,-0.2
Greg Maddux,104,3.6,2.6,3.3
Jim Bunning,1001653,3.8,4.1,0.6
Mark Gardner,1004529,-0.2,2.0,-0.3
LaTroy Hawkins,729,-0.1,0.7,-0.1
Don McMahon,1008629,0.3,0.8,0.9
Mike Timlin,1187,1.0,0.7,1.8
Trevor Hoffman,1035,1.7,1.3,1.9
Gene Garber,1004493,0.8,2.0,0.7
Harvey Haddix,1005184,0.6,2.0,-0.7
Roy Face,1003891,0.3,0.3,0.2
Robin Roberts,1011046,2.9,2.9,0.8
David Weathers,902,1.3,0.0,-0.7
Mike Mussina,837,5.2,2.6,3.6
Alan Embree,1030,1.1,0.0,-0.2
Elmer Dessens,317,-0.2,-0.2,-0.3
Tom Candiotti,1001911,2.7,1.1,0.2
Mike Remlinger,111,0.1,0.6,-0.1
Jesse Orosco,667,0.1,1.0,0.8
Mike Flanagan,1004133,2.2,-0.1,1.3
Rick Honeycutt,1005992,0.0,0.8,0.2
Steve Carlton,1001964,8.2,7.4,3.9
Jim Kaat,1006660,2.9,1.0,1.7
Doug Brocail,551,0.8,1.1,0.5
Stu Miller,1008935,2.3,1.2,0.3
Al Worthington,1014260,1.8,0.9,1.1
Brian Shouse,630,-0.2,1.2,0.4
Mariano Rivera,844,2.0,3.0,2.0
Dick Hall,1005241,-0.1,1.0,0.3
Tom Gordon,282,0.9,0.7,-0.2
R.A. Dickey,1245,4.6,1.9,1.7
Rudy Seanez,1279,-0.2,0.5,0.2
Fergie Jenkins,1006388,2.7,0.3,2.9
Don Sutton,1012745,4.6,3.4,3.3
Jose Mesa,961,-0.1,0.6,-0.3
Terry Mulholland,665,1.1,-0.1,-0.4
Larry Andersen,1000236,2.7,1.7,0.8
Tommy John,1006515,4.7,1.6,3.9
Greg Harris,1005415,1.2,-0.2,0.3
Jerry Reuss,1010853,-0.4,0.9,2.3
Jeff Nelson,1092,-0.1,0.1,-0.2
Bob McClure,1008400,1.0,0.2,0.0
Ed Vosberg,1426,0.0,-0.2,0.4
Tom Burgmeier,1001668,0.4,1.4,1.4
Jamey Wright,715,0.6,0.5,0.3
Hoyt Wilhelm,1013945,2.6,1.7,1.7
Lew Burdette,1001662,0.8,0.4,0.6
Roger Clemens,815,3.6,5.6,4.3
Russ Springer,1652,0.1,1.4,0.6
Jim Perry,1010213,1.9,4.3,-0.2
Dennis Cook,8,-0.1,-0.1,0.0
Tim Wakefield,219,1.4,1.8,1.2
Johnny Klippstein,1007013,0.2,0.2,0.0
Chris Hammond,92,1.3,0.6,-0.2
Kevin Brown,642,0.5,6.1,2.3
Steve Reed,1053,1.1,-0.2,0.6
Dan Plesac,1319,0.6,0.4,1.2
Frank Tanana,1012818,1.9,0.5,1.3
Jeff Fassero,279,1.8,1.7,-0.1
Mike Fetters,988,0.1,0.0,-0.1
Woody Williams,1190,2.9,1.1,1.2
Chuck Finley,384,4.4,2.1,4.4
Tim Byrdak,1995,0.6,0.1,-0.2
Tug McGraw,1008545,0.3,0.2,0.5
Nolan Ryan,1011348,4.0,4.4,3.2
Jose Contreras,1660,2.1,0.7,0.2
Billy Taylor,1012859,1.0,-0.1,0.0
Doug Jones,1006552,1.6,0.5,1.0
Scott Sanderson,1011422,0.2,0.7,-0.2
Jack Morris,1009211,3.7,1.7,2.0
Darren Oliver,206,0.9,1.2,1.5
Rheal Cormier,952,0.4,-0.4,0.0
Ron Mahay,290,0.4,-0.4,0.0
Phil Niekro,1009583,4.3,5.9,8.6
Buddy Groom,143,0.0,0.4,-0.1
Randy Johnson,60,10.4,8.1,2.4
Rich Rodriguez,1276,-0.3,0.5,0.1
Ron Reed,1010773,0.9,0.2,1.5
Roberto Hernandez,605,0.6,-1.1,-0.2
