Name,playerid,WAR33,WAR34,WAR35
Mike Cuellar,1002853,4.8,2.8,2.4
Joe Nuxhall,1009665,1.5,5.4,1.2
Danny Cox,1002695,1.4,0.5,0.0
Vern Ruhle,1011297,0.6,1.0,0.5
Ben Weber,41,0.6,-0.5,0.0
John Franco,874,1.0,0.8,1.2
Doug Bair,1000439,-0.2,0.3,0.4
Charlie Leibrandt,1007492,3.2,3.6,3.6
Jerry Koosman,1007103,4.9,4.6,3.2
Curt Schilling,73,4.6,7.2,9.3
Jim Gott,1004898,1.8,-0.1,0.2
Claude Osteen,1009878,2.1,1.2,1.0
Tom Seaver,1011708,4.4,3.9,0.4
Jim Kern,1006868,0.0,0.0,-0.3
Ron Villone,1010,1.2,0.3,0.7
Jim Clancy,1002255,0.4,0.5,-0.2
Ron Guidry,1005124,2.8,4.9,3.0
Mike Magnante,929,0.3,1.0,0.1
Jamie Moyer,1091,1.6,3.2,5.2
Clem Labine,1007230,0.6,1.1,-0.1
Dick Donovan,1003395,3.4,4.2,1.9
Craig Lefferts,1007476,1.4,2.6,-0.3
Whitey Ford,1004227,4.9,5.2,6.8
Danny Jackson,1006295,0.3,0.4,-0.3
Joe Niekro,1009582,1.4,1.8,3.4
Hank Aguirre,1000087,1.8,2.4,0.4
Dennis Eckersley,1003660,2.3,1.7,3.2
John Hiller,1005817,1.6,1.5,2.0
Gaylord Perry,1010210,8.1,5.7,6.3
Rick Wise,1014155,3.2,1.1,0.5
Mike Stanton,849,1.6,1.7,1.2
Geoff Zahn,1014410,2.7,3.6,1.1
Bob Patterson,1010055,-0.3,0.3,0.1
Ed Whitson,1013911,3.0,2.7,5.2
Terry Leach,1007427,1.0,0.3,-0.1
Dick Tidrow,1013056,0.4,-0.1,0.9
Mike Morgan,67,2.8,0.3,1.5
Bill Gullickson,1005136,0.6,0.7,0.7
Steve Howe,1006107,1.2,0.7,-0.2
Al Leiter,883,3.3,4.8,3.8
Josias Manzanillo,996,1.6,-0.4,-0.5
Doyle Alexander,1000122,5.0,4.0,3.9
Larry McWilliams,1008700,0.1,0.8,1.9
Bill Henry,1005665,0.5,0.0,0.7
Grant Jackson,1006298,0.9,-0.5,0.4
Troy Percival,29,0.2,0.1,-0.6
Kent Tekulve,1012905,0.0,1.2,0.6
Armando Reynoso,72,1.4,2.1,-0.6
Lindy McDaniel,1008441,1.3,1.8,-1.0
Woodie Fryman,1004381,1.7,0.9,2.3
Dave LaRoche,1007354,0.2,0.7,-0.1
Kenny Rogers,1277,4.5,3.5,4.3
Gary Lavelle,1007389,1.3,2.1,0.7
Sparky Lyle,1007859,0.5,0.6,0.1
Kevin Appier,3,3.4,2.6,0.1
Charlie Hough,1006050,1.4,3.1,3.2
Steve Barber,1000530,0.5,-0.3,0.7
Jim Palmer,1009973,2.6,1.8,0.2
Curt Simmons,1011980,2.4,5.1,3.0
Hideo Nomo,666,2.9,3.3,-0.4
Rick Reed,750,1.5,2.6,3.3
Danny Darwin,1002996,1.6,2.8,-0.1
Dave Burba,1239,4.2,2.5,1.6
Paul Splittorff,1012346,2.4,0.7,1.9
Todd Jones,436,0.1,0.9,0.0
John Tudor,1013215,0.9,3.1,0.1
Matt Herges,780,1.6,0.0,-0.5
Juan Agosto,1000084,-0.4,0.6,0.0
Gil Heredia,1005686,4.2,2.6,-0.7
Roger McDowell,1008475,0.0,0.9,-0.1
Ted Abernathy,1000020,-0.6,1.8,-0.7
Mike Myers,68,0.3,-0.3,-0.1
Dave Schmidt,1011580,0.3,-0.2,-0.1
Mike Torrez,1013134,2.6,1.2,1.2
Dick Drago,1003475,0.6,2.5,-0.1
Jason Grimsley,602,0.9,0.8,0.5
Bob Miller,1008877,-0.3,-0.2,0.3
Diego Segui,1011725,0.6,0.7,0.9
Paul Abbott,1061,0.8,-0.2,0.1
Al Downing,1003450,1.1,0.3,0.4
Rick Mahler,1007988,1.0,4.3,3.2
Jim Lonborg,1007724,2.1,3.2,1.8
Bob Purkey,1010572,1.3,1.9,-0.3
Jim Slaton,1012054,-1.6,0.6,0.3
Ryne Duren,1003586,0.8,0.4,0.8
Clay Carroll,1001997,1.8,1.2,1.1
Burt Hooton,1006005,0.3,0.6,0.7
David Wells,855,3.4,4.3,4.4
Bob Ojeda,1009756,2.1,1.4,0.3
Jim Rooker,1011183,2.2,1.6,0.8
Tim Worrell,1139,0.9,1.0,1.4
Bob Forsch,1004233,-0.1,0.0,0.6
Dennis Springer,672,-1.0,1.5,0.0
Dave Stewart,1012519,4.9,1.5,1.2
Dennis Lamp,1007284,0.5,0.5,1.3
Mike Marshall,1008144,0.4,0.8,1.9
Kevin Jarvis,1037,0.1,-0.5,-0.2
Joe Hoerner,1005895,0.4,0.7,0.0
Wilbur Wood,1014248,3.4,1.2,0.6
Paul Quantrill,669,1.4,1.5,1.0
Bob Gibson,1004662,8.8,9.8,5.2
Bill Krueger,1007175,2.0,1.9,1.4
Phil Regan,1010785,0.0,0.2,-0.1
John Candelaria,1001909,2.4,3.4,0.3
Ken Forsch,1004234,2.4,3.1,2.4
Ray Herbert,1005684,4.9,0.7,1.4
Dan Schatzeder,1011527,-0.8,0.2,0.6
Joe Boever,1001118,-0.2,-0.3,-0.2
Kevin Gross,1005088,3.4,0.9,1.3
Bryn Smith,1012104,3.2,2.4,2.4
David Cone,1680,2.2,4.9,5.1
Luis Tiant,1013054,6.5,4.2,3.7
Bud Black,1001007,2.4,0.8,-0.1
Steve Farr,1003953,1.6,1.4,1.1
Ron Perranoski,1010201,1.2,0.8,-0.2
Marty Pattin,1010074,1.4,0.3,-0.1
Ray Sadecki,1011360,0.8,0.6,-0.1
Lee Smith,1012175,2.0,1.2,0.1
Giovanni Carrara,643,0.7,-0.4,-0.6
Pedro Borbon,1289,0.3,-0.4,-0.4
Bert Blyleven,1001098,5.0,7.0,2.9
Orel Hershiser,1005741,2.3,3.0,1.1
Rich Gossage,1004894,2.6,0.7,1.0
Dave Smith,1012117,0.9,0.7,0.9
Bill Lee,1007448,0.3,0.8,0.1
Tom Glavine,90,4.2,4.7,1.7
Dennis Martinez,1008161,2.2,3.1,4.6
Tony Fossas,1004242,0.1,0.4,0.5
Larry Gura,1005150,2.7,1.9,0.1
Jim Mecir,930,0.1,0.6,0.4
Jim Brewer,1001406,1.1,0.6,0.1
Randy Myers,1009427,1.3,2.0,0.1
Jimmy Key,1006885,4.0,0.6,2.7
Don Mossi,1009250,3.1,1.0,-0.3
Dale Murray,1009383,0.9,0.1,0.0
Tom Browning,1001566,1.2,0.0,-0.1
Frank Viola,1013435,2.7,0.3,-0.1
Greg Swindell,76,0.0,0.6,1.2
Greg Maddux,104,5.6,7.2,6.3
Don Aase,1000003,-0.4,-0.3,-0.4
Jim Bunning,1001653,7.3,6.8,6.8
Mark Gardner,1004529,0.4,1.4,1.4
Sonny Siebert,1011951,3.3,4.4,2.7
Bob Buhl,1001637,1.6,1.8,1.9
Tim Leary,1007438,-0.2,0.8,-0.1
Bob Veale,1013391,6.0,3.7,-0.2
Don McMahon,1008629,-0.5,0.8,0.1
Joe Hesketh,1005747,1.9,0.3,2.3
Mike Timlin,1187,0.3,0.1,0.7
Jeff Brantley,1001358,-0.1,-0.5,0.2
Dave Stieb,1012532,0.8,0.4,0.2
Rick Aguilera,1000086,1.3,1.5,0.8
Dick Ruthven,1011330,0.7,0.7,-0.4
Trevor Hoffman,1035,0.3,2.0,0.1
Wilson Alvarez,1193,2.5,2.2,-0.3
Gene Garber,1004493,0.7,2.2,-0.1
Bruce Hurst,1006222,3.9,2.7,0.2
Mark Leiter,1007501,0.6,1.8,0.3
Tippy Martinez,1008200,1.2,0.2,-0.1
Jason Christiansen,1111,0.1,-0.6,0.0
Larry Jackson,1006304,5.9,2.9,2.3
Dave Righetti,1010958,0.3,-0.8,-0.5
Ray Burris,1001729,1.9,0.8,-0.7
Roy Face,1003891,0.7,0.8,0.0
Mike Moore,1009122,0.3,-0.3,0.0
Bob Walk,1013507,0.8,1.1,0.6
Luis Arroyo,1000328,0.3,1.4,-0.3
Jack Billingham,1000970,0.7,1.0,2.0
Bill Campbell,1001874,0.9,2.0,0.6
Gary Peters,1010228,4.1,1.8,0.1
Bob Welch,1013750,1.8,0.6,0.6
Norm Charlton,1002160,1.2,-0.2,0.0
Arthur Rhodes,1097,0.9,-0.6,1.2
Mark Langston,1007323,1.6,4.1,1.7
Robin Roberts,1011046,2.8,0.7,3.5
Tim Stoddard,1012556,-0.4,0.8,-0.1
Fred Gladding,1004751,0.5,0.7,0.0
Roger Mason,1008222,-1.1,0.4,-0.5
Darold Knowles,1007058,1.7,0.4,-0.2
Chris Short,1011931,0.6,0.1,0.2
Bobby Tiefenauer,1013057,0.6,0.4,-0.3
Bobby Witt,1014170,1.5,-0.3,1.8
Jim Corsi,1002644,0.3,0.5,1.2
David Weathers,902,0.7,-0.3,0.7
Rob Murphy,1009374,-0.1,-0.6,-0.3
Rick Sutcliffe,1012734,3.7,0.0,1.3
Todd Stottlemyre,75,4.1,1.4,0.8
Mike Mussina,837,4.5,6.1,3.0
Alan Embree,1030,0.8,0.4,-0.3
Rodney Myers,1511,0.0,0.0,0.0
Steve Mingori,1008978,0.3,0.3,-0.9
Joe Gibbon,1004658,-0.5,-0.2,0.0
Charles Nagy,397,0.0,0.5,-0.2
Doug Henry,1005668,0.5,-0.4,-0.6
Tom Candiotti,1001911,5.8,3.5,4.2
Mike Remlinger,111,1.0,1.0,1.5
Jesse Orosco,667,-0.5,0.5,0.3
Mike Flanagan,1004133,0.3,2.6,3.1
Rick Honeycutt,1005992,1.8,0.4,0.6
Tim Belcher,1000789,1.7,3.8,1.9
Steve Carlton,1001964,2.8,4.3,8.8
Jim Kaat,1006660,2.6,2.7,5.2
Eric Plunk,1010400,-0.3,0.5,-1.0
Al Levine,20,0.5,-0.4,-0.3
Joaquin Andujar,1000266,0.3,-0.1,-0.3
Dwight Gooden,1004852,1.8,0.5,-0.4
Frank Lary,1007364,0.5,-0.5,0.6
Ricardo Rincon,401,0.3,0.9,-0.5
Stu Miller,1008935,2.2,0.7,1.6
Stan Bahnsen,1000414,-0.6,-0.1,-0.1
Brian Shouse,630,-0.2,1.2,0.6
Mariano Rivera,844,2.5,2.5,2.9
Mudcat Grant,1004952,-0.3,0.7,-1.0
Vern Law,1007410,0.1,2.3,3.4
Fred Norman,1009632,2.7,1.8,0.8
Bill Swift,1012788,1.5,0.4,0.2
Jim Bibby,1000945,1.0,2.5,2.6
Mike Maddux,1007951,2.1,-0.3,-0.1
Juan Berenguer,1000865,0.8,0.3,-0.1
Dick Hall,1005241,0.7,1.6,0.3
Jim Deshaies,1003228,1.0,-0.3,-0.2
Tom Gordon,282,1.5,0.7,2.1
Rudy Seanez,1279,0.0,-0.1,0.9
Fergie Jenkins,1006388,3.7,2.3,5.3
Don Sutton,1012745,2.7,3.7,3.0
Jose Mesa,961,-0.9,0.4,1.6
Steve Hamilton,1005277,-0.1,0.5,0.5
Don Robinson,1011061,1.3,0.5,0.6
Joe Sambito,1011392,-0.2,0.3,-0.2
Jeff Montgomery,1009071,0.8,-0.3,0.4
Terry Mulholland,665,2.5,1.3,1.4
Larry Andersen,1000236,0.8,1.3,1.4
Turk Farrell,1003950,1.3,-0.4,-0.3
Tommy John,1006515,3.5,5.1,4.3
Dave Giusti,1004748,0.2,1.7,0.4
Greg Harris,1005415,-0.1,2.6,2.5
Jerry Reuss,1010853,5.5,4.8,1.2
