Name,playerid,WAR29,WAR30,WAR31
Freddy Garcia,1077,3.1,0.2,0.0
Brandon Lyon,1312,0.8,1.1,-0.6
Mike Cuellar,1002853,6.1,5.1,3.3
Rich DeLucia,1003185,-0.2,0.3,-0.2
Dan Petry,1010246,0.3,-0.6,0.8
Ed Roebuck,1011118,0.2,-0.6,-0.9
Mel Stottlemyre,1012579,4.4,2.4,4.1
Brian Anderson,44,0.3,1.6,1.9
Jim Brower,313,0.3,0.6,0.7
Billy Wagner,578,2.0,1.7,2.3
Valerio de los Santos,681,0.4,-0.4,0.1
Chad Qualls,2170,1.8,0.9,0.0
Tom Griffin,1005054,-0.6,-0.5,0.2
Octavio Dotel,555,1.7,1.6,0.0
Jason Schmidt,1131,4.5,6.6,6.4
Bryce Florie,1004172,1.0,0.3,-0.1
John Morris,1009219,0.5,-0.2,0.1
Steve Stone,1012573,1.7,2.2,0.3
Greg Aquino,1899,0.0,-0.1,-0.2
Jerry Augustine,1000365,-1.0,-0.4,0.0
Storm Davis,1003080,0.1,0.8,0.8
Andy McGaffigan,1008497,1.9,2.0,0.8
Vern Ruhle,1011297,2.2,1.2,1.2
Bobby Jones,1039,1.3,1.0,0.8
John Franco,874,1.3,1.3,0.5
Turk Wendell,975,0.3,-0.2,0.7
Brandon Backe,1529,0.1,-0.4,-0.3
Bob Babcock,1000394,-0.2,-0.1,-0.1
Doug Bair,1000439,0.6,0.1,0.1
Charlie Leibrandt,1007492,3.7,4.4,3.4
Orlando Pena,1010150,3.4,1.3,0.9
Bruce Berenyi,1000864,2.5,0.2,-0.1
Don Cardwell,1001941,2.2,0.1,1.1
Jerry Reed,1010769,-0.2,0.4,1.3
Francisco Cordero,1243,2.7,1.4,1.3
Jerry Koosman,1007103,2.9,4.4,5.4
Curt Schilling,73,4.7,8.2,8.3
Dustin Hermanson,195,0.0,0.1,1.7
Kent Mercker,439,0.9,2.3,1.1
Tyler Yates,1527,0.5,0.4,-0.2
Rick Anderson,1000241,0.5,-0.2,0.0
Scott Bankhead,1000510,0.1,0.2,-0.5
C.J. Nitkowski,570,0.1,0.0,-0.2
Jose Bautista,1000694,0.0,-1.6,-0.3
Jim Gott,1004898,0.0,-0.1,0.7
Al Hrabosky,1006116,0.3,-0.7,0.3
Claude Osteen,1009878,5.5,3.1,1.6
Tom Seaver,1011708,5.1,7.8,6.8
Mike Stanton,1012421,1.8,1.1,1.4
Don Carman,1001967,-1.3,-0.9,-0.8
Jim Kern,1006868,2.0,4.7,-0.3
Jim Maloney,1008039,2.3,-0.5,-0.5
Bob Shaw,1011819,3.3,1.7,0.5
Sidney Ponson,161,0.5,-0.2,0.9
Ron Villone,1010,2.4,0.2,0.8
Jim Clancy,1002255,1.6,3.1,5.0
Ron Guidry,1005124,3.9,2.8,4.0
Jack Kralick,1007135,3.0,0.6,-0.1
Paul Reuschel,1010851,-0.3,0.7,0.6
Mike Magnante,929,0.2,0.1,0.3
Ugueth Urbina,216,1.3,0.1,0.7
Lance Painter,1675,0.1,-0.2,1.0
Brad Ziegler,7293,1.1,0.1,1.0
Craig Lefferts,1007476,-0.2,0.6,0.6
