Name,playerid,WAR21,WARextra,Cluster
Rick Rhoden,1010887.0,0.0,0.0,A
Felix Sanchez,1822.0,-0.1,-0.1,A
Elizardo Ramirez,1946.0,-0.1,-0.1,A
Gerry Arrigo,1000326.0,0.0,0.0,A
Ed Keegan,1006745.0,0.0,0.0,A
Scott Scudder,1011699.0,-0.3,-0.3,A
Darcy Fast,1003955.0,-0.1,-0.1,A
Jay Baller,1000492.0,0.0,0.0,A
Chuck McElroy,1008477.0,0.0,0.0,A
Larry Yount,1014395.0,0.0,0.0,A
Dennis Lewallyn,1007572.0,0.0,0.0,A
Preston Hanna,1005318.0,0.0,0.0,A
Phil Ortega,1009855.0,-0.2,-0.2,A
Jerry Walker,1013523.0,-0.2,-0.2,A
Mario Soto,1012289.0,0.0,0.0,A
Javier Martinez,1008172.0,-0.3,-0.3,A
Ryan Wagner,1770.0,-0.2,-0.2,A
Steve Lawson,1007407.0,0.0,0.0,A
Brett Myers,962.0,-0.1,-0.1,A
Dennis Blair,1001029.0,0.0,0.0,A
Salomon Torres,1628.0,-0.1,-0.1,A
Jim Ollom,1009783.0,-0.2,-0.2,A
Billy Rohr,1011147.0,0.0,0.0,A
Vicente Padilla,964.0,-0.3,-0.3,A
Rollie Fingers,1004051.0,-0.2,-0.2,A
Kurt Miller,1008913.0,0.0,0.0,A
Ben Kozlowski,1634.0,-0.3,-0.3,A
Joe Fontenot,1004206.0,0.0,0.0,A
Wally Ritchie,1010989.0,-0.1,-0.1,A
Mike Hedlund,1005575.0,-0.1,-0.1,A
Dave LaPoint,1007338.0,0.0,0.0,A
Randy Lerch,1007551.0,0.0,0.0,A
Johnny Guzman,1005161.0,0.0,0.0,A
Jon Warden,1013610.0,-0.3,-0.3,A
Paul Siebert,1011950.0,0.0,0.0,A
Steve Luebber,1007819.0,0.0,0.0,A
Aurelio Monteagudo,1009063.0,-0.1,-0.1,A
Miguel Garcia,1004506.0,-0.1,-0.1,A
Jeff Granger,1004944.0,0.0,0.0,A
Esteban Yan,1236.0,-0.1,-0.1,A
Jimmy Freeman,1004321.0,-0.1,-0.1,A
Rob Gardner,1004531.0,-0.2,-0.2,A
Ramon Garcia,1004511.0,-0.1,-0.1,A
Mike Garman,1004539.0,-0.1,-0.1,A
John Denny,1003210.0,0.0,0.0,A
Hector Wagner,1013484.0,-0.1,-0.1,A
Todd Van Poppel,1284.0,-0.2,-0.2,A
Albie Lopez,102.0,-0.2,-0.2,A
