Name,playerid,WAR23,WAR24,WAR25,WAR26
Freddy Garcia,1077,1.0,5.3,3.4,1.6
Felipe Lira,1007649,1.7,2.2,0.1,-0.2
Steve Mura,1009337,0.0,0.3,1.3,1.2
Dan Petry,1010246,4.4,1.3,4.2,2.9
Mel Stottlemyre,1012579,4.5,3.6,2.5,2.9
Brian Anderson,44,-0.3,0.4,0.4,1.0
Billy Wagner,578,0.0,0.2,2.2,1.8
Jaime Cerda,1532,0.3,-0.3,0.5,0.0
Tom Griffin,1005054,0.0,1.0,0.6,2.1
Jason Schmidt,1131,0.8,2.5,2.9,3.0
Steve Stone,1012573,0.5,1.3,3.1,1.4
Jerry Augustine,1000365,1.5,1.2,1.7,1.0
Danny Cox,1002695,1.0,1.3,3.2,3.1
Storm Davis,1003080,3.0,2.6,1.1,2.1
Brian Fisher,1004077,3.1,-0.1,1.0,0.3
Vern Ruhle,1011297,0.6,1.8,1.8,0.5
Bob Sykes,1012798,0.4,-0.4,0.0,-0.2
Bobby Jones,1039,0.6,2.3,2.7,1.9
Neal Cotts,1797,0.0,-0.2,1.4,-0.5
Hank Fischer,1004068,0.5,1.6,0.1,1.5
Frank Pastore,1010048,1.9,2.4,1.2,0.2
John Franco,874,0.6,1.0,1.4,1.5
Matt Albers,4300,0.3,0.0,0.1,0.6
Rich Robertson,1011044,0.2,0.0,0.7,0.0
Larry Christenson,1002215,2.7,4.6,1.3,1.2
Jimmy Jones,1006569,0.9,2.0,-0.1,-0.2
Randy Messenger,2658,-0.4,0.2,0.5,0.0
Ron Bryant,1001608,1.8,1.6,2.6,0.3
Dave Eiland,1003714,0.7,0.2,0.5,0.2
Ed Glynn,1004789,-0.2,0.1,-0.1,-0.4
Curt Schilling,73,0.7,0.9,4.2,4.5
Dustin Hermanson,195,-0.1,2.3,3.1,4.0
Kent Mercker,439,0.7,0.0,1.1,1.6
Scott Bankhead,1000510,0.9,3.6,3.5,0.0
Ken Dixon,1003331,0.2,1.3,1.9,-0.1
Jose Bautista,1000694,1.1,-0.6,-0.1,-0.2
Pat Clements,1002339,0.2,0.3,0.8,0.0
Jim Gott,1004898,2.8,1.5,2.0,0.0
Al Hrabosky,1006116,1.1,1.9,2.5,0.8
Claude Osteen,1009878,2.3,4.4,3.5,4.8
Tom Seaver,1011708,5.8,4.4,8.3,9.1
Manny Delcarmen,3180,0.0,1.0,0.4,1.1
Don Carman,1001967,0.0,0.0,1.3,1.6
Rawly Eastwick,1003648,0.2,1.2,2.3,0.3
Jim Maloney,1008039,6.4,4.9,6.5,4.9
Sidney Ponson,161,3.2,1.3,1.7,4.4
Jim Clancy,1002255,0.4,3.2,0.4,4.3
Danny Coombs,1002582,0.2,0.1,0.7,0.5
Lance McCullers,1008436,1.7,-0.2,0.5,0.2
Hal Reniff,1010833,-0.1,0.6,0.4,0.4
Jamie Moyer,1091,0.3,1.5,2.1,0.2
Steve Rosenberg,1011215,-0.1,0.6,-0.2,-0.3
Ugueth Urbina,216,0.8,2.2,2.2,0.6
Dave Freisleben,1004333,0.8,1.2,-0.7,-0.3
Brian Williams,1013978,0.0,0.1,0.0,1.2
Joe Mays,740,1.5,1.9,3.1,0.5
Grant Roberts,894,0.5,0.3,0.4,-0.3
Allan Anderson,1000216,-0.3,3.5,2.0,2.1
Al Fitzmorris,1004119,0.0,0.0,1.3,0.0
Danny Jackson,1006295,4.6,2.9,4.3,5.2
Chris Knapp,1007026,1.5,1.4,1.0,-0.8
Joe Niekro,1009582,-0.1,1.6,1.6,0.2
Terry Adams,946,0.8,1.0,0.5,0.3
Gavin Floyd,3886,-0.6,-0.1,2.3,4.0
Dennis Eckersley,1003660,3.9,4.4,2.9,3.2
John Hiller,1005817,0.0,1.6,1.0,0.5
Gaylord Perry,1010210,0.5,-0.3,3.6,2.3
Rick Wise,1014155,3.7,3.8,4.6,4.8
Mike Stanton,849,-0.1,0.8,0.1,0.3
Mike Gosling,2204,-0.2,0.3,-0.1,-0.3
Logan Kensing,6166,0.1,0.2,0.2,-0.6
Tom Gorzelanny,6244,1.0,3.1,-0.7,0.7
Jim Bouton,1001241,1.6,3.6,2.4,0.0
Max Leon,1007542,-0.3,1.3,0.7,0.1
Matt Ginter,233,0.2,0.3,-0.1,0.7
Gustavo Chacin,2060,0.4,2.9,-0.4,-0.1
Don Drysdale,1003516,6.2,3.5,6.5,5.8
Jim McGlothlin,1008532,3.1,1.7,2.1,1.4
Ed Whitson,1013911,0.5,1.2,3.2,0.7
Mike Thurman,852,-0.2,0.4,1.7,0.9
Mike Kekich,1006764,0.3,0.5,0.0,0.8
Joey McLaughlin,1008614,0.3,1.2,0.5,-1.0
