Name,playerid,WAR25,WAR26
Freddy Garcia,1077,3.4,1.6
Juan Alvarez,1432,0.0,-0.3
Rich DeLucia,1003185,0.8,-0.3
Brian Edmondson,1003677,-0.9,-0.2
Frank Funk,1004406,0.6,-0.3
Mike Jackson,1006306,0.0,0.2
Felipe Lira,1007649,0.1,-0.2
Steve Mura,1009337,1.3,1.2
Dan Petry,1010246,4.2,2.9
Mel Stottlemyre,1012579,2.5,2.9
Brian Anderson,44,0.4,1.0
Billy Wagner,578,2.2,1.8
Valerio de los Santos,681,0.0,-0.1
Jaime Cerda,1532,0.5,0.0
Chris Capuano,1701,0.4,2.2
Chad Qualls,2170,0.3,0.7
Tom Griffin,1005054,0.6,2.1
Ricky Horton,1006036,0.7,1.1
Curt Kaufman,1006717,0.1,-0.3
Octavio Dotel,555,0.6,0.8
Jason Schmidt,1131,2.9,3.0
Bryce Florie,1004172,0.0,0.4
Steve Stone,1012573,3.1,1.4
Jerry Augustine,1000365,1.7,1.0
Danny Cox,1002695,3.2,3.1
Storm Davis,1003080,1.1,2.1
Tom Dukes,1003545,-0.4,-0.1
Brian Fisher,1004077,1.0,0.3
Andy McGaffigan,1008497,0.1,0.7
Brad Pennington,1010159,-0.3,-0.2
Vern Ruhle,1011297,1.8,0.5
Bob Sykes,1012798,0.0,-0.2
Bobby Jones,1039,2.7,1.9
Ted Davidson,1003029,1.0,0.2
Hank Fischer,1004068,0.1,1.5
Jeff McCurry,1008440,-0.9,-0.3
Frank Pastore,1010048,1.2,0.2
Victor Santos,446,0.0,-0.2
John Franco,874,1.4,1.5
Brandon Backe,1529,-0.1,0.5
Rich Robertson,1011044,0.7,0.0
Keith Atherton,1000348,-0.4,-0.4
Bruce Berenyi,1000864,0.1,2.2
Don Cardwell,1001941,4.3,1.4
Larry Christenson,1002215,1.3,1.2
Jimmy Jones,1006569,-0.1,-0.2
Jerry Reed,1010769,0.0,0.2
Josh Pearce,1175,0.1,0.0
Francisco Cordero,1243,-0.4,0.0
Ron Bryant,1001608,2.6,0.3
Dave Eiland,1003714,0.5,0.2
Ed Glynn,1004789,-0.1,-0.4
Joey Jay,1006373,3.6,3.4
Jerry Koosman,1007103,3.6,5.4
Curt Schilling,73,4.2,4.5
