Name,playerid,WAR24,WAR25,WAR26,WAR27
Freddy Garcia,1077,5.3,3.4,1.6,4.8
Frank Funk,1004406,0.2,0.6,-0.3,-0.1
Steve Mura,1009337,0.3,1.3,1.2,0.5
Dan Petry,1010246,1.3,4.2,2.9,0.4
Mel Stottlemyre,1012579,3.6,2.5,2.9,3.7
Brian Anderson,44,0.4,0.4,1.0,1.7
Billy Wagner,578,0.2,2.2,1.8,3.6
Chris Capuano,1701,0.4,0.4,2.2,4.0
Esmil Rogers,6317,1.2,-0.3,1.1,0.1
Tom Griffin,1005054,1.0,0.6,2.1,-0.4
Ricky Horton,1006036,0.6,0.7,1.1,-0.2
Jason Schmidt,1131,2.5,2.9,3.0,0.7
Steve Stone,1012573,1.3,3.1,1.4,2.4
Jerry Augustine,1000365,1.2,1.7,1.0,-0.5
Danny Cox,1002695,1.3,3.2,3.1,2.2
Storm Davis,1003080,2.6,1.1,2.1,0.5
Vern Ruhle,1011297,1.8,1.8,0.5,1.3
Bobby Jones,1039,2.3,2.7,1.9,1.8
Matt Capps,4788,1.3,-0.1,1.1,-0.4
Frank Pastore,1010048,2.4,1.2,0.2,0.9
John Franco,874,1.0,1.4,1.5,1.1
Brian Matusz,2646,-1.1,0.9,1.0,0.2
Zack Britton,3240,0.6,0.1,1.0,2.1
Matt Albers,4300,0.0,0.1,0.6,0.1
Keith Atherton,1000348,0.2,-0.4,-0.4,0.2
Don Cardwell,1001941,2.3,4.3,1.4,1.5
Larry Christenson,1002215,4.6,1.3,1.2,1.7
Jimmy Jones,1006569,2.0,-0.1,-0.2,1.5
Joey Jay,1006373,0.8,3.6,3.4,0.8
Curt Schilling,73,0.9,4.2,4.5,0.8
Dustin Hermanson,195,2.3,3.1,4.0,1.4
Kent Mercker,439,0.0,1.1,1.6,1.5
John Cummings,1002874,0.2,0.3,0.2,0.1
Al Hrabosky,1006116,1.9,2.5,0.8,-0.6
Claude Osteen,1009878,4.4,3.5,4.8,3.8
Tom Seaver,1011708,4.4,8.3,9.1,5.6
Manny Delcarmen,3180,1.0,0.4,1.1,0.0
Rawly Eastwick,1003648,1.2,2.3,0.3,-0.2
Jim Maloney,1008039,4.9,6.5,4.9,4.5
Sidney Ponson,161,1.3,1.7,4.4,3.0
Jim Clancy,1002255,3.2,0.4,4.3,2.8
Hal Reniff,1010833,0.6,0.4,0.4,1.0
Jamie Moyer,1091,1.5,2.1,0.2,1.0
Dave Freisleben,1004333,1.2,-0.7,-0.3,0.1
Brian Williams,1013978,0.1,0.0,1.2,-0.4
Joe Mays,740,1.9,3.1,0.5,-0.1
Allan Anderson,1000216,3.5,2.0,2.1,-0.5
Al Fitzmorris,1004119,0.0,1.3,0.0,1.4
Danny Jackson,1006295,2.9,4.3,5.2,0.9
Joe Niekro,1009582,1.6,1.6,0.2,0.8
Scott Sanders,1011423,0.8,2.1,1.1,3.6
Terry Adams,946,1.0,0.5,0.3,0.8
Gavin Floyd,3886,-0.1,2.3,4.0,4.2
Ryan Webb,7474,0.7,0.2,0.7,0.5
Dennis Eckersley,1003660,4.4,2.9,3.2,3.1
John Hiller,1005817,1.6,1.0,0.5,0.9
Gaylord Perry,1010210,-0.3,3.6,2.3,7.3
Rick Wise,1014155,3.8,4.6,4.8,5.1
Mike Stanton,849,0.8,0.1,0.3,0.3
Charlie Morton,4676,0.0,1.6,-0.3,2.0
Tom Gorzelanny,6244,3.1,-0.7,0.7,1.8
Joakim Soria,6941,1.3,1.6,1.9,0.9
Jim Bouton,1001241,3.6,2.4,0.0,0.9
Max Leon,1007542,1.3,0.7,0.1,0.6
Jon Lieber,287,1.7,1.2,1.4,3.2
Don Drysdale,1003516,3.5,6.5,5.8,6.9
Jim McGlothlin,1008532,1.7,2.1,1.4,1.6
Ed Whitson,1013911,1.2,3.2,0.7,1.1
Mike Thurman,852,0.4,1.7,0.9,1.5
Mike Kekich,1006764,0.5,0.0,0.8,0.2
Joey McLaughlin,1008614,1.2,0.5,-1.0,0.0
Allen Watson,1013675,-0.1,1.0,1.1,0.9
Jim Willoughby,1014047,-0.3,-0.3,0.0,0.4
John Smoltz,115,3.7,5.0,3.9,2.1
