Name,playerid1,1ySeason,W,L,SV,G,GS,IP,Kd9,BBd9,HRd9,BABIP,LOBp,ERA,FIP15,Age,CG,ShO,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,KdBB,AVG,WHIP,FIP33,RAR,WAR,WPA,nWPA,pWPA,RE24,REW,pLI,gmLI,exLI,Pulls,WPAdLI,Clutch,SD,MD,ERAm,FIPm,RA9WAR,BIPWins,LOBWins,FDPWins,KBBp,kwERA,TTOp,playerid58,ServiceTime,FutureWAR,prediction
Jim Abbott,1000012,1992,7,15,0,29,29,211.0,5.55,2.9,0.51,0.297,0.787,2.77,3.31,24,7,0,874,208,73,65,12,68,3,4,2,0,130,1.91,0.259,1.31,3.31,40.1,4.4,1.14,-14.3,15.44,21.78,2.25,1.01,0.87,1.28,22,2.06,-0.93,0,0,69,82,5.8,-0.7,2.1,1.4,0.071,3.63,0.24,1000012,4,2.3,1
Jim Abbott,1000012,1993,11,14,0,32,32,214.0,4.0,3.07,0.93,0.279,0.684,4.37,4.5,25,4,1,906,221,115,104,22,73,4,3,9,0,95,1.3,0.266,1.37,4.5,23.5,2.3,-0.92,-16.35,15.43,-2.73,-0.28,0.98,0.86,0.93,28,0.89,-1.83,0,0,102,104,2.1,0.5,-0.7,-0.1,0.024,4.67,0.21,1000012,5,1.3,1
Jim Abbott,1000012,1994,9,8,0,24,24,160.1,5.05,3.59,1.35,0.279,0.727,4.55,5.19,26,2,0,692,167,88,81,24,64,1,2,8,1,90,1.41,0.267,1.44,5.19,14.2,1.3,0.11,-11.8,11.9,0.99,0.08,0.93,0.88,1.09,22,-0.58,0.69,0,0,96,109,2.3,0.7,0.3,1.0,0.038,4.89,0.257,1000012,6,3.5,1
Jim Abbott,1000012,1995,11,8,0,30,30,197.0,3.93,2.92,0.64,0.288,0.713,3.7,4.16,27,4,1,842,209,93,81,14,64,1,2,1,0,86,1.34,0.269,1.39,4.16,36.7,3.5,1.32,-14.37,15.69,17.02,1.58,1.03,0.88,1.55,26,1.61,-0.32,0,0,79,89,4.0,0.4,0.0,0.5,0.026,4.99,0.195,1000012,7,0.0,1
Jim Abbott,1000012,1996,2,18,0,27,23,142.0,3.68,4.94,1.46,0.301,0.566,7.48,6.19,28,1,0,654,171,128,118,23,78,3,4,13,1,58,0.74,0.299,1.75,6.19,0.1,0.0,-4.54,-14.51,9.97,-43.0,-4.04,0.95,0.83,0.98,24,-2.35,-2.42,0,2,150,124,-1.9,0.1,-2.0,-1.9,-0.031,5.87,0.243,1000012,8,0.5,1
Jim Abbott,1000012,1998,5,0,0,5,5,31.2,3.98,3.41,0.57,0.314,0.708,4.55,4.31,30,0,0,134,35,16,16,2,12,0,1,0,0,14,1.17,0.289,1.48,4.31,4.9,0.5,0.4,-2.37,2.77,3.52,0.33,1.06,0.87,1.17,5,0.24,0.13,0,0,99,95,0.5,-0.1,0.2,0.0,0.015,5.24,0.209,1000012,9,-0.2,1
Jim Acker,1000030,1983,5,1,1,38,5,97.2,4.05,3.5,0.65,0.292,0.697,4.33,4.2,24,0,0,426,103,52,47,7,38,1,8,1,0,44,1.16,0.271,1.44,4.2,2.9,0.3,-0.9,-5.69,4.79,-5.28,-0.44,0.65,0.86,0.78,30,0.17,-1.56,5,9,102,103,0.3,-0.2,0.2,0.0,0.014,4.32,0.209,1000030,1,0.6,1
Jim Acker,1000030,1984,3,5,1,32,3,72.0,4.13,3.13,0.38,0.31,0.671,4.38,3.68,25,0,0,312,79,39,35,3,25,3,6,5,0,33,1.32,0.281,1.44,3.68,6.3,0.6,0.03,-4.8,4.83,-1.96,-0.2,0.89,1.14,0.84,23,-0.26,0.3,6,5,106,91,0.1,-0.6,0.0,-0.6,0.026,4.19,0.196,1000030,2,-0.1,1
Jim Acker,1000030,1985,7,2,10,61,0,86.1,4.38,4.48,0.73,0.287,0.794,3.23,4.36,26,0,0,370,86,35,31,7,43,1,3,2,0,42,0.98,0.265,1.49,4.36,-0.6,-0.1,-0.15,-7.72,7.57,4.07,0.53,1.22,1.81,2.12,35,-0.05,-0.08,20,19,76,106,1.6,-0.3,2.0,1.7,-0.003,4.57,0.249,1000030,3,1.5,1
Jim Acker,1000030,1986,5,12,0,44,19,155.0,4.01,2.79,0.75,0.284,0.679,4.01,3.96,27,0,0,661,163,81,69,13,48,6,3,5,1,69,1.44,0.267,1.36,3.96,13.9,1.5,-1.3,-12.57,11.27,-4.87,-0.56,1.03,0.95,0.99,35,0.24,-1.5,2,6,98,99,1.0,-0.1,-0.4,-0.5,0.032,4.37,0.197,1000030,4,0.2,1
Jim Acker,1000030,1987,4,9,14,68,0,114.2,5.34,4.0,0.86,0.275,0.72,4.16,4.37,28,0,0,491,109,57,53,11,51,4,4,1,0,68,1.33,0.25,1.4,4.37,1.8,0.2,0.26,-9.65,9.91,5.94,0.58,1.09,1.38,1.56,27,0.09,0.15,23,17,96,103,0.8,0.3,0.3,0.6,0.035,4.67,0.265,1000030,5,-0.3,1
Jim Acker,1000030,1988,0,4,0,21,1,42.0,5.36,3.0,1.29,0.283,0.659,4.71,4.51,29,0,0,184,45,26,22,6,14,3,1,2,0,25,1.79,0.266,1.4,4.51,-2.5,-0.3,-0.81,-3.03,2.22,-9.97,-1.07,0.81,0.92,0.77,14,-1.06,0.06,2,6,130,124,-0.6,0.0,-0.3,-0.3,0.06,3.8,0.245,1000030,6,1.9,1
Jim Acker,1000030,1989,2,7,2,73,0,126.0,6.57,2.29,0.43,0.278,0.793,2.43,2.73,30,0,0,499,108,36,34,6,32,11,2,3,0,92,2.88,0.232,1.11,2.73,17.2,1.9,1.77,-6.23,8.0,24.46,2.69,0.89,1.04,0.96,47,2.33,-0.34,21,7,65,72,2.8,-0.1,1.0,0.9,0.12,3.03,0.261,1000030,7,0.3,1
Jim Acker,1000030,1990,4,4,1,59,0,91.2,5.3,2.95,0.88,0.306,0.705,3.83,3.99,31,0,0,403,103,49,39,9,30,5,3,4,1,54,1.8,0.278,1.45,3.99,2.6,0.3,-1.03,-6.6,5.57,-12.12,-1.28,0.82,0.97,0.98,40,-0.03,-1.23,12,12,97,99,-0.3,-0.6,0.0,-0.6,0.06,3.9,0.231,1000030,8,-0.8,1
Jim Acker,1000030,1991,3,5,1,54,4,88.1,4.48,3.67,1.63,0.221,0.67,5.2,5.5,32,0,0,374,77,53,51,16,36,5,2,7,0,44,1.22,0.229,1.28,5.5,-8.4,-0.8,-0.24,-6.16,5.92,-9.55,-0.98,0.96,1.13,1.19,43,-0.27,0.02,12,10,126,132,-0.4,1.2,-0.8,0.4,0.021,4.43,0.257,1000030,9,-0.2,1
Mark Acre,1000037,1994,5,1,0,34,0,34.1,5.5,6.03,1.05,0.204,0.826,3.41,5.52,25,0,0,147,24,13,13,4,23,3,1,1,0,21,0.91,0.195,1.37,5.52,-2.3,-0.2,-0.49,-2.3,1.8,2.27,0.2,0.89,0.92,1.06,28,0.3,-0.86,7,7,74,118,0.6,0.7,0.1,0.8,-0.014,5.51,0.327,1000037,1,0.0,1
Willie Adams,1000066,1996,3,4,0,12,12,76.1,8.02,2.71,1.3,0.293,0.734,4.01,4.36,23,1,1,329,76,39,34,11,23,3,5,2,0,68,2.96,0.252,1.3,4.36,14.6,1.4,0.33,-5.59,5.92,8.89,0.78,0.98,0.89,1.6,11,0.42,-0.08,0,0,83,90,1.4,0.2,-0.1,0.1,0.137,3.86,0.31,1000066,1,0.0,1
