Name,playerid,real,pred
Scot Shields,35,-0.1,0.04
Jarrod Washburn,40,2.3,0.5
Randy Johnson,60,0.3,3.18
Jason Marquis,105,3.2,1.1
Kevin Millwood,106,2.1,2.39
Horacio Ramirez,110,-0.1,0.15
John Smoltz,115,1.3,1.36
Dan Wheeler,120,0.1,0.49
Erik Bedard,126,2.0,2.79
Jorge Julio,148,-0.3,0.11
B.J. Ryan,168,-0.6,0.25
Casey Fossum,188,0.0,0.02
Derek Lowe,199,1.9,3.33
Darren Oliver,206,1.2,0.68
Mark Buehrle,225,3.0,3.12
Jon Garland,232,1.8,1.06
Bob Howry,237,0.5,-0.1
Damaso Marte,247,-0.1,1.15
Juan Cruz,273,-0.1,0.69
Kyle Farnsworth,278,0.6,0.5
Ron Mahay,290,-0.4,0.79
Will Ohman,296,-0.5,0.16
Kerry Wood,304,0.4,1.1
Carlos Zambrano,305,3.8,2.95
Elmer Dessens,317,-0.2,0.3
Chad Paronto,399,-0.2,0.06
David Riske,402,0.0,0.49
CC Sabathia,404,5.8,6.06
Billy Traber,410,-0.2,0.24
Brian Fuentes,429,0.3,0.7
Dennys Reyes,444,0.1,0.88
Justin Speier,451,-0.1,0.2
Fernando Rodney,494,0.3,0.45
Jamie Walker,502,-0.4,0.5
Josh Beckett,510,4.3,2.89
A.J. Burnett,512,2.8,3.14
Ryan Dempster,517,3.6,2.09
Jason Grilli,521,0.4,0.68
Braden Looper,526,-0.5,1.59
Brad Penny,535,1.8,1.6
Julian Tavarez,541,0.1,0.5
Doug Brocail,551,-0.4,-0.06
Octavio Dotel,555,0.7,0.99
Brad Lidge,563,-0.8,0.88
Scott Linebrink,564,0.1,0.55
Roy Oswalt,571,3.5,3.85
Billy Wagner,578,0.3,0.97
Jeremy Affeldt,583,0.5,0.06
Mike MacDougal,612,-0.3,0.19
Brian Shouse,630,-0.3,0.35
Luis Vizcaino,714,-0.1,0.2
Jamey Wright,715,-0.4,0.96
LaTroy Hawkins,729,0.5,0.21
Kyle Lohse,739,0.7,2.66
Juan Rincon,752,0.0,-0.41
J.C. Romero,754,-0.4,-0.21
Johan Santana,755,3.5,4.6
Scott Downs,773,0.8,0.72
Matt Herges,780,0.3,0.2
Javier Vazquez,801,5.8,4.69
Ted Lilly,833,3.7,2.84
Andy Pettitte,840,3.4,2.87
Tyler Walker,901,0.2,0.73
David Weathers,902,-0.7,0.3
Chad Bradford,904,0.1,0.22
Tim Hudson,921,0.6,1.65
Barry Zito,944,2.0,0.6
Brett Myers,962,-0.5,2.26
Vicente Padilla,964,1.7,1.74
Carlos Silva,973,-0.1,1.4
Randy Wolf,976,3.0,2.01
Bronson Arroyo,978,1.4,1.74
Joe Beimel,979,0.3,0.41
Josh Fogg,989,-0.1,0.5
Kip Wells,1012,0.0,0.01
Alan Embree,1030,-0.2,0.5
Trevor Hoffman,1035,1.7,0.24
Jake Peavy,1051,2.7,5.77
Brett Tomko,1056,0.0,1.0
Freddy Garcia,1077,1.5,0.5
Gil Meche,1089,1.0,3.74
Jamie Moyer,1091,0.5,0.5
Joel Pineiro,1094,4.3,0.5
Rafael Soriano,1100,1.7,0.88
Joe Nathan,1122,1.8,0.31
Jason Isringhausen,1158,0.0,0.5
Jesus Colome,1198,0.1,0.01
Bobby Seay,1225,0.8,1.1
Jorge Sosa,1228,-0.3,0.32
Francisco Cordero,1243,1.3,0.5
Doug Davis,1244,1.0,3.36
Chan Ho Park,1267,1.4,0.5
Chris Carpenter,1292,5.1,0.0
Scott Eyre,1300,-0.1,0.27
Roy Halladay,1303,7.0,5.08
Brandon Lyon,1312,0.8,0.2
Brendan Donnelly,1441,0.6,0.7
Chad Durbin,1442,-0.4,0.48
Randy Flores,1446,0.1,0.01
Aaron Harang,1451,2.2,3.09
Guillermo Mota,1467,0.1,-0.14
Jon Rauch,1475,0.6,0.97
John Lackey,1507,3.2,2.87
Oliver Perez,1514,-0.6,2.11
Tyler Yates,1527,-0.2,0.08
Aaron Cook,1571,1.4,3.16
Mark Hendrickson,1574,0.3,1.6
Clay Condrey,1579,0.1,0.51
Pedro Feliciano,1601,0.6,0.5
Nate Robertson,1620,0.5,1.02
Cliff Lee,1636,6.4,2.92
Francisco Rodriguez,1642,0.7,0.5
Brian Tallet,1646,1.5,0.02
Russ Springer,1652,0.4,0.34
Seth McClung,1657,-0.9,1.55
Jose Contreras,1660,2.1,1.31
Javier Lopez,1663,-0.2,0.02
Jeremy Bonderman,1667,-0.4,0.5
Wil Ledezma,1669,0.0,-0.18
Trever Miller,1672,0.5,0.29
Kiko Calero,1676,1.5,0.35
Brandon Webb,1692,-0.2,4.75
Claudio Vargas,1695,0.3,0.53
Todd Wellemeyer,1709,-0.1,1.4
Jose Valverde,1726,0.8,0.4
Edgar Gonzalez,1727,0.4,0.49
Aaron Heilman,1751,0.3,0.63
Dan Haren,1757,5.3,5.59
Rich Harden,1772,1.9,3.59
Chad Gaudin,1783,1.9,0.64
Jimmy Gobble,1791,-0.2,-0.06
Kevin Gregg,1793,-0.3,0.23
Michael Gonzalez,1794,0.8,0.15
J.J. Putz,1795,0.2,0.82
Neal Cotts,1797,-0.4,0.31
Geoff Geary,1813,-0.4,0.45
Matt Belisle,1837,0.0,0.5
Vinnie Chulk,1838,-0.1,0.24
Chris Bootcheck,1842,0.1,0.27
John Grabow,1848,0.3,0.54
Ryan Madson,1852,1.2,1.05
Shawn Camp,1855,0.5,0.55
Michael Wuertz,1856,2.3,0.26
Shawn Hill,1882,0.1,0.48
Lenny DiNardo,1894,-0.1,1.05
Greg Aquino,1899,-0.2,-0.01
David Aardsma,1902,2.1,0.67
Jason Frasor,1906,1.4,0.11
