Name,playerid,real,pred
Miguel Batista,46,-0.1,0.4
Kevin Millwood,106,0.7,0.5
Dan Wheeler,120,0.3,0.34
Rafael Betancourt,177,1.7,0.5
Derek Lowe,199,1.4,1.99
Darren Oliver,206,1.2,0.49
Tim Wakefield,219,0.1,1.3
Mark Buehrle,225,3.1,4.22
Jon Garland,232,0.2,1.46
Daniel McCutchen,263,-0.3,-0.1
Juan Cruz,273,0.3,0.43
Kyle Farnsworth,278,1.0,0.58
Will Ohman,296,0.1,-0.14
Kerry Wood,304,0.4,0.89
Carlos Zambrano,305,0.6,1.6
CC Sabathia,404,5.8,6.32
Brian Fuentes,429,0.2,-0.07
Dennys Reyes,444,-0.1,0.06
Fernando Rodney,494,-0.4,0.41
Josh Beckett,510,3.8,2.99
A.J. Burnett,512,0.6,1.1
Ryan Dempster,517,2.6,2.59
Brad Penny,535,0.3,2.89
Octavio Dotel,555,0.8,0.75
Brad Lidge,563,0.3,0.5
Scott Linebrink,564,-0.5,0.13
Roy Oswalt,571,2.8,3.17
Jeremy Affeldt,583,0.0,0.58
Mike MacDougal,612,0.0,-0.02
Jamey Wright,715,-0.1,0.33
Grant Balfour,718,0.5,0.73
LaTroy Hawkins,729,0.7,-0.03
J.C. Romero,754,0.1,0.35
Scott Downs,773,0.6,0.93
Carl Pavano,790,2.4,4.68
Ted Lilly,833,2.2,3.1
Mariano Rivera,844,2.2,0.5
Tim Hudson,921,2.8,0.5
Barry Zito,944,-0.6,1.34
Brett Myers,962,1.7,2.15
Vicente Padilla,964,0.2,0.5
Randy Wolf,976,2.2,0.6
Bronson Arroyo,978,-1.6,3.35
Joe Beimel,979,-0.5,0.5
Jake Peavy,1051,2.9,1.25
Ryan Franklin,1076,-1.2,0.5
Freddy Garcia,1077,1.7,0.75
Joel Pineiro,1094,0.6,2.33
Rafael Soriano,1100,0.2,0.85
Livan Hernandez,1116,1.5,0.5
Marco Estrada,1118,0.6,0.11
Tommy Hunter,1157,0.5,2.21
Francisco Cordero,1243,0.0,0.89
Roy Halladay,1303,8.7,8.3
Brandon Lyon,1312,-0.6,1.05
Andrew Bailey,1368,1.0,0.03
Chad Durbin,1442,-0.2,0.44
Aaron Harang,1451,1.4,0.5
Guillermo Mota,1467,-0.1,0.07
Jon Rauch,1475,-0.6,0.42
John Lackey,1507,0.9,2.69
Aaron Cook,1571,0.8,0.5
Mark Hendrickson,1574,-0.1,0.5
Cliff Lee,1636,7.1,4.18
Francisco Rodriguez,1642,1.3,0.16
Brian Tallet,1646,-0.6,0.27
Jose Contreras,1660,0.2,0.57
Javier Lopez,1663,0.4,0.47
Wil Ledezma,1669,-0.1,0.07
Trever Miller,1672,-0.3,0.5
Dontrelle Willis,1703,0.8,0.3
Jose Valverde,1726,0.9,0.5
Aaron Heilman,1751,-0.4,0.19
Dan Haren,1757,5.9,3.65
Kevin Correia,1767,0.3,0.3
Chad Gaudin,1783,-0.1,0.16
Kevin Gregg,1793,-0.4,0.2
Michael Gonzalez,1794,0.2,0.41
J.J. Putz,1795,1.4,0.89
Matt Belisle,1837,1.2,1.19
Edwin Jackson,1841,3.4,1.69
John Grabow,1848,-0.6,0.37
Ryan Madson,1852,1.8,0.74
Shawn Camp,1855,0.3,0.64
Michael Wuertz,1856,-0.5,0.7
Jason Frasor,1906,0.1,0.48
Brian Bruney,1929,-0.2,0.45
Frank Francisco,1933,0.4,1.3
Zack Greinke,1943,3.2,6.89
Justin Berg,1973,-0.1,0.65
Tim Byrdak,1995,0.6,-0.03
Clayton Kershaw,2036,7.4,3.54
Justin Masterson,2038,5.1,2.57
Jorge De La Rosa,2047,1.5,2.12
Matt Guerrier,2061,0.8,0.14
Jose Veras,2063,0.7,-0.01
Jeremy Guthrie,2072,1.8,1.89
Heath Bell,2080,0.9,1.4
Alfredo Simon,2155,0.9,-0.14
Chad Qualls,2170,0.0,0.46
Joel Hanrahan,2186,1.9,0.87
Blaine Boyer,2237,-0.3,0.24
Joel Peralta,2332,1.0,0.32
Todd Coffey,2467,0.3,0.23
Enrique Gonzalez,2568,-0.1,0.21
Robinson Tejeda,2575,-0.3,0.9
Wandy Rodriguez,2586,1.5,2.57
Jhoulys Chacin,2608,2.3,2.49
Brian Matusz,2646,-1.1,3.25
Brett Cecil,2660,0.5,2.46
Joba Chamberlain,2692,0.2,1.4
Rick Porcello,2717,2.3,2.09
Brian Sanches,2739,-0.2,0.04
Carlos Marmol,2790,0.6,1.15
Santiago Casilla,2873,0.3,0.62
Juan Oviedo,2886,0.2,0.87
Sean Green,3001,0.0,0.29
Doug Slaten,3107,-0.4,0.01
Luis Mendoza,3126,0.3,0.05
Max Scherzer,3137,2.3,2.24
David Price,3184,4.8,1.34
Ervin Santana,3200,2.5,0.9
Josh Roenicke,3241,0.1,-0.0
Jeff Samardzija,3254,0.6,0.18
Roberto Hernandez,3273,1.5,2.09
Joe Smith,3281,1.3,0.06
Hiroki Kuroda,3283,3.0,3.73
Anibal Sanchez,3284,3.7,3.84
Alberto Castillo,3316,0.0,-0.01
Darren O'Day,3321,-0.5,0.84
Matt Garza,3340,4.7,2.08
Mitchell Boggs,3344,0.4,0.22
Cesar Ramos,3357,-0.1,0.68
Jeff Stevens,3367,-0.2,0.12
Ubaldo Jimenez,3374,3.3,2.09
Ricky Romero,3403,2.6,4.06
Clay Buchholz,3543,0.7,2.89
Clayton Richard,3551,0.6,1.88
C.J. Wilson,3580,5.2,3.54
Kyle Davies,3642,0.6,1.09
Jim Johnson,3656,1.3,0.62
Brandon League,3731,1.4,0.36
Tim Wood,3775,-0.3,-0.21
Mat Latos,3815,4.1,4.55
Zach Duke,3840,0.6,0.25
Gavin Floyd,3886,3.1,2.07
Jason Bulger,3915,-0.4,0.21
Edward Mujica,3970,0.8,0.07
Edinson Volquez,3990,-0.3,2.19
Brian Duensing,4064,1.3,1.61
Pedro Strop,4070,0.5,-0.01
Rafael Perez,4078,0.8,0.15
Dan Runzler,4080,0.2,0.09
Luke Gregerson,4090,0.6,0.6
Carlos Villanueva,4138,1.3,0.2
Jose Mijares,4140,-0.4,0.18
Derek Holland,4141,3.2,0.52
Armando Galarraga,4222,-1.0,2.01
Wilton Lopez,4227,0.5,0.09
Jered Weaver,4235,5.4,2.58
Micah Owings,4253,-0.1,-0.35
David Hernandez,4259,1.1,0.5
Mark Melancon,4264,0.8,0.09
Nick Blackburn,4270,0.2,1.63
Matt Albers,4300,0.1,0.34
Lance Cormier,4346,-0.3,0.19
Brad Mills,4420,-0.1,0.07
Jon Niese,4424,2.8,2.32
Michael Bowden,4440,0.0,0.35
Matt Palmer,4457,0.3,0.29
Randy Wells,4535,-0.2,2.81
Jason Hammel,4538,1.1,1.55
Daniel Herrera,4552,0.0,0.24
Josh Johnson,4567,1.7,2.73
Tony Pena,4573,0.1,-0.2
Matt Lindstrom,4604,0.8,0.21
Joe Thatcher,4620,-0.1,1.0
Charlie Morton,4676,2.0,0.1
Ramon Troncoso,4685,-0.2,0.33
Matt Cain,4732,4.5,2.96
Jonathan Broxton,4759,-0.2,0.08
Felix Hernandez,4772,5.3,8.66
Matt Capps,4788,-0.4,-0.01
Rich Hill,4806,0.2,0.5
Jesse Crain,4817,0.8,-0.09
