Name,playerid,real,pred
Troy Percival,29,-0.3,0.3
Scot Shields,35,-0.1,0.67
Randy Johnson,60,0.3,3.12
Jason Marquis,105,3.2,1.73
Kevin Millwood,106,2.1,3.39
Horacio Ramirez,110,-0.1,0.51
John Smoltz,115,1.3,6.47
Dan Wheeler,120,0.1,0.6
Erik Bedard,126,2.0,2.99
Jorge Julio,148,-0.3,-0.04
Sidney Ponson,161,0.4,0.3
B.J. Ryan,168,-0.6,0.13
Casey Fossum,188,0.0,0.11
Derek Lowe,199,1.9,3.17
Pedro Martinez,200,0.5,0.5
Darren Oliver,206,1.2,-0.31
Mark Buehrle,225,3.0,4.53
Jon Garland,232,1.8,1.99
Bob Howry,237,0.5,-0.03
Damaso Marte,247,-0.1,1.03
Juan Cruz,273,-0.1,0.52
Kyle Farnsworth,278,0.6,0.04
Tom Gordon,282,-0.1,0.4
Ron Mahay,290,-0.4,-0.59
Will Ohman,296,-0.5,0.39
Kerry Wood,304,0.4,0.38
Carlos Zambrano,305,3.8,2.38
Elmer Dessens,317,-0.2,0.5
Chad Paronto,399,-0.2,0.57
David Riske,402,0.0,0.5
CC Sabathia,404,5.8,4.25
Billy Traber,410,-0.2,0.08
Brian Fuentes,429,0.3,0.8
Dennys Reyes,444,0.1,0.45
Justin Speier,451,-0.1,0.2
Fernando Rodney,494,0.3,0.53
Jamie Walker,502,-0.4,0.5
A.J. Burnett,512,2.8,3.8
Ryan Dempster,517,3.6,2.09
Jason Grilli,521,0.4,0.46
Braden Looper,526,-0.5,3.69
Julian Tavarez,541,0.1,0.36
Doug Brocail,551,-0.4,0.5
Octavio Dotel,555,0.7,0.64
Brad Lidge,563,-0.8,0.68
Scott Linebrink,564,0.1,0.45
Roy Oswalt,571,3.5,3.15
Tim Redding,573,0.4,1.15
Billy Wagner,578,0.3,0.99
Jeremy Affeldt,583,0.5,0.32
Mike MacDougal,612,-0.3,0.42
Brian Shouse,630,-0.3,0.52
Luis Vizcaino,714,-0.1,0.35
Jamey Wright,715,-0.4,0.48
LaTroy Hawkins,729,0.5,0.38
Kyle Lohse,739,0.7,2.35
Juan Rincon,752,0.0,0.06
J.C. Romero,754,-0.4,0.39
Johan Santana,755,3.5,4.18
Scott Downs,773,0.8,0.59
Matt Herges,780,0.3,0.44
Javier Vazquez,801,5.8,4.57
Ted Lilly,833,3.7,2.56
Andy Pettitte,840,3.4,2.9
John Bale,864,-0.2,0.12
Tyler Walker,901,0.2,0.27
David Weathers,902,-0.7,0.16
Chad Bradford,904,0.1,1.15
Tim Hudson,921,0.6,1.48
Brett Myers,962,-0.5,0.58
Vicente Padilla,964,1.7,0.81
Carlos Silva,973,-0.1,3.13
Randy Wolf,976,3.0,-0.2
Bronson Arroyo,978,1.4,1.59
Joe Beimel,979,0.3,0.28
Josh Fogg,989,-0.1,0.5
Kip Wells,1012,0.0,0.18
Adam Eaton,1029,-0.2,0.1
Alan Embree,1030,-0.2,0.16
Trevor Hoffman,1035,1.7,0.5
Jake Peavy,1051,2.7,2.76
Brett Tomko,1056,0.0,0.99
Gil Meche,1089,1.0,4.2
Jamie Moyer,1091,0.5,0.5
Joel Pineiro,1094,4.3,0.5
Rafael Soriano,1100,1.7,0.74
Joe Nathan,1122,1.8,0.5
Jason Isringhausen,1158,0.0,0.7
Jesus Colome,1198,0.1,0.12
Bobby Seay,1225,0.8,1.22
Jorge Sosa,1228,-0.3,0.38
Francisco Cordero,1243,1.3,0.94
Doug Davis,1244,1.0,2.24
Chan Ho Park,1267,1.4,0.32
Chris Carpenter,1292,5.1,0.0
Scott Eyre,1300,-0.1,0.1
Roy Halladay,1303,7.0,5.69
Brandon Lyon,1312,0.8,0.58
Justin Miller,1313,-0.4,0.5
Chad Durbin,1442,-0.4,0.9
Randy Flores,1446,0.1,0.28
Aaron Harang,1451,2.2,2.79
Guillermo Mota,1467,0.1,0.29
Jon Rauch,1475,0.6,0.35
John Lackey,1507,3.2,2.56
Oliver Perez,1514,-0.6,2.53
Tyler Yates,1527,-0.2,0.22
Aaron Cook,1571,1.4,2.57
Mark Hendrickson,1574,0.3,1.79
Clay Condrey,1579,0.1,0.55
Pedro Feliciano,1601,0.6,0.19
Nate Robertson,1620,0.5,1.49
Cliff Lee,1636,6.4,4.52
Francisco Rodriguez,1642,0.7,1.16
Brian Tallet,1646,1.5,0.37
Luis Ayala,1650,-0.1,0.45
Russ Springer,1652,0.4,0.56
Seth McClung,1657,-0.9,1.18
Jose Contreras,1660,2.1,0.52
Javier Lopez,1663,-0.2,0.24
Jeremy Bonderman,1667,-0.4,1.43
Wil Ledezma,1669,0.0,-0.05
Trever Miller,1672,0.5,0.41
Kiko Calero,1676,1.5,0.34
Brandon Webb,1692,-0.2,4.27
Claudio Vargas,1695,0.3,0.43
Dontrelle Willis,1703,-0.1,1.2
Todd Wellemeyer,1709,-0.1,2.59
Jose Valverde,1726,0.8,0.98
Edgar Gonzalez,1727,0.4,0.12
Aaron Heilman,1751,0.3,0.08
Dan Haren,1757,5.3,5.58
Kevin Correia,1767,3.1,0.5
Rich Harden,1772,1.9,3.38
Chad Gaudin,1783,1.9,1.61
Jimmy Gobble,1791,-0.2,0.52
Kevin Gregg,1793,-0.3,0.83
Michael Gonzalez,1794,0.8,0.23
J.J. Putz,1795,0.2,0.36
Neal Cotts,1797,-0.4,0.08
Geoff Geary,1813,-0.4,0.44
Matt Belisle,1837,0.0,1.4
Vinnie Chulk,1838,-0.1,0.11
Edwin Jackson,1841,3.7,1.63
Chris Bootcheck,1842,0.1,-0.02
John Grabow,1848,0.3,0.46
Ryan Madson,1852,1.2,0.61
Shawn Camp,1855,0.5,0.64
Michael Wuertz,1856,2.3,0.45
Shawn Hill,1882,0.1,0.5
Lenny DiNardo,1894,-0.1,0.07
Greg Aquino,1899,-0.2,0.24
David Aardsma,1902,2.1,0.25
Jeff Bennett,1903,-0.5,-0.02
Jason Frasor,1906,1.4,0.53
Matt Thornton,1918,2.3,0.92
Brian Bruney,1929,0.0,0.07
Daniel Cabrera,1931,-0.3,0.5
Frank Francisco,1933,1.1,1.67
Zack Greinke,1943,8.6,3.69
Denny Bautista,1947,0.2,0.21
Tim Byrdak,1995,-0.5,0.43
Buddy Carlyle,2010,-0.5,0.13
Saul Rivera,2027,-0.5,0.32
Clayton Kershaw,2036,4.1,1.75
Jorge De La Rosa,2047,3.3,2.25
Matt Guerrier,2061,0.1,0.46
Jose Veras,2063,-0.3,0.09
Jeremy Guthrie,2072,1.3,2.7
Chien-Ming Wang,2074,0.1,1.94
Heath Bell,2080,2.2,0.8
Fernando Cabrera,2105,0.1,0.04
Angel Guzman,2145,0.1,0.35
Sean Henn,2147,-0.2,0.34
Chad Qualls,2170,0.9,0.98
Dennis Sarfate,2174,0.0,0.19
Renyel Pinto,2180,0.1,-0.08
Joel Hanrahan,2186,1.1,0.77
Ian Snell,2227,1.1,2.67
Adam Wainwright,2233,5.2,4.43
Blaine Boyer,2237,0.3,0.2
Joel Peralta,2332,0.0,-0.11
Todd Coffey,2467,0.8,0.32
Enrique Gonzalez,2568,-0.1,0.22
Robinson Tejeda,2575,1.2,0.24
Wandy Rodriguez,2586,4.2,2.06
Chris Sampson,2651,0.7,-0.11
