Name,playerid,real,pred
Xavier Cedeno,36,0.0,0.24
Zach Phillips,99,-0.1,0.11
Rafael Betancourt,177,0.5,0.7
Darren Oliver,206,0.1,-0.1
Mark Buehrle,225,2.2,2.69
Kyle Farnsworth,278,-0.1,0.8
CC Sabathia,404,2.1,4.77
Jake Westbrook,412,-0.1,2.29
Josh Beckett,510,0.1,2.74
Ryan Dempster,517,0.4,1.91
Octavio Dotel,555,0.0,0.9
Jeremy Affeldt,583,-0.5,0.89
Jeremy Horst,596,-0.2,0.1
Jamey Wright,715,0.5,0.41
Grant Balfour,718,0.6,0.5
LaTroy Hawkins,729,1.2,0.2
Kyle Lohse,739,1.7,3.49
Scott Downs,773,0.5,0.44
Randy Choate,813,0.5,0.03
Tim Hudson,921,1.6,1.8
Barry Zito,944,-0.7,0.5
Brett Myers,962,-0.6,1.5
Jake Peavy,1051,2.0,2.28
Rafael Soriano,1100,0.5,0.26
R.A. Dickey,1245,1.9,3.26
Roy Halladay,1303,-0.7,1.99
Brandon Lyon,1312,0.0,0.14
Pedro Beato,1330,0.0,0.24
Nick Hagadone,1351,-0.2,0.39
Andrew Bailey,1368,-0.2,0.94
Charlie Furbush,1370,1.1,0.26
Joaquin Benoit,1437,1.4,0.4
Aaron Harang,1451,0.4,1.96
Jon Rauch,1475,0.2,0.17
Felix Doubront,1478,2.2,0.5
Sandy Rosario,1525,0.0,0.2
Sean Doolittle,1581,1.6,1.35
Cliff Lee,1636,5.5,5.68
Francisco Rodriguez,1642,0.3,0.91
Jose Contreras,1660,-0.2,-0.1
Javier Lopez,1663,0.7,0.22
Chris Capuano,1701,1.4,1.63
Jose Valverde,1726,-0.6,1.13
Dan Haren,1757,1.5,3.78
Chad Gaudin,1783,1.0,0.4
Kevin Gregg,1793,0.0,0.5
Michael Gonzalez,1794,-0.6,0.67
J.J. Putz,1795,0.1,0.36
Matt Belisle,1837,1.3,1.46
Edwin Jackson,1841,2.2,2.49
Shawn Camp,1855,-0.8,0.41
Sean Burnett,1886,-0.1,0.3
Matt Moore,1890,1.7,0.72
Jason Frasor,1906,0.7,0.3
Matt Thornton,1918,0.1,0.42
Frank Francisco,1933,0.1,0.14
Mike Adams,1937,-0.4,0.71
Justin Germano,1938,0.0,0.5
Zack Greinke,1943,3.5,3.76
Raul Valdes,1953,0.0,0.83
Ivan Nova,1994,2.1,1.5
Tim Byrdak,1995,-0.2,0.5
Clayton Kershaw,2036,7.3,6.06
Justin Masterson,2038,3.7,3.34
Jorge De La Rosa,2047,2.8,0.5
Matt Guerrier,2061,0.2,0.7
Jose Veras,2063,0.7,0.34
Jeremy Guthrie,2072,0.7,3.21
Heath Bell,2080,-0.1,0.28
Chris Narveson,2141,0.0,0.56
Alfredo Simon,2155,0.1,0.38
Chad Qualls,2170,0.5,0.37
Joel Hanrahan,2186,-0.7,0.58
Brandon Gomes,2267,0.1,0.05
Joel Peralta,2332,0.4,0.73
Anthony Varvaro,2385,0.2,0.17
Barry Enright,2412,-0.3,0.53
Corey Kluber,2429,2.9,0.46
Lance Lynn,2520,3.3,3.41
Joe Paterson,2565,0.0,0.29
Scott Atchison,2642,0.1,0.5
Brian Matusz,2646,1.0,0.5
Brett Cecil,2660,0.9,0.5
Joba Chamberlain,2692,-0.7,0.33
Rick Porcello,2717,2.9,2.76
Carlos Marmol,2790,-0.6,0.56
Joe Savery,2835,0.0,0.59
Ross Detwiler,2859,1.0,1.65
Santiago Casilla,2873,-0.2,0.45
Zach McAllister,2895,1.6,0.92
Jeff Locke,2929,1.1,0.5
Eduardo Sanchez,2966,-0.1,0.57
Kenley Jansen,3096,2.5,0.7
Duane Below,3124,0.0,0.09
Luis Mendoza,3126,0.2,1.39
Tony Watson,3132,0.6,0.35
Max Scherzer,3137,5.9,4.01
Tim Collins,3164,0.7,1.13
Clayton Mortensen,3166,-0.2,0.03
David Price,3184,3.9,2.78
Ervin Santana,3200,2.6,1.04
Francisco Liriano,3201,3.1,1.62
Josh Stinson,3219,-0.1,0.35
Josh Roenicke,3241,0.0,0.2
Jeff Samardzija,3254,3.0,2.38
Jordan Walden,3271,0.8,0.66
