Name,playerid,real,pred
Miguel Batista,46,-0.4,-0.1
Dan Wheeler,120,-0.3,-0.06
Rafael Betancourt,177,1.4,2.19
Darren Oliver,206,1.1,1.2
Mark Buehrle,225,1.6,2.47
Daniel McCutchen,263,0.0,0.01
Juan Cruz,273,0.0,0.22
Kyle Farnsworth,278,0.2,0.5
Will Ohman,296,-0.4,-0.06
Kerry Wood,304,-0.3,0.31
CC Sabathia,404,4.0,5.46
Brian Fuentes,429,-0.5,0.5
Fernando Rodney,494,2.2,0.05
Josh Beckett,510,2.0,1.71
A.J. Burnett,512,3.5,1.79
Ryan Dempster,517,2.7,2.49
Brad Penny,535,-0.4,0.5
Octavio Dotel,555,1.6,0.32
Brad Lidge,563,-0.2,-0.04
Roy Oswalt,571,0.7,2.75
Jeremy Affeldt,583,0.8,0.05
Mike MacDougal,612,0.0,-0.04
Jamey Wright,715,0.6,0.09
Grant Balfour,718,1.6,0.97
LaTroy Hawkins,729,-0.1,0.2
Kyle Lohse,739,3.3,0.5
Bruce Chen,769,1.7,1.96
Scott Downs,773,0.2,0.26
Carl Pavano,790,0.8,1.99
Randy Choate,813,0.5,0.14
Mariano Rivera,844,0.4,0.39
Sam Demel,868,0.0,0.08
Scott Maine,885,0.0,0.45
Tim Hudson,921,1.6,1.1
Barry Zito,944,1.0,0.5
Brett Myers,962,0.1,1.18
Vicente Padilla,964,0.2,0.09
Randy Wolf,976,0.6,2.79
Jake Peavy,1051,4.4,2.89
Freddy Garcia,1077,0.5,1.63
Rafael Soriano,1100,1.0,0.29
Livan Hernandez,1116,-0.9,1.79
Marco Estrada,1118,2.9,0.81
Francisco Cordero,1243,-0.8,0.5
Chris Carpenter,1292,0.2,3.29
Roy Halladay,1303,2.5,5.87
Brandon Lyon,1312,0.8,0.77
Andrew Bailey,1368,0.0,1.3
Chad Durbin,1442,-0.7,0.33
Aaron Harang,1451,2.3,0.5
Guillermo Mota,1467,-0.1,0.76
Jon Rauch,1475,0.3,0.05
Felix Doubront,1478,1.2,0.5
Sandy Rosario,1525,0.1,-0.04
Aaron Cook,1571,-0.4,0.4
Cliff Lee,1636,4.9,6.19
Francisco Rodriguez,1642,0.2,1.36
Jose Contreras,1660,0.3,0.29
Javier Lopez,1663,0.5,-0.02
Jose Valverde,1726,0.9,0.67
Dan Haren,1757,1.8,5.9
Chad Gaudin,1783,0.2,-0.1
Kevin Gregg,1793,-0.2,0.84
Michael Gonzalez,1794,0.6,0.14
J.J. Putz,1795,1.4,1.24
Matt Belisle,1837,1.8,0.36
Edwin Jackson,1841,2.1,3.68
Shawn Camp,1855,0.4,0.4
Sean Burnett,1886,0.9,0.45
Jason Frasor,1906,0.2,1.69
Brian Bruney,1929,0.0,0.12
Frank Francisco,1933,0.2,0.65
Mike Adams,1937,0.7,1.49
Zack Greinke,1943,4.8,3.37
Raul Valdes,1953,0.7,-0.01
Ivan Nova,1994,1.1,2.3
Tim Byrdak,1995,0.1,0.5
Clayton Kershaw,2036,6.2,3.86
Justin Masterson,2038,2.8,3.13
Jorge De La Rosa,2047,-0.3,1.73
Matt Guerrier,2061,-0.4,0.28
Jose Veras,2063,0.3,0.63
Jeremy Guthrie,2072,0.9,1.86
Heath Bell,2080,0.4,0.7
Chris Narveson,2141,-0.1,2.34
Alfredo Simon,2155,0.5,0.5
Chad Qualls,2170,-0.4,0.07
Joel Hanrahan,2186,-0.3,1.27
Joel Peralta,2332,0.9,0.62
Anthony Varvaro,2385,0.0,-0.01
Barry Enright,2412,-0.1,0.5
Todd Coffey,2467,0.1,0.16
Wandy Rodriguez,2586,2.8,2.53
Jhoulys Chacin,2608,0.4,3.0
Brett Cecil,2660,0.1,1.3
Joba Chamberlain,2692,0.1,0.35
Rick Porcello,2717,3.0,4.19
Brian Sanches,2739,-0.4,0.17
Carlos Marmol,2790,0.1,1.04
Ross Detwiler,2859,1.5,0.6
Santiago Casilla,2873,-0.5,-0.16
Kenley Jansen,3096,2.2,0.3
Doug Slaten,3107,-0.1,0.42
Max Scherzer,3137,4.5,1.33
Clayton Mortensen,3166,-0.3,0.49
David Price,3184,4.3,3.6
Ervin Santana,3200,-0.8,3.05
Francisco Liriano,3201,1.5,0.2
Josh Roenicke,3241,-0.1,0.13
Jeff Samardzija,3254,2.7,0.24
Jordan Walden,3271,0.5,0.91
Roberto Hernandez,3273,-0.3,0.94
Joe Smith,3281,0.8,0.52
Hiroki Kuroda,3283,3.3,2.9
Anibal Sanchez,3284,3.5,2.64
Darren O'Day,3321,1.5,0.5
Matt Garza,3340,0.9,4.49
Mitchell Boggs,3344,0.6,0.29
Cesar Ramos,3357,0.2,0.28
