Name,playerid,real,pred
Ramon Ortiz,27,0.1,0.5
Scott Schoeneweis,33,-0.4,0.12
Scot Shields,35,0.8,1.64
Jarrod Washburn,40,2.0,1.7
Matt Wise,42,0.6,0.04
Miguel Batista,46,2.2,2.29
Byung-Hyun Kim,61,-0.2,3.68
Mike Koplove,63,0.0,-0.05
Mike Myers,68,-0.2,0.74
John Patterson,71,-0.3,1.78
Curt Schilling,73,2.3,3.21
Tom Glavine,90,1.5,1.8
Greg Maddux,104,3.9,1.4
Kevin Millwood,106,2.1,1.83
Horacio Ramirez,110,0.0,0.58
John Smoltz,115,5.5,3.47
Dan Wheeler,120,0.8,0.5
Erik Bedard,126,5.0,5.68
Jorge Julio,148,0.0,0.24
Rodrigo Lopez,150,0.9,3.67
Sidney Ponson,161,-0.2,0.5
B.J. Ryan,168,-0.1,2.59
Rafael Betancourt,177,3.3,0.33
Casey Fossum,188,-0.3,1.2
Derek Lowe,199,3.1,3.6
Mark Buehrle,225,3.3,3.62
Jon Garland,232,3.5,9.11
Bob Howry,237,1.7,0.74
Damaso Marte,247,1.0,0.56
Joe Borowski,267,0.6,0.13
Juan Cruz,273,0.6,0.65
Kyle Farnsworth,278,-0.2,0.64
Tom Gordon,282,-0.2,1.3
Jon Lieber,287,1.4,3.54
Ron Mahay,290,0.5,-0.42
Will Ohman,296,0.5,0.62
Kerry Wood,304,0.4,0.9
Carlos Zambrano,305,2.8,3.77
Jim Brower,313,0.0,0.3
Elmer Dessens,317,0.0,0.25
Chris Reitsma,348,-0.1,0.5
Scott Williamson,361,0.2,0.15
Danys Baez,367,-0.9,0.24
David Riske,402,0.1,0.26
CC Sabathia,404,6.4,3.84
Jake Westbrook,412,1.7,4.35
Bob Wickman,413,0.3,0.37
Jaret Wright,415,0.0,2.49
Brian Fuentes,429,0.9,0.05
Jason Jennings,434,0.4,3.64
Todd Jones,436,0.7,0.5
Dennys Reyes,444,-0.1,-0.19
Victor Santos,446,-0.8,2.69
Justin Speier,451,0.5,0.04
John Thomson,453,0.2,0.46
Brian Moehler,480,0.0,0.1
Mark Redman,491,0.3,2.99
Fernando Rodney,494,0.6,0.29
Jamie Walker,502,0.8,0.3
Jeff Weaver,503,0.9,0.37
Josh Beckett,510,5.7,1.3
A.J. Burnett,512,2.3,3.35
Ryan Dempster,517,0.2,0.3
Jason Grilli,521,0.6,0.19
Brad Penny,535,4.4,4.33
Julian Tavarez,541,0.8,0.72
Doug Brocail,551,0.0,0.57
Octavio Dotel,555,0.3,0.08
Brad Lidge,563,0.8,1.1
Scott Linebrink,564,-0.5,0.5
Roy Oswalt,571,4.9,4.6
Billy Wagner,578,1.6,2.44
Jeremy Affeldt,583,0.4,0.04
Paul Byrd,594,1.8,0.3
Nate Field,599,0.0,0.27
