Name,playerid,real,pred
Scot Shields,35,-0.5,0.5
Jason Marquis,105,-0.5,1.68
Kevin Millwood,106,1.1,0.5
Dan Wheeler,120,0.1,0.23
Rafael Betancourt,177,1.8,0.5
Derek Lowe,199,1.8,2.07
Darren Oliver,206,1.5,0.65
Mark Buehrle,225,4.0,1.6
Jon Garland,232,1.0,1.16
Damaso Marte,247,-0.1,0.21
Juan Cruz,273,0.1,0.28
Kyle Farnsworth,278,0.8,0.13
Ron Mahay,290,0.0,0.13
Will Ohman,296,0.2,0.49
Kerry Wood,304,0.2,0.63
Carlos Zambrano,305,1.9,3.09
Elmer Dessens,317,-0.3,0.12
David Riske,402,0.0,0.24
CC Sabathia,404,5.5,3.59
Brian Fuentes,429,0.2,0.51
Dennys Reyes,444,-0.2,0.21
Fernando Rodney,494,0.2,0.58
Josh Beckett,510,1.0,2.03
A.J. Burnett,512,1.4,3.39
Brad Penny,535,0.9,1.99
Octavio Dotel,555,0.2,0.45
Brad Lidge,563,0.4,0.25
Scott Linebrink,564,-0.1,0.09
Roy Oswalt,571,4.4,4.71
Billy Wagner,578,1.9,-0.07
Jeremy Affeldt,583,0.1,0.44
Mike MacDougal,612,-0.1,0.14
Jamey Wright,715,0.1,0.14
LaTroy Hawkins,729,-0.1,0.63
Kyle Lohse,739,0.5,2.73
Juan Rincon,752,0.0,-0.13
Johan Santana,755,3.7,1.91
Scott Downs,773,1.1,0.7
Javier Vazquez,801,0.1,3.86
Ted Lilly,833,2.5,1.67
Andy Pettitte,840,2.7,3.06
Tyler Walker,901,0.2,-0.09
Tim Hudson,921,1.7,1.1
Barry Zito,944,1.8,2.32
Brett Myers,962,3.8,0.5
Carlos Silva,973,1.7,0.5
Randy Wolf,976,0.7,2.89
Bronson Arroyo,978,1.2,0.58
Joe Beimel,979,0.0,0.41
Trevor Hoffman,1035,-0.6,0.0
Ryan Franklin,1076,0.2,0.67
Freddy Garcia,1077,1.5,2.49
Gil Meche,1089,-0.3,2.19
Jamie Moyer,1091,0.3,0.5
Joel Pineiro,1094,2.1,3.74
Rafael Soriano,1100,1.9,0.65
Livan Hernandez,1116,2.5,1.99
Marco Estrada,1118,-0.2,-0.06
Tommy Hunter,1157,1.0,0.5
Jesus Colome,1198,0.1,0.4
Jorge Sosa,1228,-0.2,0.6
Francisco Cordero,1243,0.3,0.3
Doug Davis,1244,-0.1,0.5
Chan Ho Park,1267,0.0,0.5
Roy Halladay,1303,6.2,6.63
Brandon Lyon,1312,1.1,-0.05
Brendan Donnelly,1441,-0.7,0.5
Chad Durbin,1442,0.2,0.09
Randy Flores,1446,-0.6,0.5
Aaron Harang,1451,0.7,1.38
Guillermo Mota,1467,0.2,0.2
Jon Rauch,1475,1.3,0.62
John Lackey,1507,3.4,4.38
Oliver Perez,1514,-1.1,1.89
Aaron Cook,1571,1.1,2.71
Mark Hendrickson,1574,0.3,0.59
Pedro Feliciano,1601,0.8,0.03
Nate Robertson,1620,0.5,0.49
Cliff Lee,1636,7.4,2.99
Francisco Rodriguez,1642,1.5,0.32
Russ Springer,1652,0.0,0.39
Jose Contreras,1660,0.7,0.5
Javier Lopez,1663,0.5,0.29
Wil Ledezma,1669,0.2,0.08
Trever Miller,1672,0.1,0.73
Claudio Vargas,1695,-0.1,0.17
Todd Wellemeyer,1709,-0.8,0.5
Jose Valverde,1726,0.6,1.49
Aaron Heilman,1751,-0.1,0.83
Dan Haren,1757,3.6,4.02
Kevin Correia,1767,0.1,3.1
Rich Harden,1772,-0.6,1.45
Chad Gaudin,1783,-1.0,1.59
Kevin Gregg,1793,0.8,0.08
Michael Gonzalez,1794,0.7,0.55
Matt Belisle,1837,2.0,0.32
Edwin Jackson,1841,3.2,2.8
John Grabow,1848,-0.4,0.44
Ryan Madson,1852,1.2,2.07
Shawn Camp,1855,0.2,0.87
Michael Wuertz,1856,-0.1,0.61
David Aardsma,1902,0.3,0.81
Jason Frasor,1906,0.9,0.76
Matt Thornton,1918,2.2,0.5
Brian Bruney,1929,-0.2,0.42
Frank Francisco,1933,1.1,1.46
Zack Greinke,1943,4.9,5.39
Denny Bautista,1947,-0.1,0.35
Tim Byrdak,1995,-0.2,0.2
Saul Rivera,2027,-0.2,0.42
Clayton Kershaw,2036,4.5,1.8
Justin Masterson,2038,2.7,1.27
Jorge De La Rosa,2047,1.4,3.49
Matt Guerrier,2061,0.1,0.05
Jose Veras,2063,0.1,0.6
Jeremy Guthrie,2072,2.4,0.5
Fernando Cabrera,2105,-0.3,0.17
Chad Qualls,2170,0.0,0.55
Renyel Pinto,2180,-0.1,-0.09
Joel Hanrahan,2186,1.3,0.58
Brian Bass,2219,-0.1,0.06
Adam Wainwright,2233,5.0,5.28
Blaine Boyer,2237,-0.1,0.16
Joel Peralta,2332,0.7,0.5
Todd Coffey,2467,-0.1,0.01
Enrique Gonzalez,2568,-0.3,0.58
Robinson Tejeda,2575,0.9,0.9
Wandy Rodriguez,2586,3.5,2.59
Chris Sampson,2651,-0.6,0.84
Joba Chamberlain,2692,1.3,0.42
Rick Porcello,2717,1.9,0.98
Brian Sanches,2739,0.2,0.53
Jack Taschner,2766,-0.2,0.27
Carlos Marmol,2790,2.7,0.97
Manny Corpas,2807,0.4,0.3
Santiago Casilla,2873,0.6,0.35
Juan Oviedo,2886,1.4,0.28
Sean Green,3001,-0.2,0.46
Doug Slaten,3107,0.3,0.05
Luis Mendoza,3126,-0.6,-0.04
Max Scherzer,3137,4.0,1.99
Manny Delcarmen,3180,-0.6,0.5
David Price,3184,4.3,1.59
Josh Roenicke,3241,0.1,0.16
Ryan Rowland-Smith,3245,-1.5,2.45
Jeff Samardzija,3254,-0.5,-0.03
Joe Smith,3281,-0.2,0.09
Hiroki Kuroda,3283,4.2,1.91
Anibal Sanchez,3284,4.2,2.04
Alberto Castillo,3316,-0.4,0.43
Darren O'Day,3321,1.1,0.22
Matt Garza,3340,2.1,1.99
Mitchell Boggs,3344,0.0,0.21
Ubaldo Jimenez,3374,5.9,4.61
Jensen Lewis,3384,0.3,0.13
Jonathan Albaladejo,3521,-0.1,0.21
Charlie Haeger,3545,-0.2,0.5
Clayton Richard,3551,2.2,1.2
C.J. Wilson,3580,4.3,1.07
Kyle Davies,3642,1.7,0.73
Jim Johnson,3656,0.6,0.35
Brandon League,3731,0.4,0.21
Ricky Nolasco,3830,2.2,2.67
Zach Duke,3840,0.2,2.69
Gavin Floyd,3886,4.2,2.61
Jason Bulger,3915,-0.1,0.53
Doug Mathis,3944,-0.5,0.19
Edward Mujica,3970,0.0,0.42
Edinson Volquez,3990,0.7,1.59
Rafael Perez,4078,0.4,0.06
Carlos Villanueva,4138,0.1,0.45
Jose Mijares,4140,0.3,0.43
Armando Galarraga,4222,0.7,0.5
Jered Weaver,4235,5.8,3.78
Micah Owings,4253,-0.1,0.5
Nick Blackburn,4270,0.1,2.0
Manny Parra,4279,-0.1,2.35
Matt Albers,4300,0.1,0.28
Lance Cormier,4346,-0.6,0.17
Joe Saunders,4366,1.2,1.93
Jesse Carlson,4391,-0.3,0.19
Jon Niese,4424,1.9,1.3
Dustin Nippert,4426,-0.2,0.09
Michael Bowden,4440,0.0,0.5
Matt Palmer,4457,0.0,-0.09
Scott Olsen,4529,0.3,0.5
Randy Wells,4535,2.5,2.68
Jason Hammel,4538,3.2,1.63
Chris Smith,4544,0.1,0.45
Daniel Herrera,4552,0.1,0.77
Josh Johnson,4567,6.1,2.63
Tony Pena,4573,0.2,0.09
Matt Lindstrom,4604,0.2,0.34
Joe Thatcher,4620,1.0,0.44
Dave Bush,4635,-0.4,0.9
Jason Bergmann,4640,-0.2,0.09
Charlie Morton,4676,-0.3,0.57
Ramon Troncoso,4685,-0.5,0.4
Joel Zumaya,4699,1.1,0.25
Matt Cain,4732,4.0,2.72
Jonathan Broxton,4759,1.0,1.69
Felix Hernandez,4772,6.8,2.69
John Maine,4773,-0.3,1.66
Jesse Crain,4817,0.7,0.33
Edwar Ramirez,4830,-0.1,0.16
Clay Rapada,4831,-0.3,0.08
Kyle McClellan,4845,-0.2,0.29
Joe Blanton,4849,1.8,3.02
Peter Moylan,4891,-0.5,0.25
