Name,playerid,real,pred
Scot Shields,35,-0.5,0.09
Jason Marquis,105,-0.5,3.74
Kevin Millwood,106,1.1,3.44
Dan Wheeler,120,0.1,0.19
Derek Lowe,199,1.8,2.96
Darren Oliver,206,1.5,0.5
Tim Wakefield,219,1.2,0.5
Mark Buehrle,225,4.0,3.07
Jon Garland,232,1.0,1.12
Bob Howry,237,-0.7,0.22
Damaso Marte,247,-0.1,0.57
Juan Cruz,273,0.1,0.13
Kyle Farnsworth,278,0.8,0.0
Ron Mahay,290,0.0,0.3
Will Ohman,296,0.2,0.75
Kerry Wood,304,0.2,0.5
Carlos Zambrano,305,1.9,5.49
Elmer Dessens,317,-0.3,0.0
David Riske,402,0.0,-0.07
CC Sabathia,404,5.5,4.67
Brian Fuentes,429,0.2,0.62
Dennys Reyes,444,-0.2,0.1
Fernando Rodney,494,0.2,0.79
Josh Beckett,510,1.0,3.79
A.J. Burnett,512,1.4,1.48
Ryan Dempster,517,2.5,1.3
Brad Penny,535,0.9,2.0
Octavio Dotel,555,0.2,0.5
Brad Lidge,563,0.4,0.16
Scott Linebrink,564,-0.1,0.24
Roy Oswalt,571,4.4,3.08
Billy Wagner,578,1.9,0.5
Jeremy Affeldt,583,0.1,0.44
Mike MacDougal,612,-0.1,-0.19
Jeff Suppan,633,-0.2,0.2
Jamey Wright,715,0.1,0.18
Grant Balfour,718,1.2,0.5
LaTroy Hawkins,729,-0.1,0.75
Kyle Lohse,739,0.5,2.18
Juan Rincon,752,0.0,-0.13
J.C. Romero,754,-0.5,0.1
Johan Santana,755,3.7,2.68
Scott Downs,773,1.1,0.7
Carl Pavano,790,2.8,2.19
Javier Vazquez,801,0.1,3.82
Ted Lilly,833,2.5,2.42
Andy Pettitte,840,2.7,1.92
Tyler Walker,901,0.2,-0.1
Tim Hudson,921,1.7,1.8
Barry Zito,944,1.8,2.19
Brett Myers,962,3.8,0.5
Vicente Padilla,964,0.7,1.19
Randy Wolf,976,0.7,3.14
Bronson Arroyo,978,1.2,1.63
Joe Beimel,979,0.0,0.42
Trevor Hoffman,1035,-0.6,0.0
Jake Peavy,1051,1.8,1.9
Ryan Franklin,1076,0.2,0.99
Freddy Garcia,1077,1.5,1.09
Gil Meche,1089,-0.3,1.6
Jamie Moyer,1091,0.3,0.5
Joel Pineiro,1094,2.1,2.31
Rafael Soriano,1100,1.9,0.87
Livan Hernandez,1116,2.5,1.4
Marco Estrada,1118,-0.2,-0.04
Tommy Hunter,1157,1.0,1.33
Jesus Colome,1198,0.1,0.38
Jorge Sosa,1228,-0.2,0.5
Francisco Cordero,1243,0.3,0.5
Doug Davis,1244,-0.1,3.18
Chan Ho Park,1267,0.0,0.5
Chris Carpenter,1292,2.8,1.62
Roy Halladay,1303,6.2,6.41
Brandon Lyon,1312,1.1,0.24
Justin Miller,1313,0.0,0.31
Andrew Bailey,1368,1.1,1.06
Brendan Donnelly,1441,-0.7,0.32
