Name,playerid,real,pred
Jason Marquis,105,-0.2,1.4
Kevin Millwood,106,2.6,0.5
Dan Wheeler,120,-0.3,0.57
Rafael Betancourt,177,1.4,0.42
Derek Lowe,199,1.3,0.5
Darren Oliver,206,1.1,0.86
Mark Buehrle,225,1.6,3.26
Daniel McCutchen,263,0.0,0.22
Juan Cruz,273,0.0,0.05
Kyle Farnsworth,278,0.2,0.5
Will Ohman,296,-0.4,0.19
Kerry Wood,304,-0.3,0.88
Carlos Zambrano,305,0.6,2.02
CC Sabathia,404,4.0,5.34
Brian Fuentes,429,-0.5,0.37
Fernando Rodney,494,2.2,0.4
Josh Beckett,510,2.0,2.12
A.J. Burnett,512,3.5,1.26
Ryan Dempster,517,2.7,7.3
Octavio Dotel,555,1.6,-0.02
Roy Oswalt,571,0.7,2.46
Jeremy Affeldt,583,0.8,0.23
Mike MacDougal,612,0.0,0.5
Jamey Wright,715,0.6,0.09
Grant Balfour,718,1.6,0.5
LaTroy Hawkins,729,-0.1,0.5
J.C. Romero,754,-0.3,0.5
Scott Downs,773,0.2,0.72
Carl Pavano,790,0.8,1.4
Ted Lilly,833,0.8,0.5
Mariano Rivera,844,0.4,0.9
Sam Demel,868,0.0,0.12
Scott Maine,885,0.0,0.18
Tim Hudson,921,1.6,1.63
Barry Zito,944,1.0,0.5
Brett Myers,962,0.1,1.26
Vicente Padilla,964,0.2,0.8
Jake Peavy,1051,4.4,3.41
Freddy Garcia,1077,0.5,2.89
Rafael Soriano,1100,1.0,0.5
Marco Estrada,1118,2.9,0.3
Francisco Cordero,1243,-0.8,0.5
Chris Carpenter,1292,0.2,2.34
Roy Halladay,1303,2.5,5.91
Brandon Lyon,1312,0.8,0.39
Andrew Bailey,1368,0.0,0.61
Chad Durbin,1442,-0.7,0.61
Guillermo Mota,1467,-0.1,0.5
Felix Doubront,1478,1.2,-0.01
Sandy Rosario,1525,0.1,-0.03
Aaron Cook,1571,-0.4,0.5
Cliff Lee,1636,4.9,4.78
Francisco Rodriguez,1642,0.2,0.84
Jose Contreras,1660,0.3,0.7
Javier Lopez,1663,0.5,0.5
Jose Valverde,1726,0.9,0.97
Dan Haren,1757,1.8,4.63
Kevin Correia,1767,0.9,1.1
Chad Gaudin,1783,0.2,0.02
Kevin Gregg,1793,-0.2,0.48
Michael Gonzalez,1794,0.6,0.07
J.J. Putz,1795,1.4,0.72
Matt Belisle,1837,1.8,0.84
Edwin Jackson,1841,2.1,3.35
Shawn Camp,1855,0.4,0.13
Sean Burnett,1886,0.9,-0.0
Jason Frasor,1906,0.2,0.5
Matt Thornton,1918,1.3,1.55
Brian Bruney,1929,0.0,0.15
Frank Francisco,1933,0.2,0.5
Mike Adams,1937,0.7,0.9
Zack Greinke,1943,4.8,3.81
Raul Valdes,1953,0.7,-0.26
