Name,playerid,real,pred
Scott Schoeneweis,33,-0.1,0.23
Scot Shields,35,-0.5,0.26
Jason Marquis,105,-0.5,4.02
Joe Nelson,108,-0.1,0.28
Dan Wheeler,120,0.1,0.39
Derek Lowe,199,1.8,2.73
Tim Wakefield,219,1.2,1.4
Mark Buehrle,225,4.0,2.42
Jon Garland,232,1.0,2.46
Bob Howry,237,-0.7,0.25
Damaso Marte,247,-0.1,-0.2
Juan Cruz,273,0.1,0.34
Kyle Farnsworth,278,0.8,0.1
Ron Mahay,290,0.0,0.5
Will Ohman,296,0.2,0.48
Kerry Wood,304,0.2,1.17
Carlos Zambrano,305,1.9,5.66
Elmer Dessens,317,-0.3,0.0
David Riske,402,0.0,0.5
CC Sabathia,404,5.5,4.98
Brian Fuentes,429,0.2,1.27
Dennys Reyes,444,-0.2,0.26
Fernando Rodney,494,0.2,0.63
Josh Beckett,510,1.0,2.7
A.J. Burnett,512,1.4,3.52
Ryan Dempster,517,2.5,3.39
Octavio Dotel,555,0.2,0.27
Scott Linebrink,564,-0.1,-0.18
Roy Oswalt,571,4.4,3.0
Billy Wagner,578,1.9,0.5
Jeremy Affeldt,583,0.1,0.32
Mike MacDougal,612,-0.1,-0.04
Jamey Wright,715,0.1,0.18
Grant Balfour,718,1.2,0.42
LaTroy Hawkins,729,-0.1,0.5
Kyle Lohse,739,0.5,0.4
Juan Rincon,752,0.0,0.15
J.C. Romero,754,-0.5,0.3
Johan Santana,755,3.7,4.43
Scott Downs,773,1.1,0.48
Carl Pavano,790,2.8,3.26
Javier Vazquez,801,0.1,4.0
Ted Lilly,833,2.5,1.61
Andy Pettitte,840,2.7,3.36
Tyler Walker,901,0.2,0.5
Tim Hudson,921,1.7,0.6
Barry Zito,944,1.8,1.77
Vicente Padilla,964,0.7,1.08
Randy Wolf,976,0.7,3.38
Bronson Arroyo,978,1.2,1.77
Joe Beimel,979,0.0,0.24
Trevor Hoffman,1035,-0.6,0.5
Jake Peavy,1051,1.8,3.93
Ryan Franklin,1076,0.2,0.15
Freddy Garcia,1077,1.5,2.49
Gil Meche,1089,-0.3,1.7
Jamie Moyer,1091,0.3,0.5
Joel Pineiro,1094,2.1,0.5
Arthur Rhodes,1097,0.8,0.42
Rafael Soriano,1100,1.9,1.07
Marco Estrada,1118,-0.2,0.02
Tommy Hunter,1157,1.0,0.8
Jesus Colome,1198,0.1,0.34
Jorge Sosa,1228,-0.2,-0.43
Francisco Cordero,1243,0.3,1.29
Doug Davis,1244,-0.1,2.97
Chan Ho Park,1267,0.0,0.97
Chris Carpenter,1292,2.8,0.7
Roy Halladay,1303,6.2,5.37
Brandon Lyon,1312,1.1,0.52
Justin Miller,1313,0.0,0.2
Brendan Donnelly,1441,-0.7,0.5
Chad Durbin,1442,0.2,0.14
Randy Flores,1446,-0.6,0.41
Aaron Harang,1451,0.7,1.52
Mike Lincoln,1457,0.0,0.1
