Name,playerid,real,pred
Scott Schoeneweis,33,-0.4,0.41
Scot Shields,35,0.6,0.38
Jarrod Washburn,40,1.5,2.03
Matt Wise,42,-0.1,0.78
Miguel Batista,46,-1.3,2.39
Randy Johnson,60,3.6,2.48
Tom Glavine,90,-0.6,2.22
Greg Maddux,104,2.4,1.96
Jason Marquis,105,1.7,0.55
Kevin Millwood,106,3.2,4.87
John Smoltz,115,1.0,4.26
Dan Wheeler,120,0.3,1.16
Erik Bedard,126,1.0,2.65
Jorge Julio,148,0.1,0.11
Rafael Betancourt,177,0.2,0.5
Casey Fossum,188,0.2,0.1
Derek Lowe,199,4.3,3.11
Pedro Martinez,200,0.3,2.48
Mark Buehrle,225,4.3,2.72
Jon Garland,232,1.3,3.97
Bob Howry,237,0.2,0.64
Damaso Marte,247,1.4,0.43
Joe Borowski,267,-0.4,0.98
Juan Cruz,273,0.5,0.5
Kyle Farnsworth,278,-0.7,0.52
Tom Gordon,282,0.0,-0.25
Jon Lieber,287,-0.1,0.5
Ron Mahay,290,0.4,0.93
Kerry Wood,304,2.1,0.0
Carlos Zambrano,305,2.8,5.12
Elmer Dessens,317,-0.2,0.5
Bartolo Colon,375,0.5,0.5
David Riske,402,-0.4,-0.22
CC Sabathia,404,7.4,8.96
Jake Westbrook,412,0.3,1.26
Shawn Chacon,424,-0.1,0.32
Brian Fuentes,429,2.5,1.12
Todd Jones,436,-0.5,1.01
Dennys Reyes,444,0.4,0.27
Justin Speier,451,-0.9,0.41
Mark Redman,491,0.1,0.5
Jamie Walker,502,-1.0,0.66
Josh Beckett,510,4.3,4.45
A.J. Burnett,512,5.0,2.81
Ryan Dempster,517,4.7,0.58
Jason Grilli,521,1.0,0.5
Braden Looper,526,1.4,0.5
Brad Penny,535,0.0,2.5
Doug Brocail,551,0.7,0.33
Octavio Dotel,555,0.7,0.03
Brad Lidge,563,2.2,0.5
Scott Linebrink,564,0.5,0.57
Roy Oswalt,571,3.7,4.64
Billy Wagner,578,1.2,-0.3
Jeremy Affeldt,583,0.4,0.17
Paul Byrd,594,0.7,3.06
Mike MacDougal,612,0.1,0.59
Brian Shouse,630,0.4,0.5
Jeff Suppan,633,0.0,2.0
Eric Gagne,650,-0.9,0.5
Odalis Perez,668,1.4,2.54
Ray King,693,-0.2,0.4
Ben Sheets,710,4.7,3.02
Luis Vizcaino,714,0.0,0.52
Jamey Wright,715,0.6,0.5
Eddie Guardado,727,0.7,0.25
LaTroy Hawkins,729,0.8,0.05
Kyle Lohse,739,2.8,4.7
Juan Rincon,752,-0.4,0.5
J.C. Romero,754,-0.2,0.32
Johan Santana,755,5.3,2.64
