Name,playerid,real,pred
Miguel Batista,46,-0.1,-0.4
Jason Marquis,105,1.0,0.5
Dan Wheeler,120,0.3,0.15
Rodrigo Lopez,150,-0.5,0.1
Rafael Betancourt,177,1.7,-0.46
Tim Wakefield,219,0.1,0.5
Mark Buehrle,225,3.1,3.97
Daniel McCutchen,263,-0.3,0.14
Juan Cruz,273,0.3,0.23
Kyle Farnsworth,278,1.0,0.48
Will Ohman,296,0.1,0.34
Kerry Wood,304,0.4,0.05
Carlos Zambrano,305,0.6,1.89
Danys Baez,367,-0.3,-0.04
CC Sabathia,404,5.8,3.15
Brian Fuentes,429,0.2,0.23
Dennys Reyes,444,-0.1,0.25
Fernando Rodney,494,-0.4,0.51
Josh Beckett,510,3.8,1.26
A.J. Burnett,512,0.6,0.86
Ryan Dempster,517,2.6,1.61
Brad Penny,535,0.3,1.15
Octavio Dotel,555,0.8,0.5
Brad Lidge,563,0.3,0.1
Scott Linebrink,564,-0.5,0.28
Roy Oswalt,571,2.8,5.06
Jeremy Affeldt,583,0.0,0.67
Mike MacDougal,612,0.0,0.42
Nelson Figueroa,683,0.1,0.5
Jamey Wright,715,-0.1,0.14
Grant Balfour,718,0.5,0.35
LaTroy Hawkins,729,0.7,0.5
Bruce Chen,769,1.4,1.3
Scott Downs,773,0.6,0.78
Carl Pavano,790,2.4,1.2
Randy Choate,813,0.0,0.66
Ted Lilly,833,2.2,4.24
Mariano Rivera,844,2.2,0.9
Tim Hudson,921,2.8,1.99
Barry Zito,944,-0.6,1.21
Brett Myers,962,1.7,1.0
Vicente Padilla,964,0.2,1.4
Randy Wolf,976,2.2,0.37
Bronson Arroyo,978,-1.6,2.11
Joe Beimel,979,-0.5,0.24
Jake Peavy,1051,2.9,1.24
Ryan Franklin,1076,-1.2,0.12
Freddy Garcia,1077,1.7,0.28
Joel Pineiro,1094,0.6,4.43
Arthur Rhodes,1097,-0.8,0.5
Rafael Soriano,1100,0.2,0.55
Livan Hernandez,1116,1.5,3.58
Marco Estrada,1118,0.6,0.51
Tommy Hunter,1157,0.5,2.43
Chris Carpenter,1292,4.5,3.53
Roy Halladay,1303,8.7,5.26
Brandon Lyon,1312,-0.6,0.75
Andrew Bailey,1368,1.0,0.01
Chad Durbin,1442,-0.2,-0.31
Guillermo Mota,1467,-0.1,0.45
Jon Rauch,1475,-0.6,0.88
John Lackey,1507,0.9,4.66
Aaron Cook,1571,0.8,0.03
Mark Hendrickson,1574,-0.1,0.57
Cliff Lee,1636,7.1,6.11
Francisco Rodriguez,1642,1.3,1.68
Jose Contreras,1660,0.2,-0.1
Javier Lopez,1663,0.4,-0.06
D.J. Carrasco,1666,-0.4,1.06
Wil Ledezma,1669,-0.1,0.01
Trever Miller,1672,-0.3,0.5
Jose Valverde,1726,0.9,0.95
Aaron Heilman,1751,-0.4,0.4
Dan Haren,1757,5.9,1.97
Kevin Correia,1767,0.3,0.51
Sergio Mitre,1773,-0.2,0.03
Chad Gaudin,1783,-0.1,0.5
Kevin Gregg,1793,-0.4,0.78
Michael Gonzalez,1794,0.2,0.6
J.J. Putz,1795,1.4,0.96
Matt Belisle,1837,1.2,0.19
Edwin Jackson,1841,3.4,4.5
John Grabow,1848,-0.6,0.37
Ryan Madson,1852,1.8,0.87
Shawn Camp,1855,0.3,0.07
Sean Burnett,1886,-0.6,0.38
Jason Frasor,1906,0.1,0.59
Matt Thornton,1918,1.4,0.7
