id,real,pred
18, 0.40, 0.09
36, 0.50, -0.14
225, 2.00, 1.38
375, 2.40, 2.56
404, 1.20, 0.50
494, -0.80, 0.40
512, 2.60, 1.89
521, 1.30, 0.50
583, -0.80, -0.25
718, -0.20, 0.43
729, 0.40, 0.50
739, -0.30, 0.50
813, 0.10, 0.48
921, 0.10, 0.80
1051, 1.20, 1.68
1100, -0.20, 0.56
1118, 1.90, 0.56
1137, -0.10, 0.28
1157, 0.30, 0.67
1247, 0.40, 1.27
1351, 0.20, 0.21
1370, 0.10, 0.73
1437, 0.20, 1.25
1478, 0.50, 0.59
1507, 3.50, 0.50
1514, 0.50, 0.42
1581, 0.30, 1.39
1642, 1.00, 0.35
1663, 0.30, 0.90
1701, -0.10, 0.90
1757, 1.00, 1.20
1767, 0.00, 1.47
1793, -0.20, 0.81
1837, 0.10, 0.06
1841, 0.00, 0.51
1890, 0.30, 1.00
1906, 0.00, 0.50
1918, 0.40, 1.10
1943, 5.40, 3.78
1994, 0.50, 2.09
2036, 8.70, 6.18
2038, -0.10, 1.40
2047, 1.80, 0.75
2155, 1.40, 1.35
2170, 0.40, 0.14
2203, 0.00, 0.64
2233, 0.90, 5.99
2267, -0.40, 0.01
2385, 0.10, 0.25
2391, 1.60, 0.72
2413, 0.10, 0.44
2429, 5.50, 3.49
2520, 3.00, 2.11
2540, -0.30, 0.03
2642, -0.50, 0.50
2646, 0.50, -0.04
2660, 1.30, 1.03
2692, -0.30, 0.57
2717, 1.70, 4.62
2859, -0.90, 0.11
2873, 0.20, -0.08
2882, 0.30, -0.12
2895, 0.90, 3.32
2929, 1.30, 1.00
3096, 1.60, 1.88
3132, 1.30, 0.91
3137, 6.40, 3.64
3184, 6.70, 3.69
3192, 0.40, 0.44
3200, 1.50, 2.94
3201, 3.30, 1.85
3220, -0.50, 0.05
3237, -0.10, 0.05
3240, 2.10, 0.86
3254, 2.30, 4.23
3271, 0.40, 0.53
3281, 0.90, 0.11
3284, 1.30, 3.63
3292, -0.30, 0.16
3299, 0.40, 0.11
3321, 1.80, 0.35
3340, 0.40, 1.42
3357, 0.60, -0.00
3374, 2.60, 0.40
3542, 1.20, 2.38
3543, 3.30, 3.54
3548, 1.50, 0.57
3580, 1.50, 0.74
3656, 0.30, 0.22
3762, 0.20, 0.08
3815, 1.60, 2.65
3830, 0.80, 1.59
3840, -0.50, 1.19
3855, 0.20, 2.19
3862, 0.60, 0.57
3926, 0.80, 0.40
3959, -0.20, 0.69
3970, -0.50, 0.46
3990, 2.70, 0.50
3993, -0.80, 0.50
4020, -0.10, 0.68
4026, 0.60, 1.11
4064, -0.40, 0.23
4070, 1.00, 0.90
4079, 1.10, 0.64
4089, 0.10, 0.10
4090, 1.10, 0.50
4138, 0.20, 0.55
4141, -0.10, 1.67
4153, 7.00, 3.78
4235, 0.80, 1.65
4257, -0.20, 0.10
4279, 0.40, 0.20
4300, 0.30, 0.23
4301, 1.50, 1.02
4359, 0.00, -0.02
4363, -0.60, 0.50
4371, 1.00, 1.20
4424, 0.60, 2.35
4505, 3.00, 4.73
4620, 0.20, 0.15
4662, -0.30, 3.32
4664, 0.00, 0.18
4676, 0.70, 1.35
4684, -0.10, 0.42
