Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0,1.0,2.8,2.2
Larry Gura,1005150,-0.2,0.7,1.1,1.8,0.0,1.1,3.1,1.3,4.1,2.7,1.9,0.1
Jim Brewer,1001406,0.3,-0.5,1.1,0.2,0.8,0.2,0.8,0.7,1.1,0.6,0.1,0.1
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4,1.2,1.4,0.2,0.8
Jason Grilli,521,-0.2,0.0,0.6,1.0,0.4,0.5,1.3,1.5,0.3,1.3,0.0,-0.6
Jason Hammel,4538,0.3,0.3,-0.2,3.5,3.2,1.1,2.6,0.6,1.8,2.3,1.3,2.4
Randy Myers,1009427,1.5,1.7,1.6,2.0,1.3,0.3,1.6,0.5,0.4,1.3,2.0,0.1
John Lackey,1507,1.9,1.8,3.1,5.3,5.3,5.0,1.4,3.2,3.4,0.9,2.4,2.5
Matt Thornton,1918,0.2,-0.9,0.9,0.9,1.8,2.3,2.2,1.4,1.3,0.1,0.6,0.4
Jimmy Key,1006885,-0.4,2.8,3.4,5.6,1.6,4.6,2.4,5.3,2.7,5.2,4.0,0.6
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7,3.2,-0.5,1.0,-0.2
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0,5.8,2.5,3.7,2.7
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2,1.0,-0.7,1.4
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9,7.8,8.0
Don Aase,1000003,2.2,1.6,1.8,1.9,0.7,0.6,0.8,1.5,1.9,-0.4,-0.3,-0.4
Jim Bunning,1001653,6.9,6.3,4.6,2.7,5.6,7.3,6.8,6.8,0.6,3.8,4.1,0.6
Mark Gardner,1004529,2.3,0.8,1.9,-0.1,0.4,0.4,1.4,1.4,2.0,-0.2,2.0,-0.3
Sonny Siebert,1011951,2.6,5.4,3.4,2.3,2.7,2.1,3.3,4.4,2.7,1.7,1.6,1.0
Jarrod Washburn,40,0.6,1.0,0.3,2.5,4.2,1.6,1.7,2.0,1.9,2.0,1.5,2.3
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1,1.6,2.6,1.4,0.2,0.7,0.2,0.8
Mike Hampton,430,-0.1,2.3,2.4,3.1,2.3,4.9,4.6,1.9,0.3,2.6,1.9,1.0
Armando Benitez,865,-0.3,1.7,0.4,3.1,1.5,0.3,1.0,0.9,1.6,-0.2,-0.3,-0.1
Steve Trachsel,898,1.5,0.7,1.6,1.7,1.8,2.5,2.4,2.0,2.1,1.8,1.5,0.1
Don McMahon,1008629,-0.7,0.2,0.9,-0.5,0.8,0.1,0.1,0.3,0.8,0.9,0.2,-0.2
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6,1.3,2.0,1.8,-0.6
Mike Timlin,1187,1.5,0.7,0.2,0.2,1.3,1.4,0.6,1.8,0.3,0.1,0.7,-0.3
Ryan Madson,1852,1.3,0.8,0.9,0.4,1.2,1.2,1.2,1.8,0.9,0.4,1.9,0.2
Dave Stieb,1012532,1.6,4.3,2.9,4.8,5.1,5.6,4.5,0.8,2.5,3.1,2.7,4.3
Rick Aguilera,1000086,2.0,1.6,1.6,3.6,1.3,1.5,0.8,1.0,0.8,1.3,1.5,0.8
Dick Ruthven,1011330,1.4,3.4,0.4,3.9,2.1,3.4,1.6,3.2,1.6,2.2,2.3,0.7
Scott Downs,773,1.0,0.4,1.0,0.5,1.1,1.0,0.8,1.1,0.6,0.2,0.5,-0.1
Trevor Hoffman,1035,0.4,1.6,0.1,2.9,2.3,3.1,2.2,2.6,0.3,2.0,1.8,1.7
Wilson Alvarez,1193,-0.2,-0.6,2.7,2.8,1.5,4.2,3.8,1.3,1.8,0.0,2.5,2.2
Gene Garber,1004493,1.0,-0.1,0.4,1.8,2.3,1.2,1.1,0.9,0.7,2.2,-0.1,0.9
Bruce Hurst,1006222,0.0,0.4,2.6,1.8,3.3,4.2,3.5,3.8,5.2,4.0,3.9,2.7
Scott Feldman,6283,0.3,-0.4,0.6,2.9,1.2,0.2,2.3,2.2,1.2,0.8,0.2,0.9
Larry Dierker,1003288,1.8,2.4,2.1,1.9,7.3,3.6,3.3,3.3,2.9,0.9,2.3,-0.5
Dave Righetti,1010958,3.5,2.9,5.4,2.6,2.7,3.0,1.2,1.4,1.2,-0.4,0.6,0.3
Bob Stanley,1012409,1.7,2.3,4.0,2.5,0.3,2.0,2.3,1.1,0.7,0.8,1.9,0.8
Ray Burris,1001729,1.4,0.3,2.4,2.8,2.1,1.8,0.1,0.6,1.2,-0.5,1.5,1.9
Mike Moore,1009122,0.4,2.4,4.2,5.9,3.7,3.1,4.6,4.4,1.3,3.4,1.4,0.3
Bob Walk,1013507,2.0,-0.3,0.8,1.3,0.2,1.1,3.2,1.5,0.8,1.1,0.6,0.4
Brett Tomko,1056,1.5,3.6,1.4,0.5,-0.5,1.3,1.0,2.7,2.3,1.0,1.2,0.5
Jack Billingham,1000970,0.3,-0.2,3.7,4.1,2.5,3.7,3.0,0.5,0.7,1.0,2.0,1.7
Bill Campbell,1001874,0.6,2.2,0.7,1.7,1.7,1.8,0.2,0.2,0.2,0.9,2.0,0.6
Joaquin Benoit,1437,0.7,-0.1,1.0,1.5,1.2,1.8,-0.2,1.7,1.2,0.1,1.4,1.2
Ramon Martinez,1008193,0.4,0.8,4.9,2.9,1.1,1.9,1.9,2.2,2.0,1.3,1.9,0.9
Bob Welch,1013750,2.4,1.0,2.9,1.9,3.3,3.7,2.8,2.1,5.4,4.5,3.0,3.0
Bob Wickman,413,0.7,0.9,1.6,0.8,0.6,1.1,1.0,0.8,1.8,2.0,0.7,-0.3
Norm Charlton,1002160,0.6,1.4,2.4,1.9,1.5,0.8,1.5,1.2,-0.2,0.0,0.3,0.9
Josh Beckett,510,1.9,4.0,3.3,4.2,1.0,5.7,4.3,4.3,1.0,3.8,2.0,0.1
Arthur Rhodes,1097,0.1,2.0,-0.4,0.5,0.2,1.0,1.9,1.0,-0.4,1.6,2.5,2.9
Mark Langston,1007323,4.4,-0.7,4.1,6.4,4.0,4.8,4.6,3.0,5.4,5.6,1.6,4.1
Gene Nelson,1009501,-0.3,0.9,-0.4,0.6,0.0,1.4,1.8,0.5,1.0,0.6,-1.6,-0.1
Darold Knowles,1007058,0.9,0.6,0.9,0.2,0.8,0.6,0.0,-0.2,-1.1,1.7,0.4,-0.2
Chris Short,1011931,0.4,0.7,1.1,3.4,5.6,6.5,3.3,3.4,2.1,3.9,0.6,0.2
Bobby Witt,1014170,0.8,1.7,2.4,2.5,5.0,0.9,1.3,3.2,0.9,3.6,2.5,1.5
Dave McNally,1008655,1.2,1.4,2.3,3.0,0.7,4.5,4.7,4.9,1.8,3.0,3.2,2.9
Brad Penny,535,1.2,4.6,1.0,3.1,3.0,3.5,3.6,4.4,0.0,1.8,0.9,0.3
David Weathers,902,0.9,1.0,0.4,0.4,1.9,0.1,0.5,1.1,0.5,0.7,-0.3,0.7
Darryl Kile,1163,0.0,0.8,2.4,0.8,1.7,3.7,4.0,3.2,0.9,4.3,4.5,0.8
Ken Holtzman,1005989,3.0,0.2,2.3,5.1,5.8,3.6,2.7,5.0,5.5,3.6,1.7,0.2
Rick Sutcliffe,1012734,2.7,-0.4,-0.3,3.5,3.0,6.0,2.4,1.5,3.4,3.2,3.7,1.3
Todd Stottlemyre,75,-0.2,1.2,2.7,2.6,1.4,3.0,2.0,4.1,2.3,3.3,4.1,1.4
Mike Mussina,837,1.7,5.3,2.8,3.4,5.1,5.3,5.4,5.1,6.0,6.4,6.9,4.5
Alan Embree,1030,-0.6,0.9,0.0,0.5,0.6,-0.3,1.6,0.8,0.4,-0.3,1.1,1.1
Rod Beck,1730,0.4,2.7,1.4,-0.3,0.0,0.4,1.1,1.1,0.1,0.9,-0.6,0.4
Joe Gibbon,1004658,1.3,4.2,0.5,2.5,1.7,1.3,1.5,1.1,-0.5,-0.2,0.0,-0.1
Charles Nagy,397,0.0,3.2,7.0,0.6,3.5,3.2,5.4,2.9,1.3,3.2,0.0,0.5
Tom Candiotti,1001911,0.6,0.2,4.3,1.3,4.5,4.4,2.3,5.8,3.5,4.2,2.5,2.7
Jesse Orosco,667,-0.3,1.3,2.2,1.0,0.9,0.4,1.6,-0.4,1.1,-0.5,0.5,0.3
Francisco Rodriguez,1642,0.6,3.7,1.5,2.4,1.9,1.5,0.7,1.5,1.3,0.2,0.3,-0.6
Dock Ellis,1003747,0.7,4.2,3.4,3.7,3.9,4.4,3.0,1.9,1.2,3.1,0.7,0.6
Mike Flanagan,1004133,0.6,4.4,4.5,6.0,2.9,1.5,2.7,1.8,2.4,0.3,2.6,3.1
Rick Honeycutt,1005992,1.5,2.2,2.5,1.5,0.9,2.8,1.9,1.5,3.1,1.8,0.4,0.6
Tim Belcher,1000789,0.8,4.1,3.3,1.5,4.1,3.1,3.0,1.2,1.7,3.8,1.9,1.9
Steve Carlton,1001964,0.9,4.4,4.0,4.9,3.6,3.1,11.1,4.5,5.3,3.5,5.1,5.1
Jim Kaat,1006660,-0.3,3.8,5.4,1.9,4.7,4.3,6.4,6.4,3.9,3.5,3.2,5.9
Eric Plunk,1010400,-0.5,1.1,0.8,0.0,0.2,-0.1,0.3,1.5,1.6,1.1,1.7,-0.3
Joaquin Andujar,1000266,0.9,1.2,0.6,1.3,1.1,0.6,5.5,1.6,3.1,3.1,0.3,-0.1
Dwight Gooden,1004852,8.3,8.9,4.8,4.5,6.0,1.8,6.8,4.0,3.5,3.7,0.1,2.1
Kyle Farnsworth,278,-0.4,-0.3,2.0,-0.4,1.2,0.3,1.5,1.1,-0.2,-0.7,0.6,0.8
Randy Wolf,976,0.8,2.9,3.4,3.9,2.5,1.7,0.7,-0.1,1.9,2.6,3.0,0.7
Mark Davis,1003067,-0.3,0.5,0.4,1.5,1.6,0.8,2.8,2.2,-0.6,0.0,-0.9,-0.3
Paul Byrd,594,-0.3,-0.1,0.8,0.5,-0.1,1.4,3.1,1.7,3.3,1.7,1.8,0.7
