"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","Cluster"
"Ron Villone","   1010","-0.6","-0.2","0.1","2.4","0.2","0.8","0.4","1.2","0.3","A"
"Jim Clancy","1002255","0.5","3","0.4","3.2","0.4","4.3","2.8","1.8","1.6","C"
"Ron Guidry","1005124","5.7","9.1","6.2","3.9","2.8","4","3.9","2.8","4.9","M"
"Mike Magnante","    929","0.5","0.5","0.4","0.2","0.1","0.3","1.1","0.3","1","A"
"Jamie Moyer","   1091","0.3","1.5","2.1","0.2","1","-0.2","3.2","1.9","1.2","G"
"Ugueth Urbina","    216","0.9","0.8","2.2","2.2","1.2","1.3","1.3","0.1","0.7","B"
"Brad Ziegler","   7293","0.5","1.1","0.1","1","0.6","0.5","0","0.7","1.3","A"
"Craig Lefferts","1007476","0.1","1.4","0.3","0.8","-0.2","0.6","0.6","0.5","1.4","A"
"Koji Uehara","   9227","1.8","1.3","1.2","0.8","3.1","1.1","1.4","0.6","0.6","B"
"Al Fitzmorris","1004119","0","1.3","0","1.4","2.3","2.6","3.7","1.2","-0.3","D"
"Danny Jackson","1006295","0.7","4.6","2.9","4.3","5.2","0.9","1.7","-0.5","2.8","I"
"Joe Niekro","1009582","2","-0.1","1.6","1.6","0.2","0.8","0.1","0.8","0.4","B"
"Miguel Batista","     46","0","0.7","2","-0.9","1.3","3.1","4.3","1.6","0.5","D"
"Terry Adams","    946","0.8","1","0.5","0.3","0.8","4.3","1.9","1.5","0.2","D"
"Gavin Floyd","   3886","-0.6","-0.1","2.3","4","4.2","3.1","1.9","0.6","0.2","D"
"Hank Aguirre","1000087","2.1","-0.2","5.2","2.6","1.8","2.4","0.4","0.5","0.2","F"
"Dennis Eckersley","1003660","2.8","4.6","4.6","3.9","4.4","2.9","3.2","3.1","0.8","H"
"John Hiller","1005817","1.6","1","0.5","0.9","0.2","2.8","3","1.6","1.6","G"
"Gaylord Perry","1010210","0.5","-0.3","3.6","2.3","7.3","5.6","5.5","5.9","6.3","N"
"Rick Wise","1014155","0","1.9","3.4","2","3.7","3.8","4.6","4.8","5.1","L"
"Mike Stanton","    849","0.8","0.1","0.3","0.3","-0.1","0.7","1.4","0.1","1.5","A"
"Charlie Morton","   4676","0","1.6","-0.3","2","0.4","1.4","1.3","0.7","3.1","G"
"Tom Gorzelanny","   6244","1","3.1","-0.7","0.7","1.8","0.7","0.1","0.5","0","A"
"Joakim Soria","   6941","2.1","1.3","1.6","1.9","0.9","1.5","0.4","0.2","1.8","B"
"Jim Bouton","1001241","1.6","3.6","2.4","0","0.9","-0.2","0","0.6","0.8","E"
"Geoff Zahn","1014410","1.6","0.7","2","3.4","2.7","3.6","1.1","3.5","2.5","C"
"Jon Lieber","    287","1.7","1.2","1.4","3.2","2.6","4.5","4.4","4.4","3.1","C"
"Don Drysdale","1003516","6.2","3.5","6.5","5.8","6.9","3.4","4.1","4.3","3","M"
"Bob Patterson","1010055","1.2","0.2","1.1","0.7","-0.3","0.3","0.1","0.7","0.6","A"
"Ed Whitson","1013911","0.5","1.2","3.2","0.7","1.1","-0.1","2.6","2","0.2","F"
"Darren O'Day","   3321","0.3","1.3","1.1","1.5","0.7","0.9","1.8","0.1","0.7","B"
"Jason Isringhausen","   1158","1.5","2.1","0.1","0.9","1.8","2.5","0.9","1.7","0.7","B"
"Terry Leach","1007427","0.1","0.5","0.7","1","0.3","-0.1","1.5","0.9","0.5","A"
"John Smoltz","    115","-0.4","4","3.6","3.7","5","3.9","2.1","4.6","8.4","N"
"Dick Tidrow","1013056","2.5","2.5","2.4","0.1","1.5","0.5","2.2","0.7","0.4","E"
"Mike Morgan","     67","-0.2","0.9","-0.1","2.5","3.1","0.5","2.5","2.1","4.5","C"
"Jeremy Affeldt","    583","0.9","2.5","1","0.3","-0.5","0.4","0.4","0.5","0.1","A"
"Jason Frasor","   1906","0.8","0.6","0.2","1","-0.1","1.4","0.9","0.1","0.2","A"
"Bill Gullickson","1005136","3.2","4.8","2.8","3.4","1.8","3","3.2","1.1","0.4","I"
"Steve Howe","1006107","1.7","0.7","2","2.2","0.2","0.5","1.2","-0.2","1","B"
"Catfish Hunter","1006199","0.3","1.8","5.2","1.4","1.3","3.1","3.2","4.5","0.5","H"
"Dennys Reyes","    444","0.5","1.2","0.9","0","0.5","0.2","1.1","-0.2","0.9","A"
"Julian Tavarez","    541","-0.1","1.6","0.9","0","0.3","-0.3","1.5","2.2","1","G"
"Al Leiter","    883","0.5","0.3","0.9","2.5","3","3.4","1.3","4.8","3.3","C"
"Doyle Alexander","1000122","0.9","1.1","0.8","0.6","1.2","1.3","1.7","1.4","1.2","G"
"Larry McWilliams","1008700","0.7","1.1","0.5","0.9","2.6","4.3","2.9","0.1","0.1","D"
"Randy Moffitt","1009027","-0.1","0.7","0.2","-0.4","0.2","1.1","0.3","-0.6","-0.3","A"
"Ron Taylor","1012885","-0.1","2.1","-0.2","0","0.2","0.9","0.5","0","0.4","A"
"J.J. Putz","   1795","-0.2","-0.1","3.4","2.1","0.6","1.5","1.4","1.4","0.1","F"
"Grant Jackson","1006298","1.1","0.6","4.3","1.5","1.1","0.9","0.7","0.7","0.7","F"
"Troy Percival","     29","2.4","2.3","1.1","1.7","0.6","0.2","2.2","1.6","0.2","E"
"Chad Gaudin","   1783","0.2","0.3","0.1","1.8","0.7","1.9","-1","0.2","1","B"
"Kent Tekulve","1012905","0.3","1.7","1.3","1.4","2.1","0","1.2","0.6","1.9","B"
"Armando Reynoso","     72","2","0.3","0.7","1.4","1","0.7","1.4","2.1","-0.6","B"
"Juan Cruz","    273","0.9","0.1","0.7","0.5","-0.2","1.6","0.6","0.5","-0.1","A"
"Ben Sheets","    710","1.3","3.8","3.8","8","3.7","4","2.5","4.7","0.8","M"
"Wade Davis","   7441","1","1.1","1.4","1","1.5","3.1","2","1.4","1.1","D"
"Lindy McDaniel","1008441","2.6","0.7","1.3","0.6","1.6","0.5","1.9","0.4","0.1","B"
"Mike Witt","1014174","1.6","3.8","0.7","5.9","4.7","6.7","4","4.4","2.7","J"
"Roberto Hernandez","   3273","0.4","3.3","0.6","0.2","3","1.5","0","0.1","0.2","B"
"Woodie Fryman","1004381","3","0.3","2.9","3","2.4","3.1","2.7","1.7","0.9","C"
"Dave LaRoche","1007354","0","1","0.1","-0.3","-0.1","1.3","2.6","0.3","0.6","G"
"Erik Bedard","    126","2.4","3.4","4.6","5","1","2","2.1","1.4","1.4","I"
"Chan Ho Park","   1267","1.1","2.1","3.7","1.2","3.9","4.3","1","-0.3","1.9","K"
"Kenny Rogers","   1277","0.8","1.3","-0.5","1.1","3.6","2.5","3","2.2","0.6","D"
"Gary Lavelle","1007389","0","0.1","3","0.9","1.3","0.9","0.7","1.3","2.1","F"
"Sparky Lyle","1007859","0.6","0.8","1.3","0.6","0.2","1.5","1.5","2","2","G"
"Andrew Miller","   6785","0.3","1.9","0.7","-0.4","-0.1","0.5","0.3","2.2","2.1","G"
"Shane Rawley","1010719","0.9","1.9","1.6","0.9","3.2","3.2","1.6","1.6","1.7","D"
"Kevin Appier","      3","3.2","4.7","4.8","6.8","4","5.3","6.3","5.2","2.7","M"
"Charlie Hough","1006050","0.3","-0.5","-0.3","-0.4","0.5","0","0","0.2","1.4","A"
"Steve Barber","1000530","1.7","3.5","2.3","5.4","1.1","2.9","2.6","0.6","0.9","I"
"Steve Crawford","1002749","0.3","-0.2","-0.2","1.6","0.4","-0.6","0.4","0.4","0.4","A"
"Ed Farmer","1003935","-0.2","-0.9","-0.2","-0.3","1.9","0.1","-0.3","0.4","0","A"
"Teddy Higuera","1005799","3","5.1","6.7","5.9","2.2","3","1.1","0.3","-0.5","I"
"Jim Palmer","1009973","0.6","2","-0.1","3.7","6.2","4.6","4.4","4.6","1.9","J"
"Matt Belisle","   1837","0.4","0","2.4","0","2","1.2","1.8","1.3","0.4","B"
"Denny Neagle","    441","-0.1","0.4","1.8","4.2","3.4","5.2","3.1","0.3","2.5","C"
"Hideo Nomo","    666","5.2","4.4","3.4","1.4","2.1","2.1","3","2.9","3.3","E"
"Rick Reed","    750","0.6","0.4","1.1","3.6","3","1.5","2.6","3.3","2","C"
"Kirk Rueter","   1128","1.4","1","1","0.9","3","0.9","1.4","1.2","0.8","B"
"Brett Cecil","   2660","0.3","2.5","0.5","0.1","0.9","1.2","1.3","0.4","1.1","G"
"Doc Medich","1008714","3.5","3.4","3.7","2.7","1.8","2.4","1.9","3.2","2.6","E"
"Bruce Sutter","1012743","1.9","5.2","2.3","4.8","1.9","1.1","0.2","0.5","1.5","I"
"Danny Darwin","1002996","1","2.5","1.7","1","3.2","3.7","1.3","3.2","2.6","C"
"Jake Westbrook","    412","0.8","0.1","1","3","2.9","3.6","1.7","0.3","1.9","D"
"Jose Lima","    475","0.9","0.6","0.4","2.7","4.7","-0.1","-0.2","0","1","B"
"Ryan Dempster","    517","-0.3","0.7","3.4","2.2","1.4","0.7","1.8","0.9","0.2","F"
"Dave Burba","   1239","-0.2","0.5","0.1","0.6","1.2","2.3","1.1","1.8","3","G"
"Glenn Abbott","1000010","1.5","0.3","0.4","1.5","1.2","0.2","2.5","1.4","1.8","G"
"Mike Henneman","1005656","1.9","1.3","0.5","1.2","1.8","1.2","1.2","0","1.7","B"
"Alejandro Pena","1010140","-0.2","4.1","4.7","0.4","0.8","1.7","1.1","1.3","1","E"
"Paul Splittorff","1012346","3.7","3.9","4.1","1.4","2","0.9","3.7","2.9","1.8","E"
"Todd Jones","    436","-0.1","1.4","0.4","-0.4","1.8","0.3","0.8","1.4","0.1","A"
"Orlando Hernandez","    823","3.4","3.4","2.4","0.1","3.1","1.7","1.3","2.7","1.4","E"
"Joel Pineiro","   1094","2","2.5","3.5","1.8","1.8","0.4","0.4","0.6","4.3","E"
"Ken Brett","1001402","0","2","0.2","0.7","2.6","4","0.7","3.3","2","D"
"Matt Cain","   4732","0.7","3.8","4.1","3.7","3.3","4","4.5","3.2","1.2","H"
"Xavier Hernandez","1005715","-0.8","0.4","1.1","2.1","-0.1","0.9","0","-0.1","0.3","A"
"John Smiley","1012084","-0.1","3.5","2.2","1.9","3.4","5","0.8","2.6","4.3","C"
"John Tudor","1013215","1.8","0.2","3.5","1.8","2.5","6.4","2.1","0.9","3.1","K"
"Matt Herges","    780","1.5","0.5","-0.2","1.6","0","0.3","0.4","0.5","0.3","A"
"Richard Dotson","1003424","1.5","1.3","2.4","2.9","2","0.8","2.1","2.4","-0.4","F"
"Ramon Ortiz","     27","0.6","0.7","2.3","1.6","0.8","0.8","0.3","0.2","0.1","B"
"Gil Heredia","1005686","0.2","-0.2","1","1.3","2.4","0.3","1","4.2","2.6","G"
"Roger McDowell","1008475","0.9","1.4","0","0.8","0.4","0.8","0.1","0.1","0.1","A"
"A.J. Burnett","    512","0.6","0.9","1.4","4.8","2.9","5","2.9","2.3","5","J"
"Tommy Hunter","   1157","1.7","1","0.5","-0.4","0.7","0.7","0.3","0.6","1.2","A"
"Luke Gregerson","   4090","2.1","1.3","0.6","0.6","1.2","0.9","1.1","1.1","-0.1","B"
"Ted Abernathy","1000020","0.5","0","1.2","-0.6","1.8","-0.7","0","0.3","0.1","A"
"Ron Davis","1003075","1.3","1.1","1.6","0","2.1","0","0.7","-0.8","-0.3","A"
"Mike Myers","     68","1.1","-0.5","0","0","0.9","0.6","0.3","-0.3","-0.1","A"
"Dave Schmidt","1011580","0.3","2.5","0.6","1.5","1.2","0.9","2.2","0.7","-0.2","B"
"Mike Torrez","1013134","0.4","1.6","-0.4","2.2","1","2.4","2.4","3.3","2.3","C"
"Jaime Garcia","   8137","2.4","3.2","2.6","0.5","0.4","2.8","1.1","1.9","-0.1","E"
"Reggie Cleveland","1002347","3.5","3.5","4.3","1.5","1.6","2.6","2.7","1","-0.7","E"
"Dick Drago","1003475","2.5","3.8","4.7","2.9","2.8","1.9","0.8","-0.6","0.5","I"
"Jason Grimsley","    602","0.6","0.2","0.5","1.4","-0.4","0.9","0.2","0.3","0.9","A"
"Edinson Volquez","   3990","-0.2","0.5","3.6","0.2","0.7","-0.3","1.4","0.7","0.7","F"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","0.7","B"
"Mel Rojas","1011153","-0.6","0.4","1.4","0.3","0.9","1.2","2","-0.2","-0.7","A"
"Lary Sorensen","1012279","2.3","5","1.9","2.4","3","2","2.2","0.9","0.1","E"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","2.2","B"
"Bob Shirley","1011911","1.6","1.9","2.3","-0.1","0.1","0.1","1","0.9","2.4","G"
"Graeme Lloyd","    783","0.6","0.6","0.1","0.7","-0.1","0.4","0.1","0.5","0","A"
"Al Downing","1003450","4.7","4.2","3","1.8","3.9","0.2","1.5","0.5","3.1","E"
"Rick Mahler","1007988","1.4","2.4","3.4","2.8","2.1","1","4.3","3.2","0.8","F"
"Jeff Suppan","    633","1.5","0.5","2.8","1.9","2.5","1.3","2.7","1.4","1.8","F"
"Jim Lonborg","1007724","2.5","2.8","5.7","0.2","1.8","0.7","1.9","2.3","0.8","E"
"Jim Slaton","1012054","0.1","0","2.4","2.1","0.8","4.1","1.5","1.3","3.5","C"
"Andy Benes","   1144","0.9","2.9","3.6","4.7","3.5","4.2","3.3","2.4","5.1","J"
"Huston Street","   8258","1.7","2.3","1.4","1.1","1.5","0.8","0.4","1.1","-0.8","B"
"Clay Carroll","1001997","-0.1","1.5","0.2","1","0.6","1.4","0.2","0.4","0.4","A"
"Andy Pettitte","    840","3.2","4.6","7.2","3.2","2.6","3.9","5.8","3.9","5.1","H"
"Burt Hooton","1006005","4.1","5.3","2.4","3.9","3.1","5.2","3.3","4.4","1.8","M"
"John Danks","   6329","0.6","5","2.7","4.5","2.9","0.3","0.2","0.6","1.3","I"
"Scott Linebrink","    564","0.7","1.4","1.8","1","-0.5","0.5","0.1","-0.1","-0.5","A"
"Ramiro Mendoza","    836","1.1","1.7","2","1.9","0.5","1.7","1.3","-0.1","0.1","B"
"David Wells","    855","-0.9","1.8","3.8","2.5","0.4","3","2.3","3.7","3.4","C"
"Casey Janssen","   7355","1","0.9","0.2","0.3","1.2","1.1","1.2","0.1","0","A"
"Rick Reuschel","1010852","4.2","6.1","4.7","4.7","4.8","6.5","4.5","3.9","4.7","M"
"Mike Jackson","    732","0","0.7","0.6","0.1","1.5","0.4","0.9","1.1","0.3","A"
"Doug Davis","   1244","0.5","3.6","0.6","0.7","4.4","3.7","2.8","2.2","2.3","D"
"Adam Wainwright","   2233","1.2","3.7","2.4","5.2","5","3.9","6.2","5","2.7","H"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","4.9","N"
"Dean Chance","1002130","3.5","4.8","7.6","3.2","2.9","6.9","7.7","1.3","1.7","H"
"Juan Guzman","1005162","3.4","5.5","4.3","1.8","1.8","4.6","-0.2","2.8","2.5","E"
"Carlos Silva","    973","0.7","0.1","2.6","2.1","-0.5","2.6","1.4","-0.1","1.7","F"
"Joe Nathan","   1122","-0.3","-0.1","1.2","3","2.6","3.1","2","1.9","1.8","D"
"Jesse Jefferson","1006380","-0.2","0","-0.7","-0.4","2.4","0.7","-0.5","0.9","0.6","A"
"Bob Ojeda","1009756","0.5","0.2","1.8","2.8","3.1","4.2","0.5","5.1","1","C"
"Jim Rooker","1011183","2.2","2.9","0.8","1.2","2.9","5.4","1.9","2.2","1.6","K"
"Tim Worrell","   1139","0.6","1.9","-0.2","1","0.7","0.3","0.9","1","1.4","G"
"Guillermo Mota","   1467","0","0.2","-0.3","0.4","2.1","1.3","0.6","-0.3","0.2","A"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","D"
"Pascual Perez","1010185","0.9","1.3","4","2.6","0.2","1.9","2.9","3.9","1.1","F"
"Dan Spillner","1012342","1","1.5","-0.4","-0.5","1.3","1.4","1.4","1.6","2.6","G"
"Jordan Zimmermann","   4505","1.9","-0.3","3.1","3.3","3.8","5.4","3","1.4","1.3","K"
"Jonathan Broxton","   4759","1.4","1.9","2","2.6","1","1.1","-0.3","0.7","0.2","B"
"Yovani Gallardo","   8173","2.6","2.7","3.6","2.7","2","1.5","1.6","2.5","0.6","E"
"Craig Swan","1012754","0.1","0.1","1.5","1.7","3.8","4.4","0.5","1.7","-0.6","D"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","L"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","C"
"Dan Miceli","   1463","0.1","-0.6","0.3","1.1","0.2","0.8","0.3","-0.1","1.1","A"
"Chris Young","   3196","0.5","3.4","2.2","4.3","1.5","0.1","1.1","-0.1","1","I"
"J.A. Happ","   7410","0.4","1.6","1","0.7","1.8","1","1.2","3.2","2.9","G"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","F"
"Mike Marshall","1008144","0","0.9","0.8","0.3","1.8","1.6","4.4","0.4","0.4","D"
"Yusmeiro Petit","   4020","0.2","0.1","0.1","0.8","1.7","-0.1","-0.2","2","0.7","A"
"Jon Matlack","1008246","0.5","4.9","4.7","7.5","4.4","4.4","2.6","6.8","1.2","M"
"Mike Pelfrey","   5203","0.4","3.1","1.9","2.8","1.2","2.4","2.3","0.5","-1","F"
"Joe Hoerner","1005895","0.9","0.4","0.7","0.4","0.4","0.7","0","0.4","0.1","A"
"Mike McCormick","1008420","5.1","2.5","-1","-0.1","1.9","2","2","1.5","0.3","E"
"Rick Waits","1013494","1.3","1.4","1.5","2.8","1.7","3","1.9","0.4","0.6","D"
"Wilbur Wood","1014248","0.2","0.4","1.3","1.3","0.4","1.9","8.7","6.1","7.4","L"
"Paul Quantrill","    669","0.7","1.2","-0.1","2","0.3","1.9","1.6","0.2","0.9","B"
"Gil Meche","   1089","0.4","1.5","1.5","1.1","0.5","1.9","3.7","4.2","1","G"
"Francisco Liriano","   3201","3.6","1.4","0.7","5.6","0.6","1.5","3.1","1.6","3.3","C"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","8.6","N"
"Neal Heaton","1005568","0.4","2.4","1.3","2","0.9","2.3","-1","0.4","0.9","B"
"Bill Krueger","1007175","1.2","0.8","0.9","-0.1","0.8","0.8","2","1.9","1.4","G"
"Phil Regan","1010785","0.3","0.4","1.3","0.3","1","0.4","1.6","0.7","0.4","A"
"Jason Vargas","   8044","1.7","-0.6","0.5","3.4","2.7","1.5","1.7","2.3","0.4","D"
"Brett Anderson","   8223","3.7","2.5","1","0.9","0.3","1.1","1.5","0.8","0.9","E"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","4.5","C"
"Bruce Chen","    769","-0.1","1.7","0.5","-0.2","0.6","1.6","-0.7","0","1.2","A"
"Ken Forsch","1004234","4.1","0.8","2.6","1","0.7","0.5","1.5","2.4","1.8","E"
"Ted Lilly","    833","0.8","1.3","3.1","3","0.5","2.1","3.8","2.8","3.7","C"
"Carlos Villanueva","   4138","0.5","0.4","0.7","0.5","0.1","1.3","0.6","1.2","1.3","A"
"Cole Hamels","   4972","2.6","3.9","4.7","3.7","3.6","5.1","4.6","4.6","4.5","H"
"Andy Hassler","1005480","0.4","1.1","1.1","1.5","2.2","1.7","0.9","0.6","-0.2","B"
"Dan Schatzeder","1011527","0.5","1.3","2.1","-0.5","0.2","1.1","1.3","0.8","-0.4","A"
"Pete Schourek","1011608","0.5","1.3","0.9","0.7","4.2","1","-0.4","0.8","0.4","B"
"Livan Hernandez","   1116","1.9","0.4","2.9","4.5","2.3","2.7","4.4","4.4","2.4","C"
"Kevin Millwood","    106","1.3","3.4","5.5","4","0.9","4.6","4.7","2.9","3.4","H"
"Edwin Jackson","   1841","0.1","1.2","1.5","3.7","3.2","3.4","2.1","2.2","0.7","D"
"Wandy Rodriguez","   2586","0.4","1.1","3.1","2.9","4.2","3.5","1.5","2.8","0.3","K"
"Kevin Gross","1005088","0.5","1.3","3.6","1.5","0.8","2.4","1.6","2.4","0.9","F"
"Don Gullett","1005134","0.9","2.6","1","2.5","4.2","2.4","1.3","2.4","0.6","D"
"Fritz Peterson","1010227","3.5","2.8","3.6","6.8","4.4","4.1","2.9","1.3","1.5","M"
"Bryn Smith","1012104","0.6","1.7","2.1","5.1","2.1","2.5","3.2","3.2","2.4","C"
"Zack Greinke","   1943","1.8","2","2.1","4.2","8.6","4.9","3.2","4.8","3.5","J"
"Ubaldo Jimenez","   3374","0.9","4.2","5.3","5.9","3.3","0.9","3.5","0.4","2.6","I"
"Ricky Nolasco","   3830","1.2","4.3","4.2","2.2","3.2","2.3","3.5","1.3","0.8","I"
"Paul Maholm","   8678","0.6","1.4","1.8","3.2","3.7","1.8","2","1.7","0.5","D"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","4.5","M"
"Nelson Briles","1001432","1","1.2","2.1","2.4","3.4","0.7","1.2","3.5","2.7","C"
"Mark Gubicza","1005115","2.7","2.2","3","3.8","6.2","6.3","1.6","2.1","2.1","K"
"Luis Tiant","1013054","2","2.8","2.5","3.7","7.4","0.5","0.5","0.9","3.6","K"
"Bud Black","1001007","0.3","1.1","4.3","3.6","0.1","1.1","0.6","3.4","2.4","F"
"Steve Farr","1003953","1","0.6","0.9","0.8","1.5","0.8","1.6","1.4","1.1","G"
"Ron Perranoski","1010201","0.9","1.7","0","0.5","0.4","0.2","0.3","0.5","1.2","A"
"J.C. Romero","    754","0.6","0.3","1.6","-0.5","1","-0.5","0","0","-0.2","A"
"Blue Moon Odom","1009726","1.3","-0.1","2.7","2.9","0.2","0.1","0.9","0.8","0.3","F"
"Marty Pattin","1010074","0.1","0.2","4.3","3.4","4.6","1.8","1","2.3","1.4","F"
"Walt Terrell","1012924","1.3","1.7","4.8","0.6","3.2","1.5","1.7","0","2.7","F"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","4.1","H"
"Joe Blanton","   4849","2.2","3.2","5.3","1.8","2.1","1.8","0.6","2.5","-0.4","E"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","4.6","C"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","D"
"Glendon Rusch","    707","1.5","1.5","4.7","3.2","1.6","2.1","2.8","2.3","-0.9","F"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","0.7","F"
"Felix Hernandez","   4772","2.3","3.3","3.5","3.6","7","6.8","5.3","6.6","6.1","N"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","-1.1","F"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","5.2","O"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","3","M"
"Anibal Sanchez","   3284","1.9","0","0.3","0.7","4.2","3.7","3.5","5.8","3.3","L"
"Jeremy Hellickson","   4371","0.5","2","0.8","1.3","0.2","1","3.3","0.2","1.2","G"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","3.2","C"
"Dave Smith","1012117","1.9","1.1","-0.6","0.2","0.3","1.3","0.2","2.8","0.9","G"
"Javier Vazquez","    801","0.5","2.2","5.2","6.1","4.6","6","2","3.5","4.7","J"
"C.J. Wilson","   3580","0.3","0","0.7","-0.5","1.8","4.3","5.2","2.6","2.9","L"
"Bill Lee","1007448","-0.2","0.5","1.1","0.3","5.2","3.7","3.5","-0.2","1.2","D"
"Bruce Ruffin","1011294","2.7","2.5","0.4","0.7","0.9","2.2","-0.3","1.7","0.7","E"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","J"
