Name,playerid1,1ySeason,W,L,SV,G,GS,IP,Kd9,BBd9,HRd9,BABIP,LOBp,ERA,FIP15,Age,CG,ShO,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,KdBB,AVG,WHIP,FIP33,RAR,WAR,WPA,nWPA,pWPA,RE24,REW,pLI,gmLI,exLI,Pulls,WPAdLI,Clutch,SD,MD,ERAm,FIPm,RA9WAR,BIPWins,LOBWins,FDPWins,KBBp,kwERA,TTOp,playerid58,ServiceTime,FutureWAR,prediction
Chris Fussell,1004410,1999,0,5,2,17,8,56.0,5.95,5.79,1.45,0.354,0.618,7.39,6.1,23,0,0,265,72,51,46,9,36,3,5,6,0,37,1.03,0.321,1.93,6.1,-1.0,-0.1,-0.82,-5.3,4.48,-13.01,-1.14,0.98,0.96,0.9,14,-1.55,0.71,4,2,146,124,-0.9,-0.7,-0.1,-0.8,0.004,5.5,0.309,1004410,1,-0.7,4
Brent Gaff,1004423,1982,0,3,0,7,5,31.2,3.98,2.84,0.85,0.333,0.628,4.55,4.11,23,0,0,142,41,22,16,3,10,0,1,2,0,14,1.4,0.313,1.61,4.11,1.3,0.1,-0.91,-2.94,2.04,-8.95,-1.0,0.94,0.7,0.76,6,-1.0,0.04,0,0,127,115,-0.5,-0.5,-0.1,-0.6,0.028,4.11,0.19,1004423,1,0.0,4
Rich Gale,1004444,1980,13,9,1,32,28,190.2,4.58,3.68,0.76,0.252,0.706,3.87,4.08,26,6,1,799,169,89,82,16,78,2,2,6,0,97,1.24,0.235,1.3,4.08,17.5,1.8,0.26,-12.72,12.98,7.24,0.67,0.92,0.9,1.35,25,0.52,-0.24,2,2,95,104,2.8,1.5,-0.5,1.0,0.024,4.08,0.239,1004444,1,-0.1,4
Rich Gale,1004444,1981,6,6,0,19,15,101.2,4.16,3.36,1.24,0.274,0.659,5.4,4.65,27,2,0,440,107,63,61,14,38,0,2,0,0,47,1.24,0.268,1.43,4.65,-0.9,-0.1,-1.29,-7.56,6.27,-15.91,-1.93,0.83,0.87,1.32,15,-1.12,-0.43,1,2,146,127,-0.6,0.0,-0.5,-0.5,0.021,3.83,0.225,1004444,2,1.5,4
Rich Gale,1004444,1982,7,14,0,33,29,170.1,5.39,4.28,0.48,0.324,0.706,4.23,3.72,28,2,0,765,193,91,80,9,81,11,5,5,0,102,1.26,0.284,1.61,3.72,13.3,1.5,-3.34,-16.42,13.08,-16.82,-1.85,1.07,0.97,1.25,31,-2.04,-1.09,1,2,119,106,0.2,-1.9,0.7,-1.3,0.028,4.12,0.251,1004444,3,0.1,4
Rich Gale,1004444,1983,4,6,1,33,7,89.2,5.32,4.32,0.8,0.314,0.611,5.82,4.2,29,0,0,408,103,64,58,8,43,8,1,3,1,53,1.23,0.283,1.63,4.2,0.4,0.1,-2.06,-6.71,4.65,-19.71,-2.18,0.7,0.82,0.82,27,-1.58,-1.36,4,4,155,112,-1.4,-0.8,-0.7,-1.5,0.025,4.19,0.255,1004444,4,0.0,4
Gene Garber,1004493,1980,5,5,7,68,0,82.1,5.57,2.62,0.66,0.32,0.696,3.83,3.34,32,0,0,359,95,42,35,6,24,5,0,0,0,51,2.13,0.284,1.45,3.34,8.2,0.9,-0.72,-7.45,6.73,-8.69,-0.91,1.2,1.38,1.59,37,-0.06,-0.55,13,14,100,85,-0.2,-0.9,-0.2,-1.1,0.075,3.46,0.226,1004493,1,0.7,4
Gene Garber,1004493,1981,4,6,2,35,0,58.2,5.22,3.07,0.31,0.241,0.695,2.61,2.91,33,0,0,251,49,23,17,2,20,9,0,1,1,34,1.7,0.212,1.18,2.91,6.1,0.7,-1.4,-6.04,4.63,-1.32,-0.19,1.25,1.14,1.26,18,0.33,-1.45,7,11,71,80,0.5,0.5,-0.8,-0.2,0.056,3.41,0.223,1004493,2,2.2,4
Gene Garber,1004493,1982,8,10,30,69,0,119.1,5.13,2.41,0.3,0.257,0.732,2.34,2.87,34,0,0,480,100,40,31,4,32,16,2,1,0,68,2.13,0.224,1.11,2.87,19.8,2.2,2.15,-13.49,15.64,20.06,2.12,1.91,1.79,1.83,13,2.2,-1.07,38,18,62,76,2.8,0.6,0.0,0.6,0.075,3.55,0.217,1004493,3,-0.1,4
Gene Garber,1004493,1983,4,5,9,43,0,60.2,6.68,3.41,1.19,0.323,0.699,4.6,4.22,35,0,0,276,72,37,31,8,23,7,2,2,1,45,1.96,0.287,1.57,4.22,-0.7,-0.1,-2.71,-7.96,5.25,-9.32,-1.04,1.35,1.54,2.58,15,-1.02,-1.0,10,14,119,108,-0.8,-0.8,0.0,-0.8,0.08,3.53,0.275,1004493,4,0.9,4
