Name,playerid,WAR25,WAR26,WAR27,WAR28
Fred Lasher,1007366,0.5,-0.2,-0.2,0.1
Erik Bedard,126,2.4,3.4,4.6,5.0
Wayne Gomes,191,0.8,0.0,0.4,0.2
Josh Fogg,989,0.8,0.6,1.7,0.5
Chan Ho Park,1267,3.7,1.2,3.9,4.3
Kenny Rogers,1277,1.3,-0.5,1.1,3.6
Mitchell Boggs,3344,0.6,0.0,0.4,0.6
Steve Foucault,1004262,-0.9,-0.8,1.8,0.2
Sparky Lyle,1007859,0.6,0.2,1.5,1.5
Andrew Miller,6785,-0.4,-0.1,0.5,0.3
Adam Warren,9029,0.0,1.2,2.2,-0.5
Charles Hudson,1006134,2.2,1.0,0.1,1.5
Shane Rawley,1010719,0.9,3.2,3.2,1.6
Kevin Appier,3,6.8,4.0,5.3,6.3
Ernesto Frieri,5178,0.6,0.8,0.7,-0.8
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4
Liam Hendriks,3548,0.4,1.5,1.3,1.0
Wily Peralta,7738,1.5,0.2,0.7,0.0
Ben McDonald,1008454,4.5,3.0,1.0,4.2
Steve Barber,1000530,5.4,1.1,2.9,2.6
Jim Palmer,1009973,4.6,4.4,4.6,1.9
Denny Neagle,441,1.8,4.2,3.4,5.2
Kirk Rueter,1128,0.9,3.0,0.9,1.4
Brett Cecil,2660,0.1,0.9,1.2,1.3
Jon Niese,4424,2.5,2.2,2.4,0.6
Doc Medich,1008714,3.4,3.7,2.7,1.8
Bruce Sutter,1012743,2.3,4.8,1.9,1.1
Adam Bernero,460,0.1,0.6,-0.2,0.2
Danny Darwin,1002996,1.7,1.0,3.2,3.7
Pat Jarvis,1006363,2.0,2.2,4.3,1.8
George Stone,1012565,-0.2,1.7,0.2,0.5
Jake Westbrook,412,1.0,3.0,2.9,3.6
Jose Lima,475,2.7,4.7,-0.1,-0.2
Dave Burba,1239,0.5,0.1,0.6,1.2
Glenn Abbott,1000010,0.4,1.5,1.2,0.2
Mike Henneman,1005656,1.9,1.3,0.5,1.2
Paul Splittorff,1012346,3.9,4.1,1.4,2.0
David Riske,402,0.0,1.5,0.1,-0.1
Todd Jones,436,-0.1,1.4,0.4,-0.4
Joel Pineiro,1094,1.8,1.8,0.4,0.4
Jason Davis,1598,0.2,1.1,-0.4,0.1
Ken Brett,1001402,4.0,0.7,3.3,2.0
Bob Scanlan,1011489,0.5,0.3,1.6,0.1
Paul Spoljaric,1012349,0.1,1.1,0.0,0.4
Matt Cain,4732,4.0,4.5,3.2,1.2
Xavier Hernandez,1005715,0.4,1.1,2.1,-0.1
Tom Phoebus,1010301,2.1,4.2,1.3,1.2
John Smiley,1012084,1.9,3.4,5.0,0.8
Wade Miley,8779,3.9,1.6,1.2,2.7
Erasmo Ramirez,10314,2.3,-0.5,1.1,-0.6
Richard Dotson,1003424,2.0,0.8,2.1,2.4
Jimmy Nelson,10547,0.8,1.9,0.6,4.8
Bryan Clark,1002270,1.4,1.0,-0.3,-0.4
Terry Fox,1004284,0.4,0.8,0.0,0.5
Gil Heredia,1005686,0.2,-0.2,1.0,1.3
Tim Lollar,1007715,-0.3,2.3,0.8,0.9
Roger McDowell,1008475,1.4,0.0,0.8,0.4
Tommy Hunter,1157,-0.4,0.7,0.7,0.3
Luke Gregerson,4090,2.1,1.3,0.6,0.6
Ron Davis,1003075,1.6,0.0,2.1,0.0
