Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7,0.9,-0.5
Troy Percival,29,2.4,2.3,1.1,1.7,0.6,0.2,2.2,1.6,0.2,0.1,0.7
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9,0.2,0.2
Juan Cruz,273,0.9,0.1,0.7,0.5,-0.2,1.6,0.6,0.5,-0.1,0.3,0.0
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1,1.3,1.8
Mike Witt,1014174,1.6,3.8,0.7,5.9,4.7,6.7,4.0,4.4,2.7,1.4,0.0
Woodie Fryman,1004381,3.0,0.3,2.9,3.0,2.4,3.1,2.7,1.7,0.9,2.3,2.6
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3,0.6,-0.2,1.1
Chan Ho Park,1267,1.1,2.1,3.7,1.2,3.9,4.3,1.0,-0.3,1.9,0.8,0.2
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5,3.5
Gary Lavelle,1007389,0.0,0.1,3.0,0.9,1.3,0.9,0.7,1.3,2.1,0.7,0.8
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0,2.0,0.8,2.5
Andrew Miller,6785,0.3,1.9,0.7,-0.4,-0.1,0.5,0.3,2.2,2.1,2.9,2.3
Shane Rawley,1010719,0.9,1.9,1.6,0.9,3.2,3.2,1.6,1.6,1.7,2.4,-0.7
Kevin Appier,3,3.2,4.7,4.8,6.8,4.0,5.3,6.3,5.2,2.7,2.0,3.4
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2
Steve Barber,1000530,1.7,3.5,2.3,5.4,1.1,2.9,2.6,0.6,0.9,0.8,0.5
Jim Palmer,1009973,0.6,2.0,-0.1,3.7,6.2,4.6,4.4,4.6,1.9,6.9,4.2
Matt Belisle,1837,0.4,0.0,2.4,0.0,2.0,1.2,1.8,1.3,0.4,0.1,0.7
Denny Neagle,441,-0.1,0.4,1.8,4.2,3.4,5.2,3.1,0.3,2.5,2.3,1.5
Hideo Nomo,666,5.2,4.4,3.4,1.4,2.1,2.1,3.0,2.9,3.3,-0.4,0.1
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2,0.8,1.3,0.7
Bruce Sutter,1012743,1.9,5.2,2.3,4.8,1.9,1.1,0.2,0.5,1.5,-0.6,0.7
Danny Darwin,1002996,1.0,2.5,1.7,1.0,3.2,3.7,1.3,3.2,2.6,1.0,1.6
Jake Westbrook,412,0.8,0.1,1.0,3.0,2.9,3.6,1.7,0.3,1.9,0.7,2.0
Jose Lima,475,0.9,0.6,0.4,2.7,4.7,-0.1,-0.2,0.0,1.0,0.8,-0.3
Ryan Dempster,517,-0.3,0.7,3.4,2.2,1.4,0.7,1.8,0.9,0.2,4.7,3.6
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8,3.0,4.2,2.5
Alejandro Pena,1010140,-0.2,4.1,4.7,0.4,0.8,1.7,1.1,1.3,1.0,-0.3,0.6
Paul Splittorff,1012346,3.7,3.9,4.1,1.4,2.0,0.9,3.7,2.9,1.8,2.4,0.7
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4,0.1,0.9,0.0
Joel Pineiro,1094,2.0,2.5,3.5,1.8,1.8,0.4,0.4,0.6,4.3,2.1,0.6
Ken Brett,1001402,0.0,2.0,0.2,0.7,2.6,4.0,0.7,3.3,2.0,-0.3,0.5
Matt Cain,4732,0.7,3.8,4.1,3.7,3.3,4.0,4.5,3.2,1.2,-0.2,-0.5
John Smiley,1012084,-0.1,3.5,2.2,1.9,3.4,5.0,0.8,2.6,4.3,4.5,1.4
Ramon Ortiz,27,0.6,0.7,2.3,1.6,0.8,0.8,0.3,0.2,0.1,-0.3,-0.2
Roger McDowell,1008475,0.9,1.4,0.0,0.8,0.4,0.8,0.1,0.1,0.1,0.0,0.9
A.J. Burnett,512,0.6,0.9,1.4,4.8,2.9,5.0,2.9,2.3,5.0,2.8,1.4
Mike Myers,68,1.1,-0.5,0.0,0.0,0.9,0.6,0.3,-0.3,-0.1,0.1,0.2
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3,2.3,3.3,3.3
Reggie Cleveland,1002347,3.5,3.5,4.3,1.5,1.6,2.6,2.7,1.0,-0.7,1.3,-0.7
Dick Drago,1003475,2.5,3.8,4.7,2.9,2.8,1.9,0.8,-0.6,0.5,0.6,2.5
Jason Grimsley,602,0.6,0.2,0.5,1.4,-0.4,0.9,0.2,0.3,0.9,0.8,0.5
Edinson Volquez,3990,-0.2,0.5,3.6,0.2,0.7,-0.3,1.4,0.7,0.7,2.7,1.7
Bob Miller,1008877,1.2,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7,1.7,0.0
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3,2.2,0.6,0.7
Bob Shirley,1011911,1.6,1.9,2.3,-0.1,0.1,0.1,1.0,0.9,2.4,0.2,-0.4
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5,3.1,2.2,1.9
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4,1.8,1.9,2.6
Jim Lonborg,1007724,2.5,2.8,5.7,0.2,1.8,0.7,1.9,2.3,0.8,4.4,2.1
Jim Slaton,1012054,0.1,0.0,2.4,2.1,0.8,4.1,1.5,1.3,3.5,0.4,0.2
Andy Benes,1144,0.9,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1,3.3,1.3
Huston Street,8258,1.7,2.3,1.4,1.1,1.5,0.8,0.4,1.1,-0.8,1.0,0.4
Clay Carroll,1001997,-0.1,1.5,0.2,1.0,0.6,1.4,0.2,0.4,0.4,1.8,1.2
Andy Pettitte,840,3.2,4.6,7.2,3.2,2.6,3.9,5.8,3.9,5.1,1.9,5.8
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4,1.8,3.3,1.8
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7,3.4,4.3,4.4
Rick Reuschel,1010852,4.2,6.1,4.7,4.7,4.8,6.5,4.5,3.9,4.7,3.0,1.2
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1,0.3,0.7,1.7
Doug Davis,1244,0.5,3.6,0.6,0.7,4.4,3.7,2.8,2.2,2.3,1.0,-0.1
Adam Wainwright,2233,1.2,3.7,2.4,5.2,5.0,3.9,6.2,5.0,2.7,1.4,0.5
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1,7.6,4.9,5.6,1.1
Joe Nathan,1122,-0.3,-0.1,1.2,3.0,2.6,3.1,2.0,1.9,1.8,-0.1,1.7
Bob Ojeda,1009756,0.5,0.2,1.8,2.8,3.1,4.2,0.5,5.1,1.0,0.7,2.1
Jim Rooker,1011183,2.2,2.9,0.8,1.2,2.9,5.4,1.9,2.2,1.6,0.8,0.6
Tim Worrell,1139,0.6,1.9,-0.2,1.0,0.7,0.3,0.9,1.0,1.4,1.1,0.2
Guillermo Mota,1467,0.0,0.2,-0.3,0.4,2.1,1.3,0.6,-0.3,0.2,0.1,0.1
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4,2.1,-0.1,0.0
Dan Spillner,1012342,1.0,1.5,-0.4,-0.5,1.3,1.4,1.4,1.6,2.6,0.3,0.4
Yovani Gallardo,8173,2.6,2.7,3.6,2.7,2.0,1.5,1.6,2.5,0.6,0.1,0.4
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1,3.2,4.9,1.5
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2,2.8,4.4,3.1
Chris Young,3196,0.5,3.4,2.2,4.3,1.5,0.1,1.1,-0.1,1.0,-1.2,-0.3
J.A. Happ,7410,0.4,1.6,1.0,0.7,1.8,1.0,1.2,3.2,2.9,2.8,3.0
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0,2.0,0.5,0.5
Mike Marshall,1008144,0.0,0.9,0.8,0.3,1.8,1.6,4.4,0.4,0.4,0.8,1.9
Jon Matlack,1008246,0.5,4.9,4.7,7.5,4.4,4.4,2.6,6.8,1.2,5.2,0.8
Rick Waits,1013494,1.3,1.4,1.5,2.8,1.7,3.0,1.9,0.4,0.6,0.6,0.2
Wilbur Wood,1014248,0.2,0.4,1.3,1.3,0.4,1.9,8.7,6.1,7.4,4.7,3.4
Paul Quantrill,669,0.7,1.2,-0.1,2.0,0.3,1.9,1.6,0.2,0.9,1.7,1.4
Francisco Liriano,3201,3.6,1.4,0.7,5.6,0.6,1.5,3.1,1.6,3.3,0.5,0.7
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3,8.6,8.8,9.8
Neal Heaton,1005568,0.4,2.4,1.3,2.0,0.9,2.3,-1.0,0.4,0.9,-0.1,-0.3
Phil Regan,1010785,0.3,0.4,1.3,0.3,1.0,0.4,1.6,0.7,0.4,1.0,0.0
Jason Vargas,8044,1.7,-0.6,0.5,3.4,2.7,1.5,1.7,2.3,0.4,1.9,0.2
John Candelaria,1001909,2.6,2.5,2.9,2.7,2.2,4.0,0.4,3.7,4.5,3.3,1.8
Bruce Chen,769,-0.1,1.7,0.5,-0.2,0.6,1.6,-0.7,0.0,1.2,1.4,1.7
Ken Forsch,1004234,4.1,0.8,2.6,1.0,0.7,0.5,1.5,2.4,1.8,2.4,3.1
Ted Lilly,833,0.8,1.3,3.1,3.0,0.5,2.1,3.8,2.8,3.7,2.5,2.2
Carlos Villanueva,4138,0.5,0.4,0.7,0.5,0.1,1.3,0.6,1.2,1.3,0.2,-0.7
Cole Hamels,4972,2.6,3.9,4.7,3.7,3.6,5.1,4.6,4.6,4.5,4.5,3.3
Andy Hassler,1005480,0.4,1.1,1.1,1.5,2.2,1.7,0.9,0.6,-0.2,0.0,0.4
Dan Schatzeder,1011527,0.5,1.3,2.1,-0.5,0.2,1.1,1.3,0.8,-0.4,0.0,0.2
Pete Schourek,1011608,0.5,1.3,0.9,0.7,4.2,1.0,-0.4,0.8,0.4,0.8,-0.2
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4,2.4,2.0,0.2
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9,3.4,4.3,2.1
Edwin Jackson,1841,0.1,1.2,1.5,3.7,3.2,3.4,2.1,2.2,0.7,0.0,-0.2
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4,0.9,3.4,3.2
Fritz Peterson,1010227,3.5,2.8,3.6,6.8,4.4,4.1,2.9,1.3,1.5,1.2,0.9
Zack Greinke,1943,1.8,2.0,2.1,4.2,8.6,4.9,3.2,4.8,3.5,4.5,5.4
Ubaldo Jimenez,3374,0.9,4.2,5.3,5.9,3.3,0.9,3.5,0.4,2.6,1.6,-0.1
Ricky Nolasco,3830,1.2,4.3,4.2,2.2,3.2,2.3,3.5,1.3,0.8,2.8,0.5
David Cone,1680,0.5,5.3,3.3,5.0,6.5,5.2,3.9,3.8,4.5,2.2,4.9
Nelson Briles,1001432,1.0,1.2,2.1,2.4,3.4,0.7,1.2,3.5,2.7,1.3,0.4
Mark Gubicza,1005115,2.7,2.2,3.0,3.8,6.2,6.3,1.6,2.1,2.1,2.3,2.7
Luis Tiant,1013054,2.0,2.8,2.5,3.7,7.4,0.5,0.5,0.9,3.6,5.0,6.5
Bud Black,1001007,0.3,1.1,4.3,3.6,0.1,1.1,0.6,3.4,2.4,0.8,-0.1
Ron Perranoski,1010201,0.9,1.7,0.0,0.5,0.4,0.2,0.3,0.5,1.2,0.8,-0.2
Marty Pattin,1010074,0.1,0.2,4.3,3.4,4.6,1.8,1.0,2.3,1.4,0.3,-0.1
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7,1.4,4.1,0.3,1.0
Joe Blanton,4849,2.2,3.2,5.3,1.8,2.1,1.8,0.6,2.5,-0.4,1.1,0.8
Ray Sadecki,1011360,1.4,1.8,0.7,1.2,3.7,1.2,-0.3,4.0,4.6,0.7,1.0
Lee Smith,1012175,0.9,2.7,2.4,2.1,2.7,1.8,2.9,1.6,1.5,2.4,2.0
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8,0.7,0.5,2.2
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7.0,6.8,5.3,6.6,6.1,5.6,2.7
Oliver Perez,1514,0.6,0.4,4.5,-0.8,0.1,2.7,1.6,-0.6,-1.1,0.8,0.4
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5,6.2,6.7,4.9,5.2,3.4,3.9
Orel Hershiser,1005741,4.0,5.4,3.6,5.6,4.0,5.6,2.5,2.3,3.0,1.1,2.5
Anibal Sanchez,3284,1.9,0.0,0.3,0.7,4.2,3.7,3.5,5.8,3.3,1.3,0.9
Rich Gossage,1004894,0.5,-0.8,0.7,4.0,2.0,4.2,2.4,1.0,3.2,1.4,3.6
Dave Smith,1012117,1.9,1.1,-0.6,0.2,0.3,1.3,0.2,2.8,0.9,0.7,0.9
Javier Vazquez,801,0.5,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7,4.8,4.9
C.J. Wilson,3580,0.3,0.0,0.7,-0.5,1.8,4.3,5.2,2.6,2.9,0.5,1.5
Bill Lee,1007448,-0.2,0.5,1.1,0.3,5.2,3.7,3.5,-0.2,1.2,0.7,1.8
Bruce Ruffin,1011294,2.7,2.5,0.4,0.7,0.9,2.2,-0.3,1.7,0.7,0.5,1.6
Tom Glavine,90,0.0,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3,5.3,3.6
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0,1.0,2.8
Larry Gura,1005150,-0.2,0.7,1.1,1.8,0.0,1.1,3.1,1.3,4.1,2.7,1.9
Kevin Correia,1767,0.0,-0.4,1.0,1.1,0.4,3.1,0.1,0.3,0.9,1.5,0.5
Jim Brewer,1001406,0.3,-0.5,1.1,0.2,0.8,0.2,0.8,0.7,1.1,0.6,0.1
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4,1.2,1.4,0.2
Jason Grilli,521,-0.2,0.0,0.6,1.0,0.4,0.5,1.3,1.5,0.3,1.3,0.0
Jason Hammel,4538,0.3,0.3,-0.2,3.5,3.2,1.1,2.6,0.6,1.8,2.3,1.3
Randy Myers,1009427,1.5,1.7,1.6,2.0,1.3,0.3,1.6,0.5,0.4,1.3,2.0
John Lackey,1507,1.9,1.8,3.1,5.3,5.3,5.0,1.4,3.2,3.4,0.9,2.4
Matt Thornton,1918,0.2,-0.9,0.9,0.9,1.8,2.3,2.2,1.4,1.3,0.1,0.6
Jimmy Key,1006885,-0.4,2.8,3.4,5.6,1.6,4.6,2.4,5.3,2.7,5.2,4.0
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7,3.2,-0.5,1.0
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0,5.8,2.5,3.7
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2,1.0,-0.7
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9,7.8
Don Aase,1000003,2.2,1.6,1.8,1.9,0.7,0.6,0.8,1.5,1.9,-0.4,-0.3
Jim Bunning,1001653,6.9,6.3,4.6,2.7,5.6,7.3,6.8,6.8,0.6,3.8,4.1
Mark Gardner,1004529,2.3,0.8,1.9,-0.1,0.4,0.4,1.4,1.4,2.0,-0.2,2.0
Sonny Siebert,1011951,2.6,5.4,3.4,2.3,2.7,2.1,3.3,4.4,2.7,1.7,1.6
Jarrod Washburn,40,0.6,1.0,0.3,2.5,4.2,1.6,1.7,2.0,1.9,2.0,1.5
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1,1.6,2.6,1.4,0.2,0.7,0.2
Clayton Kershaw,2036,1.3,4.1,4.5,7.4,6.2,7.3,8.0,8.7,6.4,4.3,3.3
Mike Hampton,430,-0.1,2.3,2.4,3.1,2.3,4.9,4.6,1.9,0.3,2.6,1.9
Bob Veale,1013391,1.0,1.4,6.5,8.0,5.3,2.0,2.6,6.0,3.7,-0.2,0.5
Armando Benitez,865,-0.3,1.7,0.4,3.1,1.5,0.3,1.0,0.9,1.6,-0.2,-0.3
Steve Trachsel,898,1.5,0.7,1.6,1.7,1.8,2.5,2.4,2.0,2.1,1.8,1.5
Don McMahon,1008629,-0.7,0.2,0.9,-0.5,0.8,0.1,0.1,0.3,0.8,0.9,0.2
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6,1.3,2.0,1.8
Mike Timlin,1187,1.5,0.7,0.2,0.2,1.3,1.4,0.6,1.8,0.3,0.1,0.7
Ryan Madson,1852,1.3,0.8,0.9,0.4,1.2,1.2,1.2,1.8,0.9,0.4,1.9
Mark Eichhorn,1003712,0.4,4.9,0.8,0.0,0.5,2.1,1.9,1.6,1.0,1.6,0.4
Dave Stieb,1012532,1.6,4.3,2.9,4.8,5.1,5.6,4.5,0.8,2.5,3.1,2.7
Rick Aguilera,1000086,2.0,1.6,1.6,3.6,1.3,1.5,0.8,1.0,0.8,1.3,1.5
Dick Ruthven,1011330,1.4,3.4,0.4,3.9,2.1,3.4,1.6,3.2,1.6,2.2,2.3
Scott Downs,773,1.0,0.4,1.0,0.5,1.1,1.0,0.8,1.1,0.6,0.2,0.5
Trevor Hoffman,1035,0.4,1.6,0.1,2.9,2.3,3.1,2.2,2.6,0.3,2.0,1.8
Wilson Alvarez,1193,-0.2,-0.6,2.7,2.8,1.5,4.2,3.8,1.3,1.8,0.0,2.5
Gene Garber,1004493,1.0,-0.1,0.4,1.8,2.3,1.2,1.1,0.9,0.7,2.2,-0.1
Bruce Hurst,1006222,0.0,0.4,2.6,1.8,3.3,4.2,3.5,3.8,5.2,4.0,3.9
Tippy Martinez,1008200,-0.4,0.4,0.3,0.5,2.2,1.6,0.6,1.8,1.2,0.2,-0.1
Scott Feldman,6283,0.3,-0.4,0.6,2.9,1.2,0.2,2.3,2.2,1.2,0.8,0.2
Larry Dierker,1003288,1.8,2.4,2.1,1.9,7.3,3.6,3.3,3.3,2.9,0.9,2.3
Dave Righetti,1010958,3.5,2.9,5.4,2.6,2.7,3.0,1.2,1.4,1.2,-0.4,0.6
Bob Stanley,1012409,1.7,2.3,4.0,2.5,0.3,2.0,2.3,1.1,0.7,0.8,1.9
Ray Burris,1001729,1.4,0.3,2.4,2.8,2.1,1.8,0.1,0.6,1.2,-0.5,1.5
Mike Moore,1009122,0.4,2.4,4.2,5.9,3.7,3.1,4.6,4.4,1.3,3.4,1.4
Bob Walk,1013507,2.0,-0.3,0.8,1.3,0.2,1.1,3.2,1.5,0.8,1.1,0.6
Brett Tomko,1056,1.5,3.6,1.4,0.5,-0.5,1.3,1.0,2.7,2.3,1.0,1.2
Jack Billingham,1000970,0.3,-0.2,3.7,4.1,2.5,3.7,3.0,0.5,0.7,1.0,2.0
Bill Campbell,1001874,0.6,2.2,0.7,1.7,1.7,1.8,0.2,0.2,0.2,0.9,2.0
Joaquin Benoit,1437,0.7,-0.1,1.0,1.5,1.2,1.8,-0.2,1.7,1.2,0.1,1.4
Ramon Martinez,1008193,0.4,0.8,4.9,2.9,1.1,1.9,1.9,2.2,2.0,1.3,1.9
Bob Welch,1013750,2.4,1.0,2.9,1.9,3.3,3.7,2.8,2.1,5.4,4.5,3.0
Bob Wickman,413,0.7,0.9,1.6,0.8,0.6,1.1,1.0,0.8,1.8,2.0,0.7
Norm Charlton,1002160,0.6,1.4,2.4,1.9,1.5,0.8,1.5,1.2,-0.2,0.0,0.3
Josh Beckett,510,1.9,4.0,3.3,4.2,1.0,5.7,4.3,4.3,1.0,3.8,2.0
Arthur Rhodes,1097,0.1,2.0,-0.4,0.5,0.2,1.0,1.9,1.0,-0.4,1.6,2.5
Steve Kline,1164,-0.6,0.8,0.6,1.1,1.2,0.7,-0.1,0.6,-0.7,0.2,0.2
Ismael Valdez,1283,3.8,4.4,3.9,2.2,2.2,0.4,2.0,2.4,0.2,-0.5,0.0
J.P. Howell,8245,0.2,0.7,0.4,1.5,0.7,-0.5,-0.4,0.9,0.4,0.3,0.3
Mark Langston,1007323,4.4,-0.7,4.1,6.4,4.0,4.8,4.6,3.0,5.4,5.6,1.6
