Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9
Dustin Hermanson,195,-0.9,2.3,3.1,4.0,1.4,0.5,0.1,1.7,1.3
Kent Mercker,439,-0.2,0.7,0.0,1.1,1.6,1.5,-0.3,0.9,2.3
Scott Bankhead,1000510,1.8,0.9,3.6,3.5,0.1,0.5,0.1,0.2,-0.5
Sergio Romo,9817,0.5,1.1,1.2,2.0,1.0,1.0,-0.2,1.8,0.1
Jim Gott,1004898,1.0,2.8,1.5,2.0,2.0,0.7,-0.1,0.7,0.8
Al Hrabosky,1006116,1.1,1.9,2.5,0.8,-0.6,0.8,0.3,-0.7,0.3
Claude Osteen,1009878,-0.5,2.1,2.3,4.4,3.5,4.8,3.8,1.9,5.5
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1,7.8
Jim Maloney,1008039,0.7,-0.6,1.5,6.4,4.9,6.5,4.9,4.5,2.9
Sidney Ponson,161,1.2,1.4,3.2,1.3,1.7,4.4,3.0,1.0,0.5
Ron Villone,1010,-0.6,-0.2,0.1,2.4,0.2,0.8,0.4,1.2,0.3
Jim Clancy,1002255,0.5,3.0,0.4,3.2,0.4,4.3,2.8,1.8,1.6
Ron Guidry,1005124,5.7,9.1,6.2,3.9,2.8,4.0,3.9,2.8,4.9
Mike Magnante,929,0.5,0.5,0.4,0.2,0.1,0.3,1.1,0.3,1.0
Jamie Moyer,1091,0.3,1.5,2.1,0.2,1.0,-0.2,3.2,1.9,1.2
Ugueth Urbina,216,0.9,0.8,2.2,2.2,1.2,1.3,1.3,0.1,0.7
Brad Ziegler,7293,0.5,1.1,0.1,1.0,0.6,0.5,0.0,0.7,1.3
Craig Lefferts,1007476,0.1,1.4,0.3,0.8,-0.2,0.6,0.6,0.5,1.4
Koji Uehara,9227,1.8,1.3,1.2,0.8,3.1,1.1,1.4,0.6,0.6
Al Fitzmorris,1004119,0.0,1.3,0.0,1.4,2.3,2.6,3.7,1.2,-0.3
Danny Jackson,1006295,0.7,4.6,2.9,4.3,5.2,0.9,1.7,-0.5,2.8
Joe Niekro,1009582,2.0,-0.1,1.6,1.6,0.2,0.8,0.1,0.8,0.4
Miguel Batista,46,0.0,0.7,2.0,-0.9,1.3,3.1,4.3,1.6,0.5
Terry Adams,946,0.8,1.0,0.5,0.3,0.8,4.3,1.9,1.5,0.2
Gavin Floyd,3886,-0.6,-0.1,2.3,4.0,4.2,3.1,1.9,0.6,0.2
Hank Aguirre,1000087,2.1,-0.2,5.2,2.6,1.8,2.4,0.4,0.5,0.2
Dennis Eckersley,1003660,2.8,4.6,4.6,3.9,4.4,2.9,3.2,3.1,0.8
John Hiller,1005817,1.6,1.0,0.5,0.9,0.2,2.8,3.0,1.6,1.6
Gaylord Perry,1010210,0.5,-0.3,3.6,2.3,7.3,5.6,5.5,5.9,6.3
Rick Wise,1014155,0.0,1.9,3.4,2.0,3.7,3.8,4.6,4.8,5.1
Mike Stanton,849,0.8,0.1,0.3,0.3,-0.1,0.7,1.4,0.1,1.5
Charlie Morton,4676,0.0,1.6,-0.3,2.0,0.4,1.4,1.3,0.7,3.1
