Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8
Doug Bair,1000439,-0.7,2.0,0.6,0.1,0.1,0.3,-0.2,0.3
Charlie Leibrandt,1007492,1.0,0.3,0.4,1.9,4.1,3.7,4.4,3.4
Orlando Pena,1010150,1.8,3.4,1.3,0.9,-0.4,0.8,0.0,0.5
Don Cardwell,1001941,2.3,4.3,1.4,1.5,2.2,0.1,1.1,1.3
Larry Christenson,1002215,0.0,2.9,2.4,2.7,4.6,1.3,1.2,1.7
Francisco Cordero,1243,-0.4,1.2,2.1,2.7,1.4,1.3,2.4,0.7
Jerry Koosman,1007103,3.6,5.4,2.3,2.2,2.9,4.4,5.4,3.1
Curt Schilling,73,0.7,0.9,4.2,4.5,0.8,2.8,4.7,8.2
Dustin Hermanson,195,-0.9,2.3,3.1,4.0,1.4,0.5,0.1,1.7
Kent Mercker,439,-0.2,0.7,0.0,1.1,1.6,1.5,-0.3,0.9
Daisuke Matsuzaka,7775,2.9,2.7,0.3,2.1,0.2,-0.4,0.4,0.3
Scott Bankhead,1000510,1.8,0.9,3.6,3.5,0.1,0.5,0.1,0.2
Sergio Romo,9817,0.5,1.1,1.2,2.0,1.0,1.0,-0.2,1.8
Jim Gott,1004898,1.0,2.8,1.5,2.0,2.0,0.7,-0.1,0.7
Al Hrabosky,1006116,1.1,1.9,2.5,0.8,-0.6,0.8,0.3,-0.7
Claude Osteen,1009878,-0.5,2.1,2.3,4.4,3.5,4.8,3.8,1.9
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1
Jim Kern,1006868,0.5,3.6,2.4,2.0,4.7,-0.3,0.1,0.0
Jim Maloney,1008039,0.7,-0.6,1.5,6.4,4.9,6.5,4.9,4.5
Bob Shaw,1011819,1.7,2.2,3.3,1.7,0.5,4.3,2.3,0.7
Sidney Ponson,161,1.2,1.4,3.2,1.3,1.7,4.4,3.0,1.0
Ron Villone,1010,-0.6,-0.2,0.1,2.4,0.2,0.8,0.4,1.2
Jim Clancy,1002255,0.5,3.0,0.4,3.2,0.4,4.3,2.8,1.8
Ron Guidry,1005124,5.7,9.1,6.2,3.9,2.8,4.0,3.9,2.8
Mike Magnante,929,0.5,0.5,0.4,0.2,0.1,0.3,1.1,0.3
Jamie Moyer,1091,0.3,1.5,2.1,0.2,1.0,-0.2,3.2,1.9
Tony Watson,3132,-0.3,0.6,0.6,1.3,1.3,-0.1,0.1,1.8
Ugueth Urbina,216,0.9,0.8,2.2,2.2,1.2,1.3,1.3,0.1
Brad Ziegler,7293,0.5,1.1,0.1,1.0,0.6,0.5,0.0,0.7
Craig Lefferts,1007476,0.1,1.4,0.3,0.8,-0.2,0.6,0.6,0.5
Koji Uehara,9227,1.8,1.3,1.2,0.8,3.1,1.1,1.4,0.6
Al Fitzmorris,1004119,0.0,1.3,0.0,1.4,2.3,2.6,3.7,1.2
Whitey Ford,1004227,2.5,5.8,4.9,5.2,6.8,4.6,0.5,0.8
Danny Jackson,1006295,0.7,4.6,2.9,4.3,5.2,0.9,1.7,-0.5
Joe Niekro,1009582,2.0,-0.1,1.6,1.6,0.2,0.8,0.1,0.8
Miguel Batista,46,0.0,0.7,2.0,-0.9,1.3,3.1,4.3,1.6
Terry Adams,946,0.8,1.0,0.5,0.3,0.8,4.3,1.9,1.5
Gavin Floyd,3886,-0.6,-0.1,2.3,4.0,4.2,3.1,1.9,0.6
Hank Aguirre,1000087,2.1,-0.2,5.2,2.6,1.8,2.4,0.4,0.5
Dennis Eckersley,1003660,2.8,4.6,4.6,3.9,4.4,2.9,3.2,3.1
John Hiller,1005817,1.6,1.0,0.5,0.9,0.2,2.8,3.0,1.6
Gaylord Perry,1010210,0.5,-0.3,3.6,2.3,7.3,5.6,5.5,5.9
Rick Wise,1014155,0.0,1.9,3.4,2.0,3.7,3.8,4.6,4.8
Mike Stanton,849,0.8,0.1,0.3,0.3,-0.1,0.7,1.4,0.1
Charlie Morton,4676,0.0,1.6,-0.3,2.0,0.4,1.4,1.3,0.7
Tom Gorzelanny,6244,1.0,3.1,-0.7,0.7,1.8,0.7,0.1,0.5
Joakim Soria,6941,2.1,1.3,1.6,1.9,0.9,1.5,0.4,0.2
Jim Bouton,1001241,1.6,3.6,2.4,0.0,0.9,-0.2,0.0,0.6
Kelly Downs,1003453,1.7,3.3,2.9,0.9,1.0,-0.4,0.6,0.0
Al Jackson,1006288,4.0,1.3,2.0,2.3,2.9,0.7,1.4,-0.6
Geoff Zahn,1014410,1.6,0.7,2.0,3.4,2.7,3.6,1.1,3.5
Jon Lieber,287,1.7,1.2,1.4,3.2,2.6,4.5,4.4,4.4
Don Drysdale,1003516,6.2,3.5,6.5,5.8,6.9,3.4,4.1,4.3
Jim McGlothlin,1008532,0.3,3.1,1.7,2.1,1.4,1.6,0.4,-1.1
Bob Patterson,1010055,1.2,0.2,1.1,0.7,-0.3,0.3,0.1,0.7
Ed Whitson,1013911,0.5,1.2,3.2,0.7,1.1,-0.1,2.6,2.0
Darren O'Day,3321,0.3,1.3,1.1,1.5,0.7,0.9,1.8,0.1
Mike Kekich,1006764,0.3,0.5,0.0,0.8,0.2,-0.5,-0.1,-0.3
Jason Isringhausen,1158,1.5,2.1,0.1,0.9,1.8,2.5,0.9,1.7
Terry Leach,1007427,0.1,0.5,0.7,1.0,0.3,-0.1,1.5,0.9
John Smoltz,115,-0.4,4.0,3.6,3.7,5.0,3.9,2.1,4.6
Chad Billingsley,5842,0.7,2.2,3.9,2.7,4.1,2.6,3.0,0.2
J.R. Richard,1010913,1.8,0.5,2.3,3.3,5.0,6.4,8.9,3.8
Dick Tidrow,1013056,2.5,2.5,2.4,0.1,1.5,0.5,2.2,0.7
Mike Morgan,67,-0.2,0.9,-0.1,2.5,3.1,0.5,2.5,2.1
Jeremy Affeldt,583,0.9,2.5,1.0,0.3,-0.5,0.4,0.4,0.5
Jason Frasor,1906,0.8,0.6,0.2,1.0,-0.1,1.4,0.9,0.1
Bill Gullickson,1005136,3.2,4.8,2.8,3.4,1.8,3.0,3.2,1.1
Steve Howe,1006107,1.7,0.7,2.0,2.2,0.2,0.5,1.2,-0.2
Catfish Hunter,1006199,0.3,1.8,5.2,1.4,1.3,3.1,3.2,4.5
Clay Kirby,1006960,0.6,-0.1,4.4,1.6,0.4,4.1,-0.4,-0.8
Dennys Reyes,444,0.5,1.2,0.9,0.0,0.5,0.2,1.1,-0.2
Julian Tavarez,541,-0.1,1.6,0.9,0.0,0.3,-0.3,1.5,2.2
Al Leiter,883,0.5,0.3,0.9,2.5,3.0,3.4,1.3,4.8
Doyle Alexander,1000122,0.9,1.1,0.8,0.6,1.2,1.3,1.7,1.4
Larry McWilliams,1008700,0.7,1.1,0.5,0.9,2.6,4.3,2.9,0.1
Randy Moffitt,1009027,-0.1,0.7,0.2,-0.4,0.2,1.1,0.3,-0.6
Ron Taylor,1012885,-0.1,2.1,-0.2,0.0,0.2,0.9,0.5,0.0
Aaron Heilman,1751,-0.5,2.1,1.7,0.9,-0.4,0.3,-0.1,-0.4
J.J. Putz,1795,-0.2,-0.1,3.4,2.1,0.6,1.5,1.4,1.4
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7
Troy Percival,29,2.4,2.3,1.1,1.7,0.6,0.2,2.2,1.6
Chad Gaudin,1783,0.2,0.3,0.1,1.8,0.7,1.9,-1.0,0.2
Mat Latos,3815,0.3,4.3,4.1,2.7,5.0,1.8,1.6,0.2
Steve Cishek,6483,1.0,0.8,1.5,2.3,0.1,1.0,0.7,0.9
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6
Armando Reynoso,72,2.0,0.3,0.7,1.4,1.0,0.7,1.4,2.1
Juan Cruz,273,0.9,0.1,0.7,0.5,-0.2,1.6,0.6,0.5
Mark Wohlers,414,0.3,0.8,1.0,2.6,2.2,1.8,0.3,0.4
Ben Sheets,710,1.3,3.8,3.8,8.0,3.7,4.0,2.5,4.7
Wade Davis,7441,1.0,1.1,1.4,1.0,1.5,3.1,2.0,1.4
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4
Pedro Ramos,1010681,4.5,3.2,0.6,2.4,2.4,0.8,0.4,-0.4
Mike Witt,1014174,1.6,3.8,0.7,5.9,4.7,6.7,4.0,4.4
Juan Acevedo,458,-0.1,-0.2,1.3,-0.3,0.1,0.1,0.9,-0.2
Jamie Walker,502,-0.2,-0.2,0.3,1.0,0.3,0.5,0.8,-1.0
Kenley Jansen,3096,1.6,2.2,2.5,2.2,1.6,3.1,3.4,0.3
Roberto Hernandez,3273,0.4,3.3,0.6,0.2,3.0,1.5,0.0,0.1
Woodie Fryman,1004381,3.0,0.3,2.9,3.0,2.4,3.1,2.7,1.7
Dave LaRoche,1007354,0.0,1.0,0.1,-0.3,-0.1,1.3,2.6,0.3
Erik Bedard,126,2.4,3.4,4.6,5.0,1.0,2.0,2.1,1.4
Josh Fogg,989,0.8,0.6,1.7,0.5,1.7,1.3,-0.6,-0.1
Chan Ho Park,1267,1.1,2.1,3.7,1.2,3.9,4.3,1.0,-0.3
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2
Gary Lavelle,1007389,0.0,0.1,3.0,0.9,1.3,0.9,0.7,1.3
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0
Andrew Miller,6785,0.3,1.9,0.7,-0.4,-0.1,0.5,0.3,2.2
Shane Rawley,1010719,0.9,1.9,1.6,0.9,3.2,3.2,1.6,1.6
Kevin Appier,3,3.2,4.7,4.8,6.8,4.0,5.3,6.3,5.2
Scot Shields,35,0.2,2.4,2.1,2.2,1.6,0.8,0.6,-0.5
Luis Vizcaino,714,-0.2,1.5,-0.5,0.4,0.3,0.6,0.3,0.0
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2
Ben McDonald,1008454,1.8,1.3,2.0,4.5,3.0,1.0,4.2,3.0
Steve Barber,1000530,1.7,3.5,2.3,5.4,1.1,2.9,2.6,0.6
Steve Crawford,1002749,0.3,-0.2,-0.2,1.6,0.4,-0.6,0.4,0.4
Ed Farmer,1003935,-0.2,-0.9,-0.2,-0.3,1.9,0.1,-0.3,0.4
Teddy Higuera,1005799,3.0,5.1,6.7,5.9,2.2,3.0,1.1,0.3
Jim Palmer,1009973,0.6,2.0,-0.1,3.7,6.2,4.6,4.4,4.6
Matt Belisle,1837,0.4,0.0,2.4,0.0,2.0,1.2,1.8,1.3
Curt Simmons,1011980,2.5,3.9,2.4,5.1,3.0,2.7,0.6,0.5
Denny Neagle,441,-0.1,0.4,1.8,4.2,3.4,5.2,3.1,0.3
Hideo Nomo,666,5.2,4.4,3.4,1.4,2.1,2.1,3.0,2.9
Rick Reed,750,0.6,0.4,1.1,3.6,3.0,1.5,2.6,3.3
Kirk Rueter,1128,1.4,1.0,1.0,0.9,3.0,0.9,1.4,1.2
Brett Cecil,2660,0.3,2.5,0.5,0.1,0.9,1.2,1.3,0.4
Fernando Salas,4971,0.0,0.9,0.3,0.6,0.7,0.1,0.3,-0.1
Doc Medich,1008714,3.5,3.4,3.7,2.7,1.8,2.4,1.9,3.2
Bruce Sutter,1012743,1.9,5.2,2.3,4.8,1.9,1.1,0.2,0.5
Danny Darwin,1002996,1.0,2.5,1.7,1.0,3.2,3.7,1.3,3.2
Pat Jarvis,1006363,2.0,2.2,4.3,1.8,5.5,1.3,0.8,-0.4
George Stone,1012565,0.3,1.3,2.8,2.7,-0.2,1.7,0.2,0.5
Damaso Marte,247,0.2,1.6,2.5,0.5,0.2,0.6,1.0,1.4
Jake Westbrook,412,0.8,0.1,1.0,3.0,2.9,3.6,1.7,0.3
Jose Lima,475,0.9,0.6,0.4,2.7,4.7,-0.1,-0.2,0.0
Ryan Dempster,517,-0.3,0.7,3.4,2.2,1.4,0.7,1.8,0.9
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8
Glenn Abbott,1000010,1.5,0.3,0.4,1.5,1.2,0.2,2.5,1.4
Mike Henneman,1005656,1.9,1.3,0.5,1.2,1.8,1.2,1.2,0.0
Alejandro Pena,1010140,-0.2,4.1,4.7,0.4,0.8,1.7,1.1,1.3
Paul Splittorff,1012346,3.7,3.9,4.1,1.4,2.0,0.9,3.7,2.9
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4
Orlando Hernandez,823,3.4,3.4,2.4,0.1,3.1,1.7,1.3,2.7
Joel Pineiro,1094,2.0,2.5,3.5,1.8,1.8,0.4,0.4,0.6
Ken Brett,1001402,0.0,2.0,0.2,0.7,2.6,4.0,0.7,3.3
Matt Cain,4732,0.7,3.8,4.1,3.7,3.3,4.0,4.5,3.2
Xavier Hernandez,1005715,-0.8,0.4,1.1,2.1,-0.1,0.9,0.0,-0.1
John Smiley,1012084,-0.1,3.5,2.2,1.9,3.4,5.0,0.8,2.6
John Tudor,1013215,1.8,0.2,3.5,1.8,2.5,6.4,2.1,0.9
Neftali Feliz,18,1.1,2.0,1.0,0.6,-0.2,0.4,-0.1,-0.6
Matt Herges,780,1.5,0.5,-0.2,1.6,0.0,0.3,0.4,0.5
Wade Miley,8779,-0.1,3.9,1.6,1.2,2.7,1.7,0.6,1.4
Juan Agosto,1000084,0.9,0.0,0.7,-0.6,0.2,0.0,-0.4,0.6
Richard Dotson,1003424,1.5,1.3,2.4,2.9,2.0,0.8,2.1,2.4
Ramon Ortiz,27,0.6,0.7,2.3,1.6,0.8,0.8,0.3,0.2
Gil Heredia,1005686,0.2,-0.2,1.0,1.3,2.4,0.3,1.0,4.2
Roger McDowell,1008475,0.9,1.4,0.0,0.8,0.4,0.8,0.1,0.1
A.J. Burnett,512,0.6,0.9,1.4,4.8,2.9,5.0,2.9,2.3
Tommy Hunter,1157,1.7,1.0,0.5,-0.4,0.7,0.7,0.3,0.6
Luke Gregerson,4090,2.1,1.3,0.6,0.6,1.2,0.9,1.1,1.1
Ted Abernathy,1000020,0.5,0.0,1.2,-0.6,1.8,-0.7,0.0,0.3
Wade Blasingame,1001057,-0.3,0.7,0.6,0.1,0.0,-0.2,1.9,1.9
Ron Davis,1003075,1.3,1.1,1.6,0.0,2.1,0.0,0.7,-0.8
Jeff Parrett,1010019,0.1,-0.5,1.4,0.2,0.8,0.5,0.5,0.9
Sammy Stewart,1012528,-0.3,0.5,-0.1,1.5,1.5,0.3,-0.3,-0.5
Josh Tomlin,9388,0.7,2.1,0.3,0.9,0.5,1.0,2.1,-1.4
Mike Myers,68,1.1,-0.5,0.0,0.0,0.9,0.6,0.3,-0.3
Vicente Romo,1011177,0.4,1.7,0.8,0.4,0.3,-0.9,-0.9,0.5
Dave Schmidt,1011580,0.3,2.5,0.6,1.5,1.2,0.9,2.2,0.7
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3
Jaime Garcia,8137,2.4,3.2,2.6,0.5,0.4,2.8,1.1,1.9
Bill Castro,1002077,0.9,0.0,-0.1,0.3,0.5,1.2,0.3,-0.1
Reggie Cleveland,1002347,3.5,3.5,4.3,1.5,1.6,2.6,2.7,1.0
Dick Drago,1003475,2.5,3.8,4.7,2.9,2.8,1.9,0.8,-0.6
Wayne Twitchell,1013244,2.7,3.5,0.4,1.1,1.2,1.7,-1.5,-1.1
Jason Grimsley,602,0.6,0.2,0.5,1.4,-0.4,0.9,0.2,0.3
Edinson Volquez,3990,-0.2,0.5,3.6,0.2,0.7,-0.3,1.4,0.7
Bob Miller,1008877,1.2,0.3,0.7,2.7,1.1,0.4,0.3,-1.0
Mel Rojas,1011153,-0.6,0.4,1.4,0.3,0.9,1.2,2.0,-0.2
Lary Sorensen,1012279,2.3,5.0,1.9,2.4,3.0,2.0,2.2,0.9
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3
Bob Shirley,1011911,1.6,1.9,2.3,-0.1,0.1,0.1,1.0,0.9
Graeme Lloyd,783,0.6,0.6,0.1,0.7,-0.1,0.4,0.1,0.5
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5
Rick Mahler,1007988,1.4,2.4,3.4,2.8,2.1,1.0,4.3,3.2
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4
Matt Keough,1006858,0.3,3.2,1.6,2.2,1.6,-1.4,-0.9,-0.2
Jim Lonborg,1007724,2.5,2.8,5.7,0.2,1.8,0.7,1.9,2.3
Johnny Podres,1010406,3.6,2.3,4.5,1.8,-0.2,0.5,-0.2,-0.5
Jim Slaton,1012054,0.1,0.0,2.4,2.1,0.8,4.1,1.5,1.3
Antonio Osuna,249,0.3,1.2,0.8,0.3,0.7,2.0,0.8,0.6
Andy Benes,1144,0.9,2.9,3.6,4.7,3.5,4.2,3.3,2.4
Huston Street,8258,1.7,2.3,1.4,1.1,1.5,0.8,0.4,1.1
Jim Roland,1011156,0.5,0.0,-0.2,0.5,0.6,0.3,-0.2,-0.7
Danny Graves,326,0.4,0.8,0.8,1.2,1.3,0.3,-0.1,-0.9
Clay Carroll,1001997,-0.1,1.5,0.2,1.0,0.6,1.4,0.2,0.4
Andy Pettitte,840,3.2,4.6,7.2,3.2,2.6,3.9,5.8,3.9
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4
Chad Bradford,904,0.6,0.3,2.0,0.6,0.1,1.5,1.1,0.4
Felix Heredia,1304,0.4,0.7,0.3,0.4,-0.2,0.0,-0.1,-0.1
John Danks,6329,0.6,5.0,2.7,4.5,2.9,0.3,0.2,0.6
Scott Linebrink,564,0.7,1.4,1.8,1.0,-0.5,0.5,0.1,-0.1
Ramiro Mendoza,836,1.1,1.7,2.0,1.9,0.5,1.7,1.3,-0.1
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7
Casey Janssen,7355,1.0,0.9,0.2,0.3,1.2,1.1,1.2,0.1
Tom Hall,1005262,2.4,4.1,2.1,1.1,0.4,-0.2,-0.6,-0.5
Rick Reuschel,1010852,4.2,6.1,4.7,4.7,4.8,6.5,4.5,3.9
Jason Jennings,434,0.9,2.1,2.2,1.5,1.4,4.2,0.4,0.1
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1
Doug Davis,1244,0.5,3.6,0.6,0.7,4.4,3.7,2.8,2.2
Adam Wainwright,2233,1.2,3.7,2.4,5.2,5.0,3.9,6.2,5.0
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1,7.6
Dean Chance,1002130,3.5,4.8,7.6,3.2,2.9,6.9,7.7,1.3
Juan Guzman,1005162,3.4,5.5,4.3,1.8,1.8,4.6,-0.2,2.8
Carlos Silva,973,0.7,0.1,2.6,2.1,-0.5,2.6,1.4,-0.1
Joe Nathan,1122,-0.3,-0.1,1.2,3.0,2.6,3.1,2.0,1.9
Craig Kimbrel,6655,2.8,3.1,2.2,2.5,1.3,1.2,3.2,1.3
Jesse Jefferson,1006380,-0.2,0.0,-0.7,-0.4,2.4,0.7,-0.5,0.9
Bob Ojeda,1009756,0.5,0.2,1.8,2.8,3.1,4.2,0.5,5.1
Jim Rooker,1011183,2.2,2.9,0.8,1.2,2.9,5.4,1.9,2.2
Jason Bere,266,2.1,1.9,-0.1,0.4,0.1,1.7,3.0,0.8
Tim Worrell,1139,0.6,1.9,-0.2,1.0,0.7,0.3,0.9,1.0
Guillermo Mota,1467,0.0,0.2,-0.3,0.4,2.1,1.3,0.6,-0.3
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4
Pascual Perez,1010185,0.9,1.3,4.0,2.6,0.2,1.9,2.9,3.9
Dan Spillner,1012342,1.0,1.5,-0.4,-0.5,1.3,1.4,1.4,1.6
Jordan Zimmermann,4505,1.9,-0.3,3.1,3.3,3.8,5.4,3.0,1.4
Jonathan Broxton,4759,1.4,1.9,2.0,2.6,1.0,1.1,-0.3,0.7
Yovani Gallardo,8173,2.6,2.7,3.6,2.7,2.0,1.5,1.6,2.5
Craig Swan,1012754,0.1,0.1,1.5,1.7,3.8,4.4,0.5,1.7
Mike Norris,1009637,-0.4,-0.3,0.2,1.0,6.0,0.9,-0.2,0.8
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2
Dan Miceli,1463,0.1,-0.6,0.3,1.1,0.2,0.8,0.3,-0.1
Dontrelle Willis,1703,3.4,3.1,6.5,3.0,0.9,-0.1,-0.2,0.8
Chris Young,3196,0.5,3.4,2.2,4.3,1.5,0.1,1.1,-0.1
J.A. Happ,7410,0.4,1.6,1.0,0.7,1.8,1.0,1.2,3.2
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0
Mike Marshall,1008144,0.0,0.9,0.8,0.3,1.8,1.6,4.4,0.4
Yusmeiro Petit,4020,0.2,0.1,0.1,0.8,1.7,-0.1,-0.2,2.0
Jon Matlack,1008246,0.5,4.9,4.7,7.5,4.4,4.4,2.6,6.8
Mike Pelfrey,5203,0.4,3.1,1.9,2.8,1.2,2.4,2.3,0.5
Kyle Kendrick,6230,1.1,0.0,0.5,0.2,1.2,2.0,1.0,-0.8
Bob Bruce,1001573,1.0,0.1,1.6,2.7,4.9,3.4,0.7,0.2
Joe Hoerner,1005895,0.9,0.4,0.7,0.4,0.4,0.7,0.0,0.4
Mike McCormick,1008420,5.1,2.5,-1.0,-0.1,1.9,2.0,2.0,1.5
Rick Waits,1013494,1.3,1.4,1.5,2.8,1.7,3.0,1.9,0.4
Wilbur Wood,1014248,0.2,0.4,1.3,1.3,0.4,1.9,8.7,6.1
Paul Quantrill,669,0.7,1.2,-0.1,2.0,0.3,1.9,1.6,0.2
Gil Meche,1089,0.4,1.5,1.5,1.1,0.5,1.9,3.7,4.2
Francisco Liriano,3201,3.6,1.4,0.7,5.6,0.6,1.5,3.1,1.6
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3
Neal Heaton,1005568,0.4,2.4,1.3,2.0,0.9,2.3,-1.0,0.4
Bill Krueger,1007175,1.2,0.8,0.9,-0.1,0.8,0.8,2.0,1.9
Phil Regan,1010785,0.3,0.4,1.3,0.3,1.0,0.4,1.6,0.7
Jason Vargas,8044,1.7,-0.6,0.5,3.4,2.7,1.5,1.7,2.3
Brett Anderson,8223,3.7,2.5,1.0,0.9,0.3,1.1,1.5,0.8
John Candelaria,1001909,2.6,2.5,2.9,2.7,2.2,4.0,0.4,3.7
Bruce Chen,769,-0.1,1.7,0.5,-0.2,0.6,1.6,-0.7,0.0
Matt Lindstrom,4604,1.4,0.9,0.0,0.2,0.8,0.6,1.0,-0.2
Ken Forsch,1004234,4.1,0.8,2.6,1.0,0.7,0.5,1.5,2.4
Ted Lilly,833,0.8,1.3,3.1,3.0,0.5,2.1,3.8,2.8
Carlos Villanueva,4138,0.5,0.4,0.7,0.5,0.1,1.3,0.6,1.2
Cole Hamels,4972,2.6,3.9,4.7,3.7,3.6,5.1,4.6,4.6
Andy Hassler,1005480,0.4,1.1,1.1,1.5,2.2,1.7,0.9,0.6
Dan Schatzeder,1011527,0.5,1.3,2.1,-0.5,0.2,1.1,1.3,0.8
Pete Schourek,1011608,0.5,1.3,0.9,0.7,4.2,1.0,-0.4,0.8
Rod Scurry,1011700,0.2,0.5,1.0,-0.6,1.1,0.0,0.6,-0.3
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9
Edwin Jackson,1841,0.1,1.2,1.5,3.7,3.2,3.4,2.1,2.2
Wandy Rodriguez,2586,0.4,1.1,3.1,2.9,4.2,3.5,1.5,2.8
Frank DiPino,1003320,2.2,0.8,-0.9,-0.2,0.8,0.8,0.5,-0.1
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4
Don Gullett,1005134,0.9,2.6,1.0,2.5,4.2,2.4,1.3,2.4
Barry Latman,1007377,0.5,1.6,1.4,1.1,0.4,-0.2,1.5,-1.1
Joe Magrane,1007973,2.9,3.0,4.7,3.4,0.2,0.6,-1.1,-0.2
Fritz Peterson,1010227,3.5,2.8,3.6,6.8,4.4,4.1,2.9,1.3
Bryn Smith,1012104,0.6,1.7,2.1,5.1,2.1,2.5,3.2,3.2
Zack Greinke,1943,1.8,2.0,2.1,4.2,8.6,4.9,3.2,4.8
Ubaldo Jimenez,3374,0.9,4.2,5.3,5.9,3.3,0.9,3.5,0.4
Ricky Nolasco,3830,1.2,4.3,4.2,2.2,3.2,2.3,3.5,1.3
Paul Maholm,8678,0.6,1.4,1.8,3.2,3.7,1.8,2.0,1.7
Gabe White,360,0.4,0.2,0.2,3.0,-0.8,1.3,0.4,-0.3
Dave Mlicki,569,1.3,0.8,2.4,1.3,2.7,0.8,-1.3,0.6
David Cone,1680,0.5,5.3,3.3,5.0,6.5,5.2,3.9,3.8
Nelson Briles,1001432,1.0,1.2,2.1,2.4,3.4,0.7,1.2,3.5
Mark Gubicza,1005115,2.7,2.2,3.0,3.8,6.2,6.3,1.6,2.1
Melido Perez,1010183,1.5,0.8,3.4,2.0,5.9,2.4,2.6,0.5
