"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","WAR14","WAR15","Cluster"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","4.9","5.6","1.1","3.3","1","1.5","0.2","B"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","-0.1","0","0.6","2.2","2.5","0.3","D"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","4.9","1.5","1.2","0.9","0.8","0.7","D"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","4.4","3.1","4.3","1.9","1.8","1.4","B"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","0.5","0.5","1.3","1.6","0.3","0.4","G"
"Bob Gibson","1004662","1.1","3.9","6","4.4","5.8","5.1","6","4.3","8.6","8.8","9.8","5.2","6.4","4.5","1.3","F"
"John Candelaria","1001909","2.6","2.5","2.9","2.7","2.2","4","0.4","3.7","4.5","3.3","1.8","3","2.4","3.4","0.3","B"
"Livan Hernandez","   1116","1.9","0.4","2.9","4.5","2.3","2.7","4.4","4.4","2.4","2","0.2","1","1.8","2.5","1.5","D"
"Kevin Millwood","    106","1.3","3.4","5.5","4","0.9","4.6","4.7","2.9","3.4","4.3","2.1","3.2","2.1","1.1","0.7","B"
"David Cone","   1680","0.5","5.3","3.3","5","6.5","5.2","3.9","3.8","4.5","2.2","4.9","5.1","3.4","1","1.4","E"
"Luis Tiant","1013054","2","2.8","2.5","3.7","7.4","0.5","0.5","0.9","3.6","5","6.5","4.2","3.7","2.6","2.4","C"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","4.1","0.3","1","0.5","0.2","2.3","2.6","J"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","4.6","0.7","1","3.2","0.4","1.3","0.8","C"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","2.4","2","1.2","0.1","0.8","1","C"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","0.7","0.5","2.2","3.3","1.7","1.9","-0.3","C"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","-1.1","0.8","0.4","0.5","0.1","0.4","1","G"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","5.2","3.4","3.9","3.9","4.1","5","7","M"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","3","1.1","2.5","3.8","1.4","1.3","1.9","J"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","3.2","1.4","3.6","3.5","1.5","2.6","0.7","L"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","5.3","3.6","4.8","4.2","4.7","1.7","B"
"Dennis Martinez","1008161","2.3","3.8","4.3","-0.2","2.8","1.9","0.7","0.1","0","1","2.8","2.2","3.1","4.6","4.2","H"
"Eddie Guardado","    727","0.5","0.3","0.3","0.4","0","0.4","-0.5","1.4","1.2","1.4","0.2","0.8","-0.3","0.7","-0.5","A"
"John Lackey","   1507","1.9","1.8","3.1","5.3","5.3","5","1.4","3.2","3.4","0.9","2.4","2.5","3.5","2.9","0.6","E"
"Jimmy Key","1006885","-0.4","2.8","3.4","5.6","1.6","4.6","2.4","5.3","2.7","5.2","4","0.6","2.7","2.8","1.7","B"
"Greg Swindell","     76","0.9","1.4","6.3","3.3","2.7","5.9","4.6","2","1.2","1","-0.7","1.4","0","0.6","1.2","D"
"Greg Maddux","    104","0.4","1.5","3.7","3.7","5.1","5.8","7","7.5","7.4","7.9","7.8","8","7.5","5.6","7.2","K"
"LaTroy Hawkins","    729","-0.1","1.6","1.4","1.1","-0.1","1.6","2.6","1.4","0.2","0.7","0.2","0.8","0.5","0.7","-0.1","A"
"Steve Trachsel","    898","1.5","0.7","1.6","1.7","1.8","2.5","2.4","2","2.1","1.8","1.5","0.1","0.5","0.4","-0.8","G"
"Mike Timlin","   1187","1.5","0.7","0.2","0.2","1.3","1.4","0.6","1.8","0.3","0.1","0.7","-0.3","1","0.7","1.8","A"
"Dave Stieb","1012532","1.6","4.3","2.9","4.8","5.1","5.6","4.5","0.8","2.5","3.1","2.7","4.3","0.8","0.4","0","E"
"Rick Aguilera","1000086","2","1.6","1.6","3.6","1.3","1.5","0.8","1","0.8","1.3","1.5","0.8","1.4","0.8","-0.7","A"
"Trevor Hoffman","   1035","0.4","1.6","0.1","2.9","2.3","3.1","2.2","2.6","0.3","2","1.8","1.7","1.3","1.9","0.4","C"
"Gene Garber","1004493","1","-0.1","0.4","1.8","2.3","1.2","1.1","0.9","0.7","2.2","-0.1","0.9","0.8","2","0.7","A"
"Joaquin Benoit","   1437","0.7","-0.1","1","1.5","1.2","1.8","-0.2","1.7","1.2","0.1","1.4","1.2","0.2","0.5","0.2","A"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","5.4","4.5","3","3","1.8","0.6","0.6","B"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","-0.4","1.6","2.5","2.9","0.9","-0.6","1.2","A"
"Mark Langston","1007323","4.4","-0.7","4.1","6.4","4","4.8","4.6","3","5.4","5.6","1.6","4.1","1.7","0","0.1","E"
"Bobby Witt","1014170","0.8","1.7","2.4","2.5","5","0.9","1.3","3.2","0.9","3.6","2.5","1.5","-0.3","1.8","0.1","C"
"David Weathers","    902","0.9","1","0.4","0.4","1.9","0.1","0.5","1.1","0.5","0.7","-0.3","0.7","-0.4","1.3","0","A"
"Rick Sutcliffe","1012734","2.7","-0.4","-0.3","3.5","3","6","2.4","1.5","3.4","3.2","3.7","1.3","3","0.5","-0.4","L"
"Mike Mussina","    837","1.7","5.3","2.8","3.4","5.1","5.3","5.4","5.1","6","6.4","6.9","4.5","6.1","3","2.6","F"
"Tom Candiotti","1001911","0.6","0.2","4.3","1.3","4.5","4.4","2.3","5.8","3.5","4.2","2.5","2.7","1.1","0.2","1.2","B"
"Jesse Orosco","    667","-0.3","1.3","2.2","1","0.9","0.4","1.6","-0.4","1.1","-0.5","0.5","0.3","2","0.1","1","A"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","2.4","0.3","2.6","3.1","1.1","2.2","1.3","J"
