Name,playerid,WAR24,WAR25,WAR26,WAR27,WAR28
Kirk Rueter,1128,1.0,0.9,3.0,0.9,1.4
Brett Cecil,2660,0.5,0.1,0.9,1.2,1.3
Jon Niese,4424,2.8,2.5,2.2,2.4,0.6
Doc Medich,1008714,3.5,3.4,3.7,2.7,1.8
Bruce Sutter,1012743,5.2,2.3,4.8,1.9,1.1
Danny Darwin,1002996,2.5,1.7,1.0,3.2,3.7
George Stone,1012565,2.7,-0.2,1.7,0.2,0.5
Jake Westbrook,412,0.1,1.0,3.0,2.9,3.6
Jose Lima,475,0.4,2.7,4.7,-0.1,-0.2
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2
Glenn Abbott,1000010,0.3,0.4,1.5,1.2,0.2
Paul Splittorff,1012346,3.7,3.9,4.1,1.4,2.0
Joel Pineiro,1094,3.5,1.8,1.8,0.4,0.4
Jason Davis,1598,0.8,0.2,1.1,-0.4,0.1
Ken Brett,1001402,2.6,4.0,0.7,3.3,2.0
Bob Scanlan,1011489,1.1,0.5,0.3,1.6,0.1
Matt Cain,4732,3.3,4.0,4.5,3.2,1.2
Xavier Hernandez,1005715,-0.8,0.4,1.1,2.1,-0.1
John Smiley,1012084,2.2,1.9,3.4,5.0,0.8
Wade Miley,8779,-0.1,3.9,1.6,1.2,2.7
Erasmo Ramirez,10314,-0.6,2.3,-0.5,1.1,-0.6
Richard Dotson,1003424,2.9,2.0,0.8,2.1,2.4
Bryan Clark,1002270,1.3,1.4,1.0,-0.3,-0.4
Tim Lollar,1007715,-0.2,-0.3,2.3,0.8,0.9
Roger McDowell,1008475,0.9,1.4,0.0,0.8,0.4
Tommy Hunter,1157,0.5,-0.4,0.7,0.7,0.3
Ron Davis,1003075,1.1,1.6,0.0,2.1,0.0
Sammy Stewart,1012528,-0.3,0.5,-0.1,1.5,1.5
Dave Schmidt,1011580,0.3,2.5,0.6,1.5,1.2
Mike Torrez,1013134,-0.4,2.2,1.0,2.4,2.4
Sean Marshall,5905,1.1,0.7,0.8,1.8,2.6
Jaime Garcia,8137,3.2,2.6,0.5,0.4,2.8
Bill Castro,1002077,0.0,-0.1,0.3,0.5,1.2
Reggie Cleveland,1002347,3.5,4.3,1.5,1.6,2.6
Dick Drago,1003475,2.5,3.8,4.7,2.9,2.8
Wayne Twitchell,1013244,2.7,3.5,0.4,1.1,1.2
Edinson Volquez,3990,3.6,0.2,0.7,-0.3,1.4
James Russell,4089,-0.4,-0.2,0.7,0.1,0.3
Kyle Hendricks,12049,1.6,3.2,4.1,2.5,3.5
Bob Miller,1008877,2.7,1.1,0.4,0.3,-1.0
Mel Rojas,1011153,0.4,1.4,0.3,0.9,1.2
Lary Sorensen,1012279,2.4,3.0,2.0,2.2,0.9
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8
Bob Shirley,1011911,1.9,2.3,-0.1,0.1,0.1
Fred Talbot,1012813,0.7,0.4,-1.1,0.7,1.2
Al Downing,1003450,3.0,1.8,3.9,0.2,1.5
Jeff Suppan,633,2.8,1.9,2.5,1.3,2.7
Jim Lonborg,1007724,2.8,5.7,0.2,1.8,0.7
Jim Slaton,1012054,2.1,0.8,4.1,1.5,1.3
Andy Benes,1144,4.7,3.5,4.2,3.3,2.4
Huston Street,8258,1.1,1.5,0.8,0.4,1.1
Jim Roland,1011156,-0.2,0.5,0.6,0.3,-0.2
Danny Graves,326,0.4,0.8,0.8,1.2,1.3
Clay Carroll,1001997,-0.1,1.5,0.2,1.0,0.6
Ed Vande Berg,1013348,0.8,0.6,0.5,-0.6,0.3
Andy Pettitte,840,4.6,7.2,3.2,2.6,3.9
Burt Hooton,1006005,2.4,3.9,3.1,5.2,3.3
Jim Ray,1010726,1.5,-0.3,0.8,-1.1,-0.7
Felix Heredia,1304,0.3,0.4,-0.2,0.0,-0.1
Jeff Locke,2929,0.2,1.1,0.1,1.3,0.3
John Danks,6329,2.7,4.5,2.9,0.3,0.2
Ramiro Mendoza,836,1.1,1.7,2.0,1.9,0.5
Tom Hall,1005262,1.1,0.4,-0.2,-0.6,-0.5
Rick Reuschel,1010852,6.1,4.7,4.7,4.8,6.5
