Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12,WAR13,WAR14,WAR15
John Franco,874,0.6,1.0,1.4,1.5,1.1,1.3,1.3,1.3,0.5,-0.5,1.0,0.8,1.2,1.3,0.9
Jerry Koosman,1007103,3.6,5.4,2.3,2.2,2.9,4.4,5.4,3.1,4.9,4.6,3.2,5.5,3.8,2.0,3.7
Curt Schilling,73,0.7,0.9,4.2,4.5,0.8,2.8,4.7,8.2,8.3,3.3,4.6,7.2,9.3,5.6,6.5
Kent Mercker,439,-0.2,0.7,0.0,1.1,1.6,1.5,-0.3,0.9,2.3,1.1,-0.6,-0.7,0.1,0.6,0.3
Claude Osteen,1009878,-0.5,2.1,2.3,4.4,3.5,4.8,3.8,1.9,5.5,3.1,1.6,2.4,2.1,1.2,1.0
Tom Seaver,1011708,3.3,5.8,4.4,8.3,9.1,5.6,7.3,5.1,7.8,6.8,6.2,4.4,3.9,0.4,1.8
Jim Clancy,1002255,0.5,3.0,0.4,3.2,0.4,4.3,2.8,1.8,1.6,3.1,5.0,1.8,0.4,0.5,-0.2
Jamie Moyer,1091,0.3,1.5,2.1,0.2,1.0,-0.2,3.2,1.9,1.2,1.6,3.2,5.2,4.6,1.8,3.0
Joe Niekro,1009582,2.0,-0.1,1.6,1.6,0.2,0.8,0.1,0.8,0.4,1.6,1.4,1.8,3.4,2.2,4.2
Miguel Batista,46,0.0,0.7,2.0,-0.9,1.3,3.1,4.3,1.6,0.5,2.9,2.2,-1.3,0.1,-0.5,-0.1
Dennis Eckersley,1003660,2.8,4.6,4.6,3.9,4.4,2.9,3.2,3.1,0.8,3.2,4.3,3.7,3.4,2.3,1.7
Gaylord Perry,1010210,0.5,-0.3,3.6,2.3,7.3,5.6,5.5,5.9,6.3,4.7,8.1,5.7,6.3,7.0,5.1
