Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12,WAR13,WAR14
Catfish Hunter,1006199,0.3,1.8,5.2,1.4,1.3,3.1,3.2,4.5,0.5,6.3,5.7,3.9,-0.8,0.8
Julian Tavarez,541,-0.1,1.6,0.9,0.0,0.3,-0.3,1.5,2.2,1.0,1.1,1.3,0.3,0.0,0.8
Al Leiter,883,0.5,0.3,0.9,2.5,3.0,3.4,1.3,4.8,3.3,4.8,3.8,3.2,2.4,1.5
Doyle Alexander,1000122,0.9,1.1,0.8,0.6,1.2,1.3,1.7,1.4,1.2,2.9,1.6,-0.3,1.0,5.0
Grant Jackson,1006298,1.1,0.6,4.3,1.5,1.1,0.9,0.7,0.7,0.7,0.9,-0.5,0.4,-0.7,0.6
Kent Tekulve,1012905,0.3,1.7,1.3,1.4,2.1,0.0,1.2,0.6,1.9,0.2,0.2,2.0,1.1,0.7
Lindy McDaniel,1008441,2.6,0.7,1.3,0.6,1.6,0.5,1.9,0.4,0.1,1.3,1.8,-1.0,0.3,1.6
Woodie Fryman,1004381,3.0,0.3,2.9,3.0,2.4,3.1,2.7,1.7,0.9,2.3,2.6,-0.3,1.1,0.5
Kenny Rogers,1277,0.8,1.3,-0.5,1.1,3.6,2.5,3.0,2.2,0.6,4.5,3.5,4.3,0.8,2.7
Sparky Lyle,1007859,0.6,0.8,1.3,0.6,0.2,1.5,1.5,2.0,2.0,0.8,2.5,0.5,0.6,0.1
Charlie Hough,1006050,0.3,-0.5,-0.3,-0.4,0.5,0.0,0.0,0.2,1.4,3.1,3.2,3.1,3.6,1.8
Jim Palmer,1009973,0.6,2.0,-0.1,3.7,6.2,4.6,4.4,4.6,1.9,6.9,4.2,5.5,4.4,2.6
Danny Darwin,1002996,1.0,2.5,1.7,1.0,3.2,3.7,1.3,3.2,2.6,1.0,1.6,2.8,-0.1,3.1
Ryan Dempster,517,-0.3,0.7,3.4,2.2,1.4,0.7,1.8,0.9,0.2,4.7,3.6,2.5,2.6,2.7
Dave Burba,1239,-0.2,0.5,0.1,0.6,1.2,2.3,1.1,1.8,3.0,4.2,2.5,1.6,0.2,0.5
Todd Jones,436,-0.1,1.4,0.4,-0.4,1.8,0.3,0.8,1.4,0.1,0.9,0.0,0.9,2.4,1.0
A.J. Burnett,512,0.6,0.9,1.4,4.8,2.9,5.0,2.9,2.3,5.0,2.8,1.4,0.6,3.5,3.9
Mike Torrez,1013134,0.4,1.6,-0.4,2.2,1.0,2.4,2.4,3.3,2.3,3.3,3.3,2.6,1.2,1.2
Bob Miller,1008877,1.2,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7,1.7,0.0,0.8,-0.3,-0.2
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3,2.2,0.6,0.7,0.9,0.7,-0.6
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5,3.1,2.2,1.9,1.1,0.3,0.4
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4,1.8,1.9,2.6,0.0,-0.4,-0.2
Jim Lonborg,1007724,2.5,2.8,5.7,0.2,1.8,0.7,1.9,2.3,0.8,4.4,2.1,3.2,1.8,-0.2
Jim Slaton,1012054,0.1,0.0,2.4,2.1,0.8,4.1,1.5,1.3,3.5,0.4,0.2,-1.6,0.6,0.3
Andy Benes,1144,0.9,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1,3.3,1.3,1.6,-1.5,0.7
Andy Pettitte,840,3.2,4.6,7.2,3.2,2.6,3.9,5.8,3.9,5.1,1.9,5.8,3.4,4.0,3.3
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4,1.8,3.3,1.8,0.3,0.6,0.7
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7,3.4,4.3,4.4,3.9,6.2,1.7
Rick Reuschel,1010852,4.2,6.1,4.7,4.7,4.8,6.5,4.5,3.9,4.7,3.0,1.2,5.2,2.8,5.0
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1,0.3,0.7,1.7,1.9,0.3,-0.6
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1,7.6,4.9,5.6,1.1,3.3,1.0,1.5
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4,2.1,-0.1,0.0,0.6,2.2,2.5
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1,3.2,4.9,1.5,1.2,0.9,0.8
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2,2.8,4.4,3.1,4.3,1.9,1.8
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0,2.0,0.5,0.5,1.3,1.6,0.3
Mike Marshall,1008144,0.0,0.9,0.8,0.3,1.8,1.6,4.4,0.4,0.4,0.8,1.9,2.1,0.1,0.0
Wilbur Wood,1014248,0.2,0.4,1.3,1.3,0.4,1.9,8.7,6.1,7.4,4.7,3.4,1.2,0.6,-0.3
Paul Quantrill,669,0.7,1.2,-0.1,2.0,0.3,1.9,1.6,0.2,0.9,1.7,1.4,1.5,1.0,0.1
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3,8.6,8.8,9.8,5.2,6.4,4.5
John Candelaria,1001909,2.6,2.5,2.9,2.7,2.2,4.0,0.4,3.7,4.5,3.3,1.8,3.0,2.4,3.4
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4,2.4,2.0,0.2,1.0,1.8,2.5
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9,3.4,4.3,2.1,3.2,2.1,1.1
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4,0.9,3.4,3.2,3.4,0.9,1.3
Zack Greinke,1943,1.8,2.0,2.1,4.2,8.6,4.9,3.2,4.8,3.5,4.5,5.4,2.3,4.7,2.9
David Cone,1680,0.5,5.3,3.3,5.0,6.5,5.2,3.9,3.8,4.5,2.2,4.9,5.1,3.4,1.0
Nelson Briles,1001432,1.0,1.2,2.1,2.4,3.4,0.7,1.2,3.5,2.7,1.3,0.4,2.6,0.4,0.1
Luis Tiant,1013054,2.0,2.8,2.5,3.7,7.4,0.5,0.5,0.9,3.6,5.0,6.5,4.2,3.7,2.6
Bud Black,1001007,0.3,1.1,4.3,3.6,0.1,1.1,0.6,3.4,2.4,0.8,-0.1,0.2,0.1,0.5
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7,1.4,4.1,0.3,1.0,0.5,0.2,2.3
Ray Sadecki,1011360,1.4,1.8,0.7,1.2,3.7,1.2,-0.3,4.0,4.6,0.7,1.0,3.2,0.4,1.3
Lee Smith,1012175,0.9,2.7,2.4,2.1,2.7,1.8,2.9,1.6,1.5,2.4,2.0,1.2,0.1,0.8
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8,0.7,0.5,2.2,3.3,1.7,1.9
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7.0,6.8,5.3,6.6,6.1,5.6,2.7,1.1,0.4,0.2
Oliver Perez,1514,0.6,0.4,4.5,-0.8,0.1,2.7,1.6,-0.6,-1.1,0.8,0.4,0.5,0.1,0.4
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5,6.2,6.7,4.9,5.2,3.4,3.9,3.9,4.1,5.0
Orel Hershiser,1005741,4.0,5.4,3.6,5.6,4.0,5.6,2.5,2.3,3.0,1.1,2.5,3.8,1.4,1.3
Rich Gossage,1004894,0.5,-0.8,0.7,4.0,2.0,4.2,2.4,1.0,3.2,1.4,3.6,3.5,1.5,2.6
Javier Vazquez,801,0.5,2.2,5.2,6.1,4.6,6.0,2.0,3.5,4.7,4.8,4.9,5.8,0.1,3.4
Tom Glavine,90,0.0,2.0,2.0,2.9,5.4,4.6,3.3,3.6,4.3,5.3,3.6,4.8,4.2,4.7
Dennis Martinez,1008161,2.3,3.8,4.3,-0.2,2.8,1.9,0.7,0.1,0.0,1.0,2.8,2.2,3.1,4.6
Eddie Guardado,727,0.5,0.3,0.3,0.4,0.0,0.4,-0.5,1.4,1.2,1.4,0.2,0.8,-0.3,0.7
John Lackey,1507,1.9,1.8,3.1,5.3,5.3,5.0,1.4,3.2,3.4,0.9,2.4,2.5,3.5,2.9
Jimmy Key,1006885,-0.4,2.8,3.4,5.6,1.6,4.6,2.4,5.3,2.7,5.2,4.0,0.6,2.7,2.8
Jason Marquis,105,1.2,0.3,0.0,1.8,0.7,-0.5,1.4,1.7,3.2,-0.5,1.0,-0.2,-1.3,-0.1
Frank Viola,1013435,0.9,0.1,3.5,3.9,2.9,5.4,6.3,5.0,5.8,2.5,3.7,2.7,0.3,-0.2
Greg Swindell,76,0.9,1.4,6.3,3.3,2.7,5.9,4.6,2.0,1.2,1.0,-0.7,1.4,0.0,0.6
Greg Maddux,104,0.4,1.5,3.7,3.7,5.1,5.8,7.0,7.5,7.4,7.9,7.8,8.0,7.5,5.6
LaTroy Hawkins,729,-0.1,1.6,1.4,1.1,-0.1,1.6,2.6,1.4,0.2,0.7,0.2,0.8,0.5,0.7
Mike Hampton,430,-0.1,2.3,2.4,3.1,2.3,4.9,4.6,1.9,0.3,2.6,1.9,1.0,0.2,0.9
Steve Trachsel,898,1.5,0.7,1.6,1.7,1.8,2.5,2.4,2.0,2.1,1.8,1.5,0.1,0.5,0.4
Don McMahon,1008629,-0.7,0.2,0.9,-0.5,0.8,0.1,0.1,0.3,0.8,0.9,0.2,-0.2,-0.1,0.6
Barry Zito,944,2.1,4.8,4.5,4.4,3.1,3.0,2.2,1.6,1.3,2.0,1.8,-0.6,1.0,-0.7
